mu,tau,k,mechanism,strength,outcome,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,pet_t1,tau_hat
0.0,0.15,10,step,moderate,logor,0,dl_hksj,0.0,0.2628971519559099,-0.0697751282801245,0.5955694321919442,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,reml_hksj,0.0,0.2628971528298183,-0.0697751314399053,0.5955694370995419,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,trim_and_fill,0.0,0.0402079933561419,-0.1454556562767555,0.2258716429890394,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,pet_peese,0.0,-0.2878007448146436,-1.503605566362335,0.928004076733048,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,copas,0.0,0.253606032496179,-4.303592806848e-05,0.5072551009204265,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,henmi_copas,0.0,0.2628971519559099,0.0256300110703757,0.500164292841444,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,vevea_hedges,0.0,0.3963495116755858,0.0756691299695335,0.7888617681945993,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,p_curve,0.0,,,,False,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,p_uniform_star,0.0,0.899418133418066,-3.236747388183693,5.035583655019825,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,ubcma,0.0,0.3202314741091764,-0.0826506454104376,0.7447565111365595,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,adaptshrink_solo,0.0,0.1888732907143306,-0.852756773419898,1.230503354848559,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,adaptshrink_ens,0.0,0.0534565321229536,-0.4683544760020369,0.5752675402479442,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,adaptshrink_fast,0.0,0.3743425163262059,-0.5837424500149104,1.332427482667322,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,adaptshrink_ens_calib,0.0,0.0534565321229536,-0.6340682381031341,0.7409813023490414,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,adaptshrink_petgate,0.0,0.2159618597931938,-0.196232273470891,0.6281559930572789,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,0,adaptshrink_auto,0.0,0.0534565321229536,-0.6340682381031341,0.7409813023490414,True,1.074845297289127,0.0
0.0,0.15,10,step,moderate,logor,1,dl_hksj,0.0,0.0891351086164826,-0.3606938073528262,0.5389640245857915,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,reml_hksj,0.0,0.0906342142183507,-0.356842539413369,0.5381109678500705,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,trim_and_fill,0.0,-0.1714049606761983,-0.3777455137129458,0.0349355923605491,True,-0.676148611807494,0.3143235272843317
0.0,0.15,10,step,moderate,logor,1,pet_peese,0.0,0.75847365131763,-0.5928447928295251,2.109792095464785,True,-0.676148611807494,0.3143235272843317
