mu,tau,k,mechanism,strength,outcome,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,pet_t1,tau_hat
0.0,0.15,10,none,strong,logor,0,dl_hksj,0.0,0.1100991526932551,-0.1376035219196006,0.357801827306111,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,reml_hksj,0.0,0.1106138541319131,-0.1329811491105202,0.3542088573743465,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,trim_and_fill,0.0,-0.2660129040791049,-0.4185613808438959,-0.1134644273143138,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,pet_peese,0.0,0.1199872979603645,-0.9572742653313978,1.197248861252127,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,copas,0.0,0.110613768078643,-0.0901395991823106,0.3113671353395967,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,henmi_copas,0.0,0.1106138542496579,-0.0977228784712404,0.3189505869705563,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,vevea_hedges,0.0,0.1578061929513054,-0.0642364379229075,0.4007572093522792,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,p_curve,0.0,,,,False,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,p_uniform_star,0.0,0.1733033688126587,-0.1899133505840111,0.5365200882093286,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,ubcma,0.0,0.2822475097120164,-0.0925700331322154,0.6928244778763883,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,adaptshrink_solo,0.0,0.1100991526932551,-0.1041877244573186,0.3243860298438289,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,adaptshrink_ens,0.0,0.1180345276434,-1.0623734428392764,1.2984424981260765,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,adaptshrink_fast,0.0,0.1609387318268474,-0.26425189038496,0.5861293540386548,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,adaptshrink_ens_calib,0.0,0.1180345276434,-1.5301632106838292,1.766232265970629,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,adaptshrink_petgate,0.0,0.110614303661148,-0.1330657875442339,0.3542943948665299,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,0,adaptshrink_auto,0.0,0.1180345276434,-1.5301632106838292,1.766232265970629,True,-0.0155668398976571,0.1059489691735345
0.0,0.15,10,none,strong,logor,1,dl_hksj,0.0,0.09440296351053,-0.1903677379809406,0.3791736650020007,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,reml_hksj,0.0,0.0938427988079975,-0.1907814039000189,0.378467001516014,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,trim_and_fill,0.0,-0.3269535356868871,-0.4910681841764208,-0.1628388871973533,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,pet_peese,0.0,-0.3915403128071152,-0.8664778376787432,0.0833972120645126,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,copas,0.0,0.0830517352101343,-0.1476431680332809,0.3137466384535496,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,henmi_copas,0.0,0.0739462719234874,-0.1772234162166345,0.3251159600636095,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,vevea_hedges,0.0,0.1123147420577669,-0.1251491484037288,0.3692232367665796,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,p_curve,0.0,,,,False,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,p_uniform_star,0.0,0.6574262926116878,-1.653660977941954,2.9685135631653297,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,ubcma,0.0,0.2219745439035134,-0.2807891796172397,0.7168713610762312,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,adaptshrink_solo,0.0,-0.7926993294794185,-1.592331941993811,0.0069332830349737,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,adaptshrink_ens,0.0,-0.3240239160117462,-0.7870524320372905,0.1390046000137981,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,adaptshrink_fast,0.0,0.0929806227051829,-0.6377556596045549,0.8237169050149208,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,adaptshrink_ens_calib,0.0,-0.3240239160117462,-0.9354671150327374,0.287419283009245,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,adaptshrink_petgate,0.0,-0.1633377326205439,-0.6491061762355465,0.3224307109944585,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,1,adaptshrink_auto,0.0,-0.3240239160117462,-0.9354671150327374,0.287419283009245,True,2.5302286710438358,0.1663604879057645
0.0,0.15,10,none,strong,logor,2,dl_hksj,0.0,0.0889644473972703,-0.183082876288577,0.3610117710831177,True,2.304477456634842,0.0
