mu,tau,k,mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
0.0,0.0,10,none,strong,42,adaptshrink_ens_infl,0.0,-0.0475971694574167,-0.44321556441399185,0.3480212254991584,True
0.0,0.0,10,none,strong,43,adaptshrink_ens_infl,0.0,-0.0314478724033747,-0.26818662045118463,0.2052908756444352,True
0.0,0.0,10,none,strong,44,adaptshrink_ens_infl,0.0,0.001936043032882,-0.13113907733196573,0.13501116339772973,True
0.0,0.0,10,none,strong,45,adaptshrink_ens_infl,0.0,0.0324804058126988,-0.3978182840707584,0.462779095696156,True
0.0,0.0,10,none,strong,46,adaptshrink_ens_infl,0.0,-0.072368122023475,-0.25349525172404275,0.10875900767709276,True
0.0,0.0,10,none,strong,47,adaptshrink_ens_infl,0.0,0.0810846000576765,-0.2940178862919505,0.4561870864073035,True
0.0,0.0,10,none,strong,48,adaptshrink_ens_infl,0.0,-0.0334080770372578,-0.16572645151987225,0.09891029744535663,True
0.0,0.0,10,none,strong,49,adaptshrink_ens_infl,0.0,-0.1981135229936409,-0.34260487957382496,-0.05362216641345685,True
0.0,0.0,10,none,strong,50,adaptshrink_ens_infl,0.0,0.0405448264016166,-0.9540298623890144,1.0351195151922477,True
0.0,0.0,10,none,strong,51,adaptshrink_ens_infl,0.0,-0.0279696250245422,-0.15754509986906062,0.10160584981997622,True
0.0,0.0,10,none,strong,52,adaptshrink_ens_infl,0.0,0.0966146994461243,-0.15122031620473378,0.3444497150969824,True
0.0,0.0,10,none,strong,53,adaptshrink_ens_infl,0.0,-0.0726104154467236,-0.22603722341472177,0.08081639252127455,True
0.0,0.0,10,none,strong,54,adaptshrink_ens_infl,0.0,0.072538793093119,-0.5018867920423924,0.6469643782286303,True
0.0,0.0,10,none,strong,55,adaptshrink_ens_infl,0.0,0.0289699968015344,-0.20858591356956319,0.26652590717263197,True
0.0,0.0,10,none,strong,56,adaptshrink_ens_infl,0.0,-0.0202414041472979,-0.19027067440583156,0.14978786611123573,True
0.0,0.0,10,none,strong,57,adaptshrink_ens_infl,0.0,-0.0726225998253106,-0.16220426105695407,0.016959061406332868,True
0.0,0.0,10,none,strong,58,adaptshrink_ens_infl,0.0,0.0231725426579991,-0.33602966594197936,0.3823747512579776,True
0.0,0.0,10,none,strong,59,adaptshrink_ens_infl,0.0,0.0200819123428989,-0.21577846419226016,0.255942288878058,True
0.0,0.0,10,none,strong,60,adaptshrink_ens_infl,0.0,-0.0157597140346663,-0.15684881634252107,0.12532938827318846,True
0.0,0.0,10,none,strong,61,adaptshrink_ens_infl,0.0,0.1135685304060551,-0.17834844877223593,0.4054855095843461,True
0.0,0.0,10,none,strong,62,adaptshrink_ens_infl,0.0,-0.0784886621073975,-0.3570501435052392,0.20007281929044426,True
0.0,0.0,10,none,strong,63,adaptshrink_ens_infl,0.0,0.01553209174942,-0.32054420647856446,0.35160838997740446,True
0.0,0.0,10,none,strong,64,adaptshrink_ens_infl,0.0,0.0536313419061355,-0.1544586527923627,0.2617213366046337,True
0.0,0.0,10,none,strong,65,adaptshrink_ens_infl,0.0,0.1374775872271392,-0.08365179558305319,0.3586069700373316,True
0.0,0.0,10,none,strong,66,adaptshrink_ens_infl,0.0,0.0266416981026245,-0.4597202784368367,0.5130036746420857,True
0.0,0.0,10,none,strong,67,adaptshrink_ens_infl,0.0,-0.001950149448451,-0.3911055745037023,0.3872052756068003,True
0.0,0.0,10,none,strong,68,adaptshrink_ens_infl,0.0,-0.0471207081580886,-0.26524839618091683,0.17100697986473962,True
0.0,0.0,10,none,strong,69,adaptshrink_ens_infl,0.0,0.0539383717137228,-0.23789662143815776,0.34577336486560334,True
0.0,0.0,10,none,strong,70,adaptshrink_ens_infl,0.0,0.0242253106039724,-0.13208190344120982,0.18053252464915462,True
0.0,0.0,10,none,strong,71,adaptshrink_ens_infl,0.0,-0.0123583705889713,-0.3013877520414848,0.2766710108635422,True
0.0,0.0,10,none,strong,72,adaptshrink_ens_infl,0.0,-0.0114634214357057,-0.20726482925775122,0.18433798638633983,True
0.0,0.0,10,none,strong,73,adaptshrink_ens_infl,0.0,-0.0584251218541465,-0.36655094529456766,0.24970070158627466,True
0.0,0.0,10,none,strong,74,adaptshrink_ens_infl,0.0,-0.0563103996553827,-0.240234862640219,0.1276140633294536,True
0.0,0.0,10,none,strong,75,adaptshrink_ens_infl,0.0,0.0454045221647878,-0.2121358956008485,0.3029449399304241,True
0.0,0.0,10,none,strong,76,adaptshrink_ens_infl,0.0,0.1043009431892732,-0.14817297058557338,0.35677485696411976,True
0.0,0.0,10,none,strong,77,adaptshrink_ens_infl,0.0,0.0039672334805801,-0.22422357313822205,0.23215804009938223,True
