mu,tau,k,mechanism,strength,outcome,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.15,10,copas,moderate,logor,adaptshrink_auto,40,1.0,-0.0534,0.1845,1.0,1.5359,0.8167,0.95
0.0,0.15,10,copas,moderate,logor,adaptshrink_ens,40,1.0,-0.1407,0.24,0.975,1.4012,0.9546,1.0
0.0,0.15,10,copas,moderate,logor,adaptshrink_ens_calib,40,1.0,-0.1407,0.24,1.0,1.8817,0.9546,1.0
0.0,0.15,10,copas,moderate,logor,adaptshrink_fast,40,1.0,0.0969,0.2187,1.0,3.3785,0.9949,1.0
0.0,0.15,10,copas,moderate,logor,adaptshrink_petgate,40,1.0,0.0517,0.1714,1.0,0.9946,0.9193,1.0
0.0,0.15,10,copas,moderate,logor,adaptshrink_solo,40,1.0,0.0158,0.7556,0.9,3.1796,2.7248,0.95
0.0,0.15,10,copas,moderate,logor,copas,40,1.0,0.1145,0.1633,0.875,0.5299,0.5469,0.95
0.0,0.15,10,copas,moderate,logor,dl_hksj,40,1.0,0.1267,0.1707,0.975,0.6997,0.5548,0.95
0.0,0.15,10,copas,moderate,logor,henmi_copas,40,1.0,0.1203,0.1649,0.825,0.5782,0.554,0.95
0.0,0.15,10,copas,moderate,logor,p_curve,1,0.025,,,,,,
0.0,0.15,10,copas,moderate,logor,p_uniform_star,32,0.8,0.2318,0.4676,0.969,1.9478,1.0538,0.875
0.0,0.15,10,copas,moderate,logor,pet_peese,40,1.0,-0.1848,0.61,0.9,2.3102,2.7934,0.95
0.0,0.15,10,copas,moderate,logor,reml_hksj,40,1.0,0.1269,0.1706,0.975,0.7054,0.555,0.95
0.0,0.15,10,copas,moderate,logor,trim_and_fill,40,1.0,-0.2427,0.3105,0.275,0.3572,0.9799,0.9
0.0,0.15,10,copas,moderate,logor,ubcma,40,1.0,0.0813,0.1976,0.975,0.9274,0.6428,0.9
0.0,0.15,10,copas,moderate,logor,vevea_hedges,37,0.925,0.1472,0.2111,0.838,0.6418,0.7694,0.944
