mechanism,method,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,kappa,test_cov,mciw
copas,adaptshrink_ens,120,0.005898324260823168,0.06221676855862788,0.967,0.4319,0.2105,0.867,0.873,0.95,0.3362
copas,adaptshrink_solo,120,0.06931505833745605,0.09083274088600546,0.642,0.2768,0.2743,0.933,1.646,0.867,0.415
copas,copas,120,0.08249248860747267,0.08667662793504427,0.167,0.1159,0.2368,0.833,2.15,0.8,0.2452
copas,henmi_copas,120,0.0778540409258071,0.08403927201555507,0.433,0.1403,0.2518,0.917,1.85,0.833,0.2537
copas,pet_peese,120,0.06314775657057811,0.08821454353988145,0.358,0.1068,0.3198,0.933,2.871,0.933,0.2977
copas,reml_hksj,120,0.08267387315363278,0.08683829043984884,0.242,0.1244,0.2363,0.833,2.016,0.8,0.2466
copas,trim_and_fill,120,-0.08146634505768177,0.09612352989513902,0.117,0.0573,0.3676,0.95,6.146,0.95,0.3488
copas,ubcma,117,0.01412929252491145,0.05758074475369767,0.855,0.187,0.1712,0.8,1.011,0.783,0.1864
smooth,adaptshrink_ens,120,0.011402329759258673,0.06684075603773061,0.942,0.4368,0.2474,0.917,0.892,0.933,0.3904
smooth,adaptshrink_solo,120,0.07552595357294166,0.09991415273035475,0.692,0.3223,0.2936,0.883,1.924,0.967,0.5915
smooth,copas,120,0.09040163474560871,0.09696922474911948,0.275,0.137,0.2721,0.883,2.168,0.85,0.2932
smooth,henmi_copas,120,0.08581352479702646,0.0943973596484942,0.5,0.1711,0.2944,0.95,1.887,0.9,0.3144
smooth,pet_peese,120,0.06770106368749017,0.09867552801631009,0.433,0.1339,0.3165,0.917,2.749,0.9,0.3612
smooth,reml_hksj,120,0.09072847984108796,0.0972683339450339,0.35,0.1547,0.2705,0.883,1.936,0.883,0.2959
smooth,trim_and_fill,120,-0.058514669710465386,0.08295719500841918,0.342,0.0702,0.2947,0.933,4.278,0.933,0.3005
smooth,ubcma,116,0.021472491739559195,0.06907156824677088,0.836,0.2143,0.2196,0.828,1.213,0.879,0.2678
step,adaptshrink_ens,120,0.028991806925048113,0.056910246743201054,0.975,0.3314,0.1994,0.933,0.659,0.867,0.2124
step,adaptshrink_solo,120,0.08087380996303703,0.10142937799940387,0.633,0.3062,0.2964,0.933,2.11,0.883,0.6244
step,copas,120,0.10951287705344895,0.11278616365920072,0.033,0.1162,0.2956,0.917,2.655,0.85,0.3038
step,henmi_copas,120,0.10212422946615432,0.1064352675431412,0.233,0.1406,0.2935,0.95,2.268,0.867,0.3126
step,pet_peese,120,0.07844071636850579,0.09646894161156373,0.283,0.1123,0.3059,0.933,2.924,0.933,0.3133
step,reml_hksj,120,0.1099985264110826,0.11323420916270314,0.067,0.1278,0.2959,0.917,2.481,0.9,0.3118
step,trim_and_fill,120,-0.03432140313324502,0.05640163114807496,0.492,0.0612,0.2334,0.933,3.666,0.917,0.2215
step,ubcma,120,0.03478681887493578,0.06230960974873123,0.8,0.1803,0.2048,0.883,1.377,0.867,0.2447
