mechanism,method,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,kappa,test_cov,mciw
copas,adaptshrink_ens,120,0.010475353982263787,0.059733909992221716,0.967,0.3734,0.2168,0.883,0.992,0.983,0.3411
copas,adaptshrink_solo,120,0.05755818071224095,0.08936346714776942,0.733,0.3199,0.2756,0.95,1.828,0.917,0.5481
copas,copas,120,0.09545579479514657,0.09875739587696133,0.058,0.1093,0.2603,0.9,2.39,0.817,0.2575
copas,henmi_copas,120,0.08555541937185238,0.09098051820071265,0.258,0.1284,0.2567,0.883,2.144,0.817,0.2688
copas,pet_peese,120,0.05571576956431576,0.08387671084346102,0.408,0.1053,0.294,0.933,2.754,0.933,0.2822
copas,reml_hksj,120,0.09585243551591605,0.09912411228169683,0.083,0.1162,0.26,0.883,2.276,0.817,0.2604
copas,trim_and_fill,120,-0.06542807258128441,0.08021252163554057,0.217,0.0566,0.2971,0.967,5.318,0.933,0.2984
copas,ubcma,117,0.018482544450845,0.055749507808018316,0.846,0.1796,0.1908,0.881,1.069,0.797,0.1896
smooth,adaptshrink_ens,120,0.02957734940463869,0.06963596804722334,0.975,0.3599,0.2466,0.95,0.959,0.983,0.323
smooth,adaptshrink_solo,120,0.07321088635875543,0.10197255752233882,0.692,0.3717,0.3111,0.95,2.099,0.933,0.7467
smooth,copas,120,0.11769742218394713,0.12248255677608738,0.1,0.1312,0.312,0.85,2.737,0.883,0.3508
smooth,henmi_copas,120,0.10731351330378347,0.11369143510685092,0.333,0.1623,0.3103,0.9,2.436,0.883,0.3801
smooth,pet_peese,120,0.06982508442876417,0.10099289235498761,0.342,0.1306,0.3521,0.967,2.856,0.95,0.3531
smooth,reml_hksj,120,0.11854610877443085,0.12325485057423882,0.15,0.1489,0.3132,0.85,2.425,0.867,0.351
smooth,trim_and_fill,120,-0.0294838136769282,0.060687198800658496,0.525,0.067,0.2566,0.967,3.992,0.967,0.264
smooth,ubcma,118,0.04811916395296475,0.07965586403055354,0.703,0.2056,0.2802,0.9,1.476,0.883,0.3048
step,adaptshrink_ens,120,0.04951204135021379,0.06337358048670748,0.983,0.2825,0.206,0.9,0.724,0.867,0.2098
step,adaptshrink_solo,120,0.058249627761546845,0.09601343655665388,0.833,0.3935,0.3567,0.967,2.283,0.967,0.8497
step,copas,120,0.1404093860170976,0.14345290693674215,0.0,0.1173,0.3776,0.95,3.281,0.95,0.3758
step,henmi_copas,120,0.1267846645044954,0.13052291064119378,0.05,0.1406,0.3443,0.967,2.947,0.933,0.4016
step,pet_peese,120,0.07581709217113537,0.09581813632655184,0.292,0.124,0.3072,0.95,2.57,0.95,0.2934
step,reml_hksj,120,0.14156606599735672,0.1445459852440487,0.0,0.1307,0.3792,0.95,3.093,0.967,0.3937
step,trim_and_fill,120,0.006520700841242562,0.037002407474150435,0.667,0.0654,0.1571,0.983,2.365,0.983,0.1506
step,ubcma,119,0.06477562805580113,0.08176004208258034,0.63,0.183,0.2875,0.932,1.484,0.814,0.2637
