mechanism,method,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,kappa,test_cov,mciw
copas,adaptshrink,300,0.014147524526181598,0.05805029604778897,0.977,0.3588,0.2194,0.92,0.853,0.967,0.294
copas,copas,300,0.09887242405190497,0.10326242974971703,0.07,0.11,0.2915,0.953,2.991,0.973,0.3277
copas,pet_peese,300,0.05811356115590421,0.08522709527255394,0.407,0.106,0.3068,0.96,2.926,0.96,0.3062
copas,reml_hksj,300,0.09927114516453579,0.10363499970896325,0.09,0.117,0.293,0.953,2.815,0.973,0.328
copas,trim_and_fill,300,-0.06348909224932706,0.07893037584897139,0.187,0.0569,0.2736,0.927,5.209,0.94,0.2951
copas,ubcma,297,0.02059672060109282,0.05613235912230505,0.828,0.1798,0.2046,0.899,1.292,0.919,0.2336
smooth,adaptshrink,300,0.029877646598466583,0.06962531674940457,0.967,0.3568,0.2526,0.967,1.003,0.987,0.3412
smooth,copas,300,0.12314296240722773,0.1285661701865166,0.083,0.1333,0.3731,0.967,2.901,0.927,0.381
smooth,pet_peese,300,0.06913976789682408,0.10528082341071245,0.313,0.1334,0.3547,0.96,3.051,0.98,0.396
smooth,reml_hksj,300,0.1239468026822551,0.1293293136613361,0.12,0.1512,0.3745,0.953,2.643,0.927,0.3944
smooth,trim_and_fill,300,-0.02752368950618077,0.06016606195639866,0.477,0.0677,0.2451,0.953,3.902,0.953,0.2622
smooth,ubcma,293,0.044725246069564024,0.07775781852719803,0.765,0.2068,0.2852,0.953,1.499,0.94,0.3169
step,adaptshrink,300,0.05273188785225095,0.06866745725661039,0.96,0.2794,0.2568,0.987,0.996,0.973,0.2761
step,copas,300,0.14556694781480572,0.14935790899554408,0.003,0.1183,0.4055,0.96,3.687,0.973,0.4299
step,pet_peese,300,0.07729605568435059,0.10074308391943353,0.273,0.1249,0.3496,0.953,2.992,0.973,0.3603
step,reml_hksj,300,0.14668807840343762,0.1504487067708911,0.003,0.1316,0.408,0.96,3.281,0.96,0.4256
step,trim_and_fill,300,0.010076148744621365,0.03886906338142794,0.6,0.0657,0.1709,0.98,2.567,0.993,0.1673
step,ubcma,298,0.06693785138689615,0.08416961787100662,0.654,0.1849,0.3111,0.96,1.69,0.96,0.3077
