mu,tau,k,mechanism,strength,outcome,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.1,5,copas,strong,continuous,adaptshrink_auto,40,1.0,0.0533,0.0958,1.0,0.7782,0.311,0.8
0.0,0.1,5,copas,strong,continuous,adaptshrink_ens,40,1.0,0.0272,0.117,0.975,0.6086,0.2758,0.6
0.0,0.1,5,copas,strong,continuous,adaptshrink_ens_calib,40,1.0,0.0272,0.117,1.0,0.7637,0.2758,0.6
0.0,0.1,5,copas,strong,continuous,adaptshrink_fast,40,1.0,0.1028,0.1525,0.975,1.6257,0.4931,0.85
0.0,0.1,5,copas,strong,continuous,adaptshrink_petgate,40,1.0,0.0907,0.1107,0.95,0.5815,0.3422,0.85
0.0,0.1,5,copas,strong,continuous,adaptshrink_solo,40,1.0,0.0911,0.1788,0.9,2.1001,0.3566,0.5
0.0,0.1,5,copas,strong,continuous,copas,40,1.0,0.1038,0.1192,0.65,0.2938,0.3674,0.9
0.0,0.1,5,copas,strong,continuous,dl_hksj,40,1.0,0.1042,0.1191,0.95,0.4924,0.3569,0.9
0.0,0.1,5,copas,strong,continuous,henmi_copas,40,1.0,0.0973,0.1159,0.675,0.4251,0.3418,0.85
0.0,0.1,5,copas,strong,continuous,p_curve,4,0.1,,,,,,
0.0,0.1,5,copas,strong,continuous,p_uniform_star,21,0.525,0.5109,1.7939,0.857,0.6658,0.782,0.8
0.0,0.1,5,copas,strong,continuous,pet_peese,40,1.0,0.0576,0.2336,0.875,0.7054,0.5007,0.7
0.0,0.1,5,copas,strong,continuous,reml_hksj,40,1.0,0.1054,0.1201,0.95,0.4945,0.3726,0.9
0.0,0.1,5,copas,strong,continuous,trim_and_fill,40,1.0,0.0138,0.1041,0.575,0.169,0.2952,0.85
0.0,0.1,5,copas,strong,continuous,ubcma,38,0.95,0.0277,0.1529,0.947,0.6033,0.2912,0.5
0.0,0.1,5,copas,strong,continuous,vevea_hedges,40,1.0,0.1098,0.1558,0.7,0.4228,0.5376,0.85
0.0,0.1,5,none,strong,continuous,adaptshrink_auto,40,1.0,0.0171,0.1265,0.975,0.6699,0.5678,1.0
0.0,0.1,5,none,strong,continuous,adaptshrink_ens,40,1.0,0.0096,0.1237,0.95,0.5361,0.5678,1.0
0.0,0.1,5,none,strong,continuous,adaptshrink_ens_calib,40,1.0,0.0096,0.1237,0.975,0.6909,0.5678,1.0
0.0,0.1,5,none,strong,continuous,adaptshrink_fast,40,1.0,0.0537,0.1293,1.0,1.818,0.5192,1.0
0.0,0.1,5,none,strong,continuous,adaptshrink_petgate,40,1.0,0.0707,0.13,0.925,0.5142,0.4472,1.0
0.0,0.1,5,none,strong,continuous,adaptshrink_solo,40,1.0,0.0929,0.1967,0.9,1.2707,0.95,1.0
0.0,0.1,5,none,strong,continuous,copas,40,1.0,0.0764,0.1267,0.675,0.2759,0.4333,0.95
0.0,0.1,5,none,strong,continuous,dl_hksj,40,1.0,0.077,0.127,0.9,0.4675,0.4332,0.9
0.0,0.1,5,none,strong,continuous,henmi_copas,40,1.0,0.078,0.13,0.775,0.4319,0.5215,1.0
0.0,0.1,5,none,strong,continuous,p_uniform_star,24,0.6,0.0736,0.1595,0.958,0.723,0.6343,1.0
0.0,0.1,5,none,strong,continuous,pet_peese,40,1.0,0.0933,0.1963,0.775,0.5983,0.7472,1.0
0.0,0.1,5,none,strong,continuous,reml_hksj,40,1.0,0.0755,0.1279,0.9,0.4673,0.422,0.9
0.0,0.1,5,none,strong,continuous,trim_and_fill,40,1.0,-0.0095,0.1283,0.475,0.1646,0.5536,1.0
0.0,0.1,5,none,strong,continuous,ubcma,38,0.95,-0.0142,0.1665,0.842,0.5459,0.6398,0.95
0.0,0.1,5,none,strong,continuous,vevea_hedges,37,0.925,0.0641,0.1447,0.892,0.4004,0.5561,0.944
0.0,0.1,5,step,strong,continuous,adaptshrink_auto,40,1.0,0.0752,0.1455,0.925,0.7791,0.5,1.0
0.0,0.1,5,step,strong,continuous,adaptshrink_ens,40,1.0,0.0712,0.148,0.85,0.5882,0.5,1.0
0.0,0.1,5,step,strong,continuous,adaptshrink_ens_calib,40,1.0,0.0712,0.148,0.925,0.7747,0.5,1.0
0.0,0.1,5,step,strong,continuous,adaptshrink_fast,40,1.0,0.085,0.1764,0.95,1.7726,0.458,0.8
0.0,0.1,5,step,strong,continuous,adaptshrink_petgate,40,1.0,0.119,0.1588,0.85,0.5758,0.5932,1.0
0.0,0.1,5,step,strong,continuous,adaptshrink_solo,40,1.0,0.1127,0.2339,0.9,1.5728,0.7594,0.9
