mu,tau,k,mechanism,strength,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.0,10,copas,strong,adaptshrink_fast,0.988,True,10,1,3,6,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,ubcma",False
0.0,0.0,10,none,strong,adaptshrink_fast,0.975,True,10,0,4,6,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,ubcma",False
0.0,0.0,10,step,strong,adaptshrink_fast,0.963,True,10,0,10,0,-,True
0.0,0.0,40,copas,strong,adaptshrink_fast,0.8,False,12,1,6,5,"adaptshrink_ens,adaptshrink_solo,henmi_copas,trim_and_fill,ubcma",False
0.0,0.0,40,none,strong,adaptshrink_fast,0.787,False,11,1,3,7,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj,trim_and_fill,ubcma",False
0.0,0.0,40,step,strong,adaptshrink_fast,1.0,True,11,1,10,0,-,True
0.0,0.1,10,copas,strong,adaptshrink_fast,0.95,True,10,1,8,1,adaptshrink_ens,False
0.0,0.1,10,none,strong,adaptshrink_fast,0.975,True,10,2,8,0,-,True
0.0,0.1,10,step,strong,adaptshrink_fast,0.925,True,10,1,9,0,-,True
0.0,0.1,40,copas,strong,adaptshrink_fast,0.787,False,12,3,1,8,"adaptshrink_ens,copas,dl_hksj,henmi_copas,pet_peese,reml_hksj,trim_and_fill,ubcma",False
0.0,0.1,40,none,strong,adaptshrink_fast,0.912,True,12,3,6,3,"copas,dl_hksj,reml_hksj",False
0.0,0.1,40,step,strong,adaptshrink_fast,0.875,False,12,7,4,1,trim_and_fill,False
0.0,0.3,10,copas,strong,adaptshrink_fast,0.812,False,12,1,6,5,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,10,none,strong,adaptshrink_fast,0.912,True,11,2,9,0,-,True
0.0,0.3,10,step,strong,adaptshrink_fast,0.75,False,12,0,11,1,trim_and_fill,False
0.0,0.3,40,copas,strong,adaptshrink_fast,0.8,False,11,4,3,4,"copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,40,none,strong,adaptshrink_fast,0.938,True,11,3,5,3,"copas,dl_hksj,reml_hksj",False
0.0,0.3,40,step,strong,adaptshrink_fast,0.738,False,12,5,6,1,trim_and_fill,False
0.2,0.0,10,copas,strong,adaptshrink_fast,0.938,True,11,0,10,1,adaptshrink_ens,False
0.2,0.0,10,none,strong,adaptshrink_fast,0.963,True,11,2,4,5,"adaptshrink_ens,copas,dl_hksj,henmi_copas,reml_hksj",False
0.2,0.0,10,step,strong,adaptshrink_fast,0.925,True,11,6,5,0,-,True
0.2,0.0,40,copas,strong,adaptshrink_fast,0.512,False,12,1,8,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.2,0.0,40,none,strong,adaptshrink_fast,0.75,False,11,2,7,2,"adaptshrink_ens,ubcma",False
0.2,0.0,40,step,strong,adaptshrink_fast,0.713,False,12,0,9,3,"adaptshrink_ens,trim_and_fill,ubcma",False
0.2,0.1,10,copas,strong,adaptshrink_fast,0.925,True,11,1,10,0,-,True
0.2,0.1,10,none,strong,adaptshrink_fast,0.95,True,11,6,5,0,-,True
0.2,0.1,10,step,strong,adaptshrink_fast,0.875,False,11,0,9,2,"adaptshrink_ens,trim_and_fill",False
0.2,0.1,40,copas,strong,adaptshrink_fast,0.662,False,12,1,7,4,"adaptshrink_ens,henmi_copas,trim_and_fill,ubcma",False
0.2,0.1,40,none,strong,adaptshrink_fast,0.825,False,12,2,7,3,"adaptshrink_ens,henmi_copas,ubcma",False
0.2,0.1,40,step,strong,adaptshrink_fast,0.625,False,12,5,6,1,trim_and_fill,False
0.2,0.3,10,copas,strong,adaptshrink_fast,0.838,False,12,0,9,3,"copas,dl_hksj,reml_hksj",False
0.2,0.3,10,none,strong,adaptshrink_fast,0.912,True,12,4,5,3,"copas,dl_hksj,reml_hksj",False
0.2,0.3,10,step,strong,adaptshrink_fast,0.725,False,11,1,8,2,"henmi_copas,trim_and_fill",False
0.2,0.3,40,copas,strong,adaptshrink_fast,0.812,False,11,2,9,0,-,False
0.2,0.3,40,none,strong,adaptshrink_fast,0.925,True,11,4,4,3,"copas,dl_hksj,reml_hksj",False
0.2,0.3,40,step,strong,adaptshrink_fast,0.625,False,12,5,6,1,trim_and_fill,False
