mu,tau,k,mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
0.0,0.0,10,none,strong,0,dl_hksj,0.0,0.0923454404829165,-0.0479112549898495,0.2326021359556825,True
0.0,0.0,10,none,strong,0,reml_hksj,0.0,0.0859396858431326,-0.0467068131957803,0.2185861848820456,True
0.0,0.0,10,none,strong,0,trim_and_fill,0.0,-0.0846285543485337,-0.1463405713076782,-0.0229165373893893,True
0.0,0.0,10,none,strong,0,pet_peese,0.0,-0.0657721440085771,-0.2990758390777287,0.1675315510605744,True
0.0,0.0,10,none,strong,0,copas,0.0,0.0793846838181343,-0.0098527862262097,0.1686221538624785,True
0.0,0.0,10,none,strong,0,henmi_copas,0.0,0.0770604887967807,-0.0539993188924375,0.2081202964859989,True
0.0,0.0,10,none,strong,0,vevea_hedges,0.0,0.068399602820771,-0.0284613955271997,0.1773759642689075,True
0.0,0.0,10,none,strong,0,p_curve,0.0,0.4736519691670299,,,True
0.0,0.0,10,none,strong,0,p_uniform_star,0.0,0.1517061205927688,-0.1279869662678356,0.4313992074533733,True
0.0,0.0,10,none,strong,0,ubcma,0.0,-0.0020286578773163,-0.164516352011116,0.1584862570332018,False
0.0,0.0,10,none,strong,0,adaptshrink_solo,0.0,0.0790310043169787,-0.2486620414328654,0.4067240500668229,True
0.0,0.0,10,none,strong,0,adaptshrink_ens,0.0,-0.0833005050041265,-0.4749776855764054,0.3083766755681523,True
0.0,0.0,10,none,strong,0,adaptshrink_fast,0.0,0.0657984149436026,-0.2084733533772451,0.3400701832644503,True
0.0,0.0,10,none,strong,1,dl_hksj,0.0,0.2048319768227849,0.1313381123012474,0.2783258413443225,True
0.0,0.0,10,none,strong,1,reml_hksj,0.0,0.2031234894700523,0.1220836759832099,0.2841633029568948,True
0.0,0.0,10,none,strong,1,trim_and_fill,0.0,0.2005990360558013,0.146579454169129,0.2546186179424736,True
0.0,0.0,10,none,strong,1,pet_peese,0.0,0.2156947535040204,0.1451706325880862,0.2862188744199546,True
0.0,0.0,10,none,strong,1,copas,0.0,0.2049031733247706,0.1414732416593399,0.2683331049902014,True
0.0,0.0,10,none,strong,1,henmi_copas,0.0,0.2075906616277074,0.1416108394434702,0.2735704838119446,True
0.0,0.0,10,none,strong,1,vevea_hedges,0.0,0.1970617524296639,0.1056183684725747,0.288505136386753,True
0.0,0.0,10,none,strong,1,p_curve,0.0,0.1877028899800919,0.0001397906332006,0.2884954049685508,True
0.0,0.0,10,none,strong,1,p_uniform_star,0.0,0.1843660386361252,0.0640515847908261,0.3046804924814242,True
0.0,0.0,10,none,strong,1,ubcma,0.0,0.0728909658918806,-0.0726352124142739,0.2250335368655184,True
0.0,0.0,10,none,strong,1,adaptshrink_solo,0.0,0.2048319768227849,0.1218163095139087,0.2878476441316612,True
0.0,0.0,10,none,strong,1,adaptshrink_ens,0.0,0.2026448246747604,0.073632992752773,0.3316566565967478,True
0.0,0.0,10,none,strong,1,adaptshrink_fast,0.0,0.2031976408421766,0.0792737803591556,0.3271215013251976,True
0.0,0.0,10,none,strong,2,dl_hksj,0.0,0.1272432732888123,0.0514362248076848,0.2030503217699397,True
0.0,0.0,10,none,strong,2,reml_hksj,0.0,0.1255482997831822,0.0445367521126003,0.2065598474537641,True
0.0,0.0,10,none,strong,2,trim_and_fill,0.0,0.015334054331581,-0.0347582756056203,0.0654263842687824,True
0.0,0.0,10,none,strong,2,pet_peese,0.0,0.1697021921546608,0.0610360540539643,0.2783683302553573,True
0.0,0.0,10,none,strong,2,copas,0.0,0.1269125477188939,0.0604303866027511,0.1933947088350368,True
0.0,0.0,10,none,strong,2,henmi_copas,0.0,0.1272432732888123,0.0655653043304368,0.1889212422471878,True
0.0,0.0,10,none,strong,2,vevea_hedges,0.0,0.0973187021430464,-0.0021042955352496,0.1936430887914932,True
0.0,0.0,10,none,strong,2,p_curve,0.0,0.1377224269347051,-0.1548536837162682,0.2822106659926251,True
0.0,0.0,10,none,strong,2,p_uniform_star,0.0,0.084776328414296,-0.0077721888519228,,False
0.0,0.0,10,none,strong,2,ubcma,0.0,0.0449241147743954,-0.0769376247840911,0.1716128718783339,True
0.0,0.0,10,none,strong,2,adaptshrink_solo,0.0,0.1272432732888123,-0.066464590416936,0.3209511369945607,True
0.0,0.0,10,none,strong,2,adaptshrink_ens,0.0,0.0316854748463314,-0.1550551248574223,0.218426074550085,True
0.0,0.0,10,none,strong,2,adaptshrink_fast,0.0,0.1309453805289598,-0.5270328829722003,0.78892364403012,True
0.0,0.0,10,none,strong,3,dl_hksj,0.0,0.057353199199551,-0.0385564684747317,0.1532628668738339,True
0.0,0.0,10,none,strong,3,reml_hksj,0.0,0.0540521987682186,-0.0259944209985966,0.134098818535034,True
0.0,0.0,10,none,strong,3,trim_and_fill,0.0,0.0131231245500422,-0.042062033141955,0.0683082822420395,True
0.0,0.0,10,none,strong,3,pet_peese,0.0,0.0868216903014752,-0.0312483254953006,0.2048917060982512,True
0.0,0.0,10,none,strong,3,copas,0.0,0.0540521885344295,-0.0073551065013468,0.115459483570206,True
0.0,0.0,10,none,strong,3,henmi_copas,0.0,0.0540521934965639,-0.0375918784214565,0.1456962654145843,True
0.0,0.0,10,none,strong,3,vevea_hedges,0.0,0.0467007109213319,-0.0228412820799226,0.1252455998931309,True
0.0,0.0,10,none,strong,3,p_curve,0.0,0.0610816211266765,,,True
0.0,0.0,10,none,strong,3,p_uniform_star,0.0,0.0505352407793586,-0.0237952908236052,,False
0.0,0.0,10,none,strong,3,ubcma,0.0,0.0232903525833285,-0.063947934007494,0.1044093380542336,True
0.0,0.0,10,none,strong,3,adaptshrink_solo,0.0,0.057353199199551,-0.0062115897496063,0.1209179881487085,True
0.0,0.0,10,none,strong,3,adaptshrink_ens,0.0,0.0215809402652131,-0.1041137986510454,0.1472756791814717,True
0.0,0.0,10,none,strong,3,adaptshrink_fast,0.0,0.0592250937832742,-0.4118449662036402,0.5302951537701888,True
0.0,0.0,10,none,strong,4,dl_hksj,0.0,0.1044864616764369,-0.0039147267911616,0.2128876501440355,True
0.0,0.0,10,none,strong,4,reml_hksj,0.0,0.1044116063054365,-0.0024389694719677,0.2112621820828409,True
0.0,0.0,10,none,strong,4,trim_and_fill,0.0,0.0414093021908836,-0.0189313894570589,0.1017499938388261,True
0.0,0.0,10,none,strong,4,pet_peese,0.0,0.1169785153074077,-0.040885380289491,0.2748424109043066,True
0.0,0.0,10,none,strong,4,copas,0.0,0.101240912521733,0.0304317297321864,0.1720500953112797,True
0.0,0.0,10,none,strong,4,henmi_copas,0.0,0.1012409076945229,-0.0050150448094453,0.2074968601984912,True
0.0,0.0,10,none,strong,4,vevea_hedges,0.0,0.1458805171345925,-0.0145025340467882,0.3062635683159732,True
0.0,0.0,10,none,strong,4,p_curve,0.0,0.3956915590658607,,,True
0.0,0.0,10,none,strong,4,p_uniform_star,0.0,0.1436487309650634,-0.0088092990002987,0.2961067609304255,True
0.0,0.0,10,none,strong,4,ubcma,0.0,0.0815761914967286,-0.099018613680554,0.2170112700558093,True
0.0,0.0,10,none,strong,4,adaptshrink_solo,0.0,0.1044864616764369,0.0107487625891774,0.1982241607636964,True
0.0,0.0,10,none,strong,4,adaptshrink_ens,0.0,0.0650807849401286,-0.1174708211918948,0.2476323910721521,True
0.0,0.0,10,none,strong,4,adaptshrink_fast,0.0,0.1362122202380731,-0.0702452202994818,0.342669660775628,True
