mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
smooth,moderate,0,reml_hksj,0.2,0.3018584602396295,0.2386666447992437,0.3650502756800152,True
smooth,moderate,0,trim_and_fill,0.2,0.2041759031828623,0.1674459081124098,0.2409058982533149,True
smooth,moderate,0,pet_peese,0.2,0.2904191839102072,0.2201353665239712,0.3607030012964433,True
smooth,moderate,0,copas,0.2,0.3014409520190059,0.2503256274962002,0.3525562765418115,True
smooth,moderate,0,ubcma,0.2,0.2319011365591135,0.1183860811816272,0.3367614212413206,True
smooth,moderate,0,henmi_copas,0.2,0.3005664368397834,0.2363270144176975,0.3648058592618693,True
smooth,moderate,0,adaptshrink_ens,0.2,0.2232608055794799,0.0717801555888794,0.3747414555700805,True
smooth,moderate,0,adaptshrink_solo,0.2,0.3026255234712185,0.2446898823042851,0.360561164638152,True
smooth,moderate,1,reml_hksj,0.2,0.2749410043507992,0.1879815633942795,0.361900445307319,True
smooth,moderate,1,trim_and_fill,0.2,0.1377058628822954,0.1027331406296406,0.1726785851349502,True
smooth,moderate,1,pet_peese,0.2,0.2486318669607831,0.1907258585158478,0.3065378754057184,True
smooth,moderate,1,copas,0.2,0.2745351612522843,0.1980710622737069,0.3509992602308617,True
smooth,moderate,1,ubcma,0.2,0.2486060635697153,0.1156129046065081,0.3914209127794528,False
smooth,moderate,1,henmi_copas,0.2,0.262140527033918,0.1650375140780129,0.3592435399898231,True
smooth,moderate,1,adaptshrink_ens,0.2,0.1889810902567701,-0.5450360396347274,0.9229982201482676,True
smooth,moderate,1,adaptshrink_solo,0.2,0.2742246036551489,0.1924351125768321,0.3560140947334657,True
smooth,moderate,2,reml_hksj,0.2,0.2216976447883001,0.1379293950317665,0.3054658945448336,True
smooth,moderate,2,trim_and_fill,0.2,0.023483600332166,-0.0138432657812837,0.0608104664456159,True
smooth,moderate,2,pet_peese,0.2,0.224363890137161,0.1457461435481363,0.3029816367261857,True
smooth,moderate,2,copas,0.2,0.2217370453607273,0.1453588301465426,0.298115260574912,True
smooth,moderate,2,ubcma,0.2,0.1247699524211698,0.0185403375803601,0.2212024523254343,True
smooth,moderate,2,henmi_copas,0.2,0.2186705035298509,0.1307316546352709,0.3066093524244309,True
smooth,moderate,2,adaptshrink_ens,0.2,0.1231546969614976,-0.1671441914205855,0.4134535853435809,True
smooth,moderate,2,adaptshrink_solo,0.2,0.2217218172172018,0.1333724070224608,0.3100712274119429,True
smooth,moderate,3,reml_hksj,0.2,0.3336673087048927,0.2698661805479076,0.3974684368618779,True
smooth,moderate,3,trim_and_fill,0.2,0.1931339840490083,0.1645448178195688,0.2217231502784477,True
smooth,moderate,3,pet_peese,0.2,0.2843879502720107,0.2374576537325571,0.3313182468114642,True
smooth,moderate,3,copas,0.2,0.332708304387706,0.2738884755867189,0.391528133188693,True
smooth,moderate,3,ubcma,0.2,0.2203295833943382,0.0857650079370109,0.3495532170743481,True
smooth,moderate,3,henmi_copas,0.2,0.3163127429057663,0.2414871110430911,0.3911383747684414,True
smooth,moderate,3,adaptshrink_ens,0.2,0.2103214108764148,0.0592745609901582,0.3613682607626715,True
smooth,moderate,3,adaptshrink_solo,0.2,0.284693472909,0.0140645748204498,0.5553223709975503,True
smooth,moderate,4,reml_hksj,0.2,0.3210704147435755,0.2297594810762652,0.4123813484108858,True
smooth,moderate,4,trim_and_fill,0.2,0.2218598246654516,0.1846989278541415,0.2590207214767617,True
smooth,moderate,4,pet_peese,0.2,0.3169403547841598,0.2563904449796895,0.3774902645886301,True
smooth,moderate,4,copas,0.2,0.3208445000902835,0.2485656521058222,0.3931233480747448,True
smooth,moderate,4,ubcma,0.2,0.2521828878955809,0.1496920137730757,0.3535119221494908,True
smooth,moderate,4,henmi_copas,0.2,0.3219269171727103,0.226302227999127,0.4175516063462935,True
smooth,moderate,4,adaptshrink_ens,0.2,0.2439142878792053,0.0819905076356729,0.4058380681227377,True
smooth,moderate,4,adaptshrink_solo,0.2,0.3209941110993096,0.2444959278012179,0.3974922943974012,True
smooth,moderate,5,reml_hksj,0.2,0.3031399759129249,0.2297545297728703,0.3765254220529795,True
smooth,moderate,5,trim_and_fill,0.2,0.1386468861205299,0.0998072884882619,0.1774864837527978,True
smooth,moderate,5,pet_peese,0.2,0.2439258004993805,0.1680840731222116,0.3197675278765494,True
smooth,moderate,5,copas,0.2,0.3021516926862177,0.2361284145820419,0.3681749707903935,True
smooth,moderate,5,ubcma,0.2,0.2113785133457377,0.1019551723375647,0.3086401863518446,True
smooth,moderate,5,henmi_copas,0.2,0.2923462390759837,0.2188510394731757,0.3658414386787917,True
smooth,moderate,5,adaptshrink_ens,0.2,0.2113044095035734,0.0117496926466158,0.4108591263605309,True
smooth,moderate,5,adaptshrink_solo,0.2,0.2493250843790353,-0.0795678456083318,0.5782180143664024,True
smooth,moderate,6,reml_hksj,0.2,0.3348897982155735,0.2260910376899467,0.4436885587412003,True
smooth,moderate,6,trim_and_fill,0.2,0.296175735589943,0.2578654774374236,0.3344859937424624,True
smooth,moderate,6,pet_peese,0.2,0.4792145271771223,0.4134195844633826,0.545009469890862,True
smooth,moderate,6,copas,0.2,0.3359763898294113,0.2391740651548004,0.4327787145040221,True
smooth,moderate,6,ubcma,0.2,0.2781825818605707,0.1719834875614656,0.3815600279131249,True
smooth,moderate,6,henmi_copas,0.2,0.3897752905581948,0.2720052475238126,0.507545333592577,True
smooth,moderate,6,adaptshrink_ens,0.2,0.296051167722124,0.1828590873815381,0.4092432480627099,True
smooth,moderate,6,adaptshrink_solo,0.2,0.5136091839691834,0.2619362663342583,0.7652821016041085,True
smooth,moderate,7,reml_hksj,0.2,0.2929009897172437,0.2231255203243785,0.3626764591101089,True
smooth,moderate,7,trim_and_fill,0.2,0.1095646804405807,0.0753518147951152,0.1437775460860462,True
smooth,moderate,7,pet_peese,0.2,0.2404319842843631,0.1799878548702631,0.3008761136984631,True
smooth,moderate,7,copas,0.2,0.2920721585277229,0.227672443611552,0.3564718734438938,True
smooth,moderate,7,ubcma,0.2,0.287250263102208,0.2058109925212984,0.3626299806533289,True
smooth,moderate,7,henmi_copas,0.2,0.2708870499688162,0.190345769887424,0.3514283300502084,True
smooth,moderate,7,adaptshrink_ens,0.2,0.2439566018631739,0.0643589280808495,0.4235542756454983,True
