mu,tau,k,mechanism,strength,outcome,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.1,5,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.0434,0.0993,1.0,0.7144,0.2874,0.75
0.0,0.1,5,copas,moderate,continuous,adaptshrink_ens,40,1.0,0.0271,0.1129,0.975,0.5535,0.349,0.75
0.0,0.1,5,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.0271,0.1129,1.0,0.7228,0.349,0.75
0.0,0.1,5,copas,moderate,continuous,adaptshrink_fast,40,1.0,0.0754,0.1609,1.0,2.3167,0.4623,0.75
0.0,0.1,5,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.075,0.1076,0.975,0.6004,0.2943,0.7
0.0,0.1,5,copas,moderate,continuous,adaptshrink_solo,40,1.0,0.0442,0.1534,0.95,1.8823,0.4955,0.85
0.0,0.1,5,copas,moderate,continuous,copas,40,1.0,0.0857,0.1141,0.8,0.3166,0.3371,0.8
0.0,0.1,5,copas,moderate,continuous,dl_hksj,40,1.0,0.0939,0.1216,0.95,0.5807,0.3717,0.8
0.0,0.1,5,copas,moderate,continuous,henmi_copas,40,1.0,0.0825,0.1151,0.875,0.541,0.3231,0.75
0.0,0.1,5,copas,moderate,continuous,p_curve,6,0.15,,,,,,
0.0,0.1,5,copas,moderate,continuous,p_uniform_star,20,0.5,0.1342,0.204,0.95,1.156,0.5549,0.8
0.0,0.1,5,copas,moderate,continuous,pet_peese,40,1.0,0.0371,0.2835,0.85,0.7746,0.8149,0.9
0.0,0.1,5,copas,moderate,continuous,reml_hksj,40,1.0,0.094,0.1221,0.95,0.5741,0.3756,0.85
0.0,0.1,5,copas,moderate,continuous,trim_and_fill,40,1.0,-0.0081,0.0868,0.65,0.1683,0.3663,0.95
0.0,0.1,5,copas,moderate,continuous,ubcma,40,1.0,0.068,0.1551,0.825,0.5931,0.4757,0.8
0.0,0.1,5,copas,moderate,continuous,vevea_hedges,36,0.9,0.0903,0.1546,0.806,0.4097,0.327,0.722
0.0,0.1,5,step,moderate,continuous,adaptshrink_auto,40,1.0,0.089,0.1428,1.0,0.8451,0.5484,1.0
0.0,0.1,5,step,moderate,continuous,adaptshrink_ens,40,1.0,0.075,0.1348,0.95,0.6546,0.5227,1.0
0.0,0.1,5,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.075,0.1348,1.0,0.8599,0.5227,1.0
0.0,0.1,5,step,moderate,continuous,adaptshrink_fast,40,1.0,0.1107,0.1955,1.0,2.5621,1.0286,1.0
0.0,0.1,5,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.1177,0.1594,0.95,0.6823,0.6107,1.0
0.0,0.1,5,step,moderate,continuous,adaptshrink_solo,40,1.0,0.1571,0.5069,0.9,1.9607,1.3432,0.95
0.0,0.1,5,step,moderate,continuous,copas,40,1.0,0.1244,0.163,0.55,0.3042,0.6188,1.0
0.0,0.1,5,step,moderate,continuous,dl_hksj,40,1.0,0.1305,0.1673,0.825,0.6059,0.5934,1.0
0.0,0.1,5,step,moderate,continuous,henmi_copas,40,1.0,0.1279,0.1644,0.7,0.5037,0.6188,1.0
0.0,0.1,5,step,moderate,continuous,p_curve,14,0.35,0.1954,0.2359,0.857,0.9287,0.8004,1.0
0.0,0.1,5,step,moderate,continuous,p_uniform_star,22,0.55,0.0822,0.1675,0.955,0.6361,0.8218,1.0
0.0,0.1,5,step,moderate,continuous,pet_peese,40,1.0,0.1117,0.3901,0.7,0.7517,1.1099,0.95
0.0,0.1,5,step,moderate,continuous,reml_hksj,40,1.0,0.1299,0.1666,0.825,0.6009,0.5924,1.0
0.0,0.1,5,step,moderate,continuous,trim_and_fill,40,1.0,0.057,0.1267,0.525,0.1913,0.5099,1.0
0.0,0.1,5,step,moderate,continuous,ubcma,38,0.95,0.0786,0.1889,0.842,0.723,0.7139,0.944
0.0,0.1,5,step,moderate,continuous,vevea_hedges,39,0.975,0.1046,0.1813,0.795,0.4743,0.8201,1.0
0.0,0.1,40,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.0045,0.0545,0.975,0.6213,0.1983,0.95
0.0,0.1,40,copas,moderate,continuous,adaptshrink_ens,40,1.0,-0.0001,0.054,1.0,0.4725,0.1788,0.9
0.0,0.1,40,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,-0.0001,0.054,1.0,0.6339,0.1788,0.9
0.0,0.1,40,copas,moderate,continuous,adaptshrink_fast,40,1.0,0.0874,0.0965,0.85,0.2878,0.2549,0.85
0.0,0.1,40,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.0735,0.0795,0.55,0.1881,0.2093,0.8
0.0,0.1,40,copas,moderate,continuous,adaptshrink_solo,40,1.0,0.0883,0.1029,0.525,0.2441,0.2252,0.7
0.0,0.1,40,copas,moderate,continuous,copas,40,1.0,0.0869,0.0914,0.175,0.1144,0.2233,0.8
0.0,0.1,40,copas,moderate,continuous,dl_hksj,40,1.0,0.0874,0.0918,0.2,0.1227,0.2236,0.8
0.0,0.1,40,copas,moderate,continuous,henmi_copas,40,1.0,0.0853,0.0903,0.3,0.1376,0.211,0.7
0.0,0.1,40,copas,moderate,continuous,p_curve,38,0.95,0.2016,0.2176,0.5,0.3713,0.6692,0.889
0.0,0.1,40,copas,moderate,continuous,p_uniform_star,40,1.0,0.0884,0.0996,0.5,0.1768,0.2915,0.85
0.0,0.1,40,copas,moderate,continuous,pet_peese,40,1.0,0.0659,0.0888,0.625,0.1491,0.2329,0.75
0.0,0.1,40,copas,moderate,continuous,reml_hksj,40,1.0,0.0876,0.092,0.175,0.123,0.2244,0.8
0.0,0.1,40,copas,moderate,continuous,trim_and_fill,40,1.0,-0.0689,0.0935,0.175,0.0572,0.311,0.95
0.0,0.1,40,copas,moderate,continuous,ubcma,38,0.95,0.0067,0.0574,0.816,0.2179,0.1596,0.7
0.0,0.1,40,copas,moderate,continuous,vevea_hedges,40,1.0,0.0902,0.1008,0.475,0.1747,0.2868,0.85
0.0,0.1,40,step,moderate,continuous,adaptshrink_auto,40,1.0,0.0246,0.0733,1.0,0.797,0.286,1.0
0.0,0.1,40,step,moderate,continuous,adaptshrink_ens,40,1.0,0.0112,0.0807,0.95,0.6688,0.286,0.95
0.0,0.1,40,step,moderate,continuous,adaptshrink_ens_calib,40,1.0,0.0112,0.0807,1.0,0.8547,0.286,0.95
0.0,0.1,40,step,moderate,continuous,adaptshrink_fast,40,1.0,0.077,0.1003,0.875,0.3941,0.3255,0.9
0.0,0.1,40,step,moderate,continuous,adaptshrink_petgate,40,1.0,0.0967,0.1121,0.55,0.2814,0.3589,0.9
0.0,0.1,40,step,moderate,continuous,adaptshrink_solo,40,1.0,0.106,0.1247,0.6,0.3665,0.3707,0.85
0.0,0.1,40,step,moderate,continuous,copas,40,1.0,0.1125,0.1245,0.325,0.1612,0.3699,0.9
0.0,0.1,40,step,moderate,continuous,dl_hksj,40,1.0,0.1133,0.125,0.35,0.1846,0.3707,0.9
0.0,0.1,40,step,moderate,continuous,henmi_copas,40,1.0,0.1092,0.1225,0.375,0.2116,0.3761,0.85
0.0,0.1,40,step,moderate,continuous,p_curve,38,0.95,0.181,0.2062,0.579,0.5429,0.5584,0.842
0.0,0.1,40,step,moderate,continuous,p_uniform_star,38,0.95,0.0793,0.0997,0.684,0.2274,0.2888,0.895
0.0,0.1,40,step,moderate,continuous,pet_peese,40,1.0,0.0855,0.1247,0.5,0.1775,0.3888,0.95
0.0,0.1,40,step,moderate,continuous,reml_hksj,40,1.0,0.1129,0.1248,0.35,0.1835,0.3705,0.9
0.0,0.1,40,step,moderate,continuous,trim_and_fill,40,1.0,-0.048,0.0994,0.3,0.0749,0.3028,0.85
0.0,0.1,40,step,moderate,continuous,ubcma,34,0.85,0.0466,0.0905,0.853,0.2924,0.2769,0.938
0.0,0.1,40,step,moderate,continuous,vevea_hedges,40,1.0,0.0742,0.0973,0.725,0.2184,0.3004,0.85
0.0,0.3,5,copas,moderate,continuous,adaptshrink_auto,40,1.0,0.0666,0.1683,0.975,1.0027,0.7489,1.0
0.0,0.3,5,copas,moderate,continuous,adaptshrink_ens,40,1.0,-0.0591,0.2152,0.725,0.668,0.876,1.0
0.0,0.3,5,copas,moderate,continuous,adaptshrink_ens_calib,40,1.0,-0.0591,0.2152,0.85,0.8891,0.876,1.0
0.0,0.3,5,copas,moderate,continuous,adaptshrink_fast,40,1.0,0.2461,0.9416,0.95,3.2068,0.9217,0.85
0.0,0.3,5,copas,moderate,continuous,adaptshrink_petgate,40,1.0,0.0789,0.1759,0.925,0.9022,0.7474,1.0
0.0,0.3,5,copas,moderate,continuous,adaptshrink_solo,40,1.0,0.0587,0.2763,0.975,3.149,1.2904,1.0
0.0,0.3,5,copas,moderate,continuous,copas,40,1.0,0.0949,0.1707,0.7,0.5027,0.7179,1.0
0.0,0.3,5,copas,moderate,continuous,dl_hksj,40,1.0,0.1061,0.1765,0.9,0.9517,0.7399,1.0
0.0,0.3,5,copas,moderate,continuous,henmi_copas,40,1.0,0.074,0.1816,0.85,1.0784,0.6933,1.0
0.0,0.3,5,copas,moderate,continuous,p_curve,16,0.4,0.402,0.4273,0.438,0.7589,1.2,0.833
