mu,tau,k,mechanism,strength,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.0,10,copas,strong,adaptshrink_ens,80,1.0,-0.0057,0.0682,0.975,0.4171,0.2139,0.9
0.0,0.0,10,copas,strong,adaptshrink_fast,80,1.0,0.0832,0.1065,0.988,1.1086,0.3146,0.775
0.0,0.0,10,copas,strong,adaptshrink_solo,80,1.0,0.0566,0.1069,0.875,0.5814,0.3144,0.9
0.0,0.0,10,copas,strong,copas,80,1.0,0.0898,0.1004,0.45,0.1725,0.2813,0.825
0.0,0.0,10,copas,strong,dl_hksj,80,1.0,0.0908,0.1012,0.613,0.2183,0.281,0.8
0.0,0.0,10,copas,strong,henmi_copas,80,1.0,0.085,0.0974,0.562,0.2024,0.272,0.825
0.0,0.0,10,copas,strong,p_curve,21,0.262,0.1117,0.1774,0.857,0.9367,0.5064,0.727
0.0,0.0,10,copas,strong,p_uniform_star,43,0.538,0.1351,0.1564,0.884,0.4415,0.3522,0.619
0.0,0.0,10,copas,strong,pet_peese,80,1.0,0.0358,0.1193,0.9,0.3985,0.387,0.85
0.0,0.0,10,copas,strong,reml_hksj,80,1.0,0.0912,0.1015,0.625,0.2209,0.2807,0.8
0.0,0.0,10,copas,strong,trim_and_fill,80,1.0,-0.0226,0.0778,0.537,0.1169,0.2615,0.9
0.0,0.0,10,copas,strong,ubcma,74,0.925,0.0099,0.067,1.0,0.336,0.1639,0.784
0.0,0.0,10,copas,strong,vevea_hedges,78,0.975,0.0962,0.1146,0.679,0.2563,0.3463,0.825
0.0,0.0,10,none,strong,adaptshrink_ens,80,1.0,-0.0071,0.0745,0.963,0.4137,0.2164,0.8
0.0,0.0,10,none,strong,adaptshrink_fast,80,1.0,0.0794,0.1114,0.975,0.9097,0.293,0.825
0.0,0.0,10,none,strong,adaptshrink_solo,80,1.0,0.0603,0.0913,0.887,0.4546,0.2546,0.825
0.0,0.0,10,none,strong,copas,80,1.0,0.068,0.0842,0.613,0.1629,0.2353,0.825
0.0,0.0,10,none,strong,dl_hksj,80,1.0,0.0691,0.0854,0.75,0.2063,0.2465,0.825
0.0,0.0,10,none,strong,henmi_copas,80,1.0,0.0668,0.0827,0.7,0.1938,0.2353,0.825
0.0,0.0,10,none,strong,p_curve,23,0.288,0.1351,0.1999,0.652,0.7188,0.571,0.909
0.0,0.0,10,none,strong,p_uniform_star,45,0.562,0.1303,0.1778,0.867,0.4465,0.5965,0.87
0.0,0.0,10,none,strong,pet_peese,80,1.0,0.0384,0.1042,0.863,0.3617,0.3583,0.925
0.0,0.0,10,none,strong,reml_hksj,80,1.0,0.0689,0.0851,0.738,0.2057,0.2513,0.85
0.0,0.0,10,none,strong,trim_and_fill,80,1.0,-0.0353,0.0932,0.512,0.1143,0.3374,0.925
0.0,0.0,10,none,strong,ubcma,76,0.95,0.0015,0.0709,0.961,0.3175,0.2454,0.947
0.0,0.0,10,none,strong,vevea_hedges,80,1.0,0.0868,0.1284,0.75,0.3154,0.3043,0.75
0.0,0.0,10,step,strong,adaptshrink_ens,80,1.0,0.0344,0.0941,0.925,0.4251,0.3574,0.95
0.0,0.0,10,step,strong,adaptshrink_fast,80,1.0,0.0861,0.1154,0.963,0.9666,0.3819,0.95
0.0,0.0,10,step,strong,adaptshrink_solo,80,1.0,0.1117,0.1299,0.812,0.524,0.4549,0.925
0.0,0.0,10,step,strong,copas,80,1.0,0.1122,0.1298,0.325,0.1754,0.448,0.95
0.0,0.0,10,step,strong,dl_hksj,80,1.0,0.1132,0.1314,0.537,0.2401,0.4559,0.95
0.0,0.0,10,step,strong,henmi_copas,80,1.0,0.1139,0.1312,0.487,0.2197,0.448,0.95
0.0,0.0,10,step,strong,p_curve,45,0.562,0.1221,0.1734,0.778,0.7211,0.5122,0.9
0.0,0.0,10,step,strong,p_uniform_star,46,0.575,0.0829,0.1323,0.87,0.4222,0.4434,0.9
