mu,tau,k,mechanism,strength,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.0,10,copas,strong,adaptshrink_ens_infl,0.988,True,11,3,8,0,-,True
0.0,0.0,10,none,strong,adaptshrink_ens_infl,0.975,True,11,1,10,0,-,True
0.0,0.0,10,step,strong,adaptshrink_ens_infl,0.988,True,11,4,7,0,-,True
0.0,0.0,40,copas,strong,adaptshrink_ens_infl,1.0,True,13,10,3,0,-,True
0.0,0.0,40,none,strong,adaptshrink_ens_infl,1.0,True,12,10,1,1,ubcma,False
0.0,0.0,40,step,strong,adaptshrink_ens_infl,0.975,True,12,7,5,0,-,True
0.0,0.1,10,copas,strong,adaptshrink_ens_infl,0.963,True,11,0,11,0,-,True
0.0,0.1,10,none,strong,adaptshrink_ens_infl,1.0,True,11,2,9,0,-,True
0.0,0.1,10,step,strong,adaptshrink_ens_infl,0.912,True,11,2,9,0,-,True
0.0,0.1,40,copas,strong,adaptshrink_ens_infl,0.988,True,13,11,2,0,-,True
0.0,0.1,40,none,strong,adaptshrink_ens_infl,0.975,True,13,2,11,0,-,True
0.0,0.1,40,step,strong,adaptshrink_ens_infl,0.838,False,13,7,5,1,trim_and_fill,False
0.0,0.3,10,copas,strong,adaptshrink_ens_infl,0.863,False,13,7,2,4,"copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,10,none,strong,adaptshrink_ens_infl,0.912,True,12,1,6,5,"copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.0,0.3,10,step,strong,adaptshrink_ens_infl,0.613,False,13,1,8,4,"copas,dl_hksj,reml_hksj,trim_and_fill",False
0.0,0.3,40,copas,strong,adaptshrink_ens_infl,0.95,True,12,2,9,1,henmi_copas,False
0.0,0.3,40,none,strong,adaptshrink_ens_infl,0.925,True,12,2,5,5,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj",False
0.0,0.3,40,step,strong,adaptshrink_ens_infl,0.625,False,13,3,9,1,trim_and_fill,False
0.2,0.0,10,copas,strong,adaptshrink_ens_infl,1.0,True,12,9,3,0,-,True
0.2,0.0,10,none,strong,adaptshrink_ens_infl,0.988,True,12,2,10,0,-,True
0.2,0.0,10,step,strong,adaptshrink_ens_infl,1.0,True,12,6,6,0,-,True
0.2,0.0,40,copas,strong,adaptshrink_ens_infl,1.0,True,13,10,3,0,-,True
0.2,0.0,40,none,strong,adaptshrink_ens_infl,1.0,True,12,10,2,0,-,True
0.2,0.0,40,step,strong,adaptshrink_ens_infl,1.0,True,13,10,2,1,trim_and_fill,False
0.2,0.1,10,copas,strong,adaptshrink_ens_infl,0.963,True,12,3,9,0,-,True
0.2,0.1,10,none,strong,adaptshrink_ens_infl,0.975,True,12,1,5,6,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj,vevea_hedges",False
0.2,0.1,10,step,strong,adaptshrink_ens_infl,0.988,True,12,9,2,1,trim_and_fill,False
0.2,0.1,40,copas,strong,adaptshrink_ens_infl,1.0,True,13,10,3,0,-,True
0.2,0.1,40,none,strong,adaptshrink_ens_infl,0.988,True,13,7,6,0,-,True
0.2,0.1,40,step,strong,adaptshrink_ens_infl,1.0,True,13,7,5,1,trim_and_fill,False
0.2,0.3,10,copas,strong,adaptshrink_ens_infl,0.887,True,13,3,10,0,-,True
0.2,0.3,10,none,strong,adaptshrink_ens_infl,0.85,False,13,1,7,5,"adaptshrink_fast,copas,dl_hksj,henmi_copas,reml_hksj",False
0.2,0.3,10,step,strong,adaptshrink_ens_infl,0.8,False,12,1,11,0,-,False
