mu,tau,k,mechanism,strength,outcome,method,n,conv_rate,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
0.0,0.15,10,copas,strong,logor,adaptshrink_auto,40,1.0,0.0748,0.1633,1.0,1.5801,0.5895,0.85
0.0,0.15,10,copas,strong,logor,adaptshrink_ens,40,1.0,0.0663,0.1659,1.0,1.3018,0.6899,0.95
0.0,0.15,10,copas,strong,logor,adaptshrink_ens_calib,40,1.0,0.0663,0.1659,1.0,1.7139,0.6899,0.95
0.0,0.15,10,copas,strong,logor,adaptshrink_fast,40,1.0,0.2812,0.3339,1.0,4.3168,1.2106,0.9
0.0,0.15,10,copas,strong,logor,adaptshrink_petgate,40,1.0,0.2068,0.2421,0.85,0.8471,0.8294,0.95
0.0,0.15,10,copas,strong,logor,adaptshrink_solo,40,1.0,0.1243,0.3119,0.9,1.9274,0.8722,0.8
0.0,0.15,10,copas,strong,logor,copas,40,1.0,0.2585,0.2831,0.55,0.5051,0.9473,1.0
0.0,0.15,10,copas,strong,logor,dl_hksj,40,1.0,0.2598,0.2845,0.65,0.6633,0.9475,1.0
0.0,0.15,10,copas,strong,logor,henmi_copas,40,1.0,0.2592,0.284,0.525,0.5095,0.9471,1.0
0.0,0.15,10,copas,strong,logor,p_curve,2,0.05,,,,,,
0.0,0.15,10,copas,strong,logor,p_uniform_star,16,0.4,0.3871,0.5524,1.0,1.7807,1.3921,0.714
0.0,0.15,10,copas,strong,logor,pet_peese,40,1.0,0.0548,0.4614,0.975,2.2102,1.3517,0.7
0.0,0.15,10,copas,strong,logor,reml_hksj,40,1.0,0.2586,0.2833,0.675,0.6617,0.9481,1.0
0.0,0.15,10,copas,strong,logor,trim_and_fill,40,1.0,-0.0312,0.1568,0.85,0.3672,0.8079,1.0
0.0,0.15,10,copas,strong,logor,ubcma,40,1.0,0.2107,0.2744,0.925,0.9984,0.8471,0.85
0.0,0.15,10,copas,strong,logor,vevea_hedges,40,1.0,0.3143,0.3606,0.625,0.7572,1.3689,1.0
0.0,0.15,10,none,strong,logor,adaptshrink_auto,40,1.0,-0.0801,0.2017,0.975,1.666,0.7433,0.9
0.0,0.15,10,none,strong,logor,adaptshrink_ens,40,1.0,-0.117,0.2548,0.9,1.5435,0.9787,0.95
0.0,0.15,10,none,strong,logor,adaptshrink_ens_calib,40,1.0,-0.117,0.2548,0.975,2.0872,0.9787,0.95
0.0,0.15,10,none,strong,logor,adaptshrink_fast,40,1.0,0.056,0.1746,0.975,1.5426,0.5814,0.9
0.0,0.15,10,none,strong,logor,adaptshrink_petgate,40,1.0,0.0047,0.1444,0.975,0.8344,0.5789,1.0
0.0,0.15,10,none,strong,logor,adaptshrink_solo,40,1.0,-0.0033,0.4124,0.95,2.2852,1.7557,0.95
0.0,0.15,10,none,strong,logor,copas,40,1.0,0.057,0.1332,0.9,0.4584,0.6128,0.95
0.0,0.15,10,none,strong,logor,dl_hksj,40,1.0,0.0581,0.132,0.925,0.5665,0.6144,0.95
0.0,0.15,10,none,strong,logor,henmi_copas,40,1.0,0.0584,0.1386,0.9,0.5038,0.6272,0.95
0.0,0.15,10,none,strong,logor,p_curve,1,0.025,,,,,,
0.0,0.15,10,none,strong,logor,p_uniform_star,36,0.9,0.0977,0.2755,0.972,1.0118,0.8542,0.895
0.0,0.15,10,none,strong,logor,pet_peese,40,1.0,0.0275,0.5096,0.9,1.8067,1.9472,1.0
0.0,0.15,10,none,strong,logor,reml_hksj,40,1.0,0.0574,0.132,0.925,0.5658,0.6081,0.95
0.0,0.15,10,none,strong,logor,trim_and_fill,40,1.0,-0.3219,0.3744,0.225,0.3142,1.0306,0.85
0.0,0.15,10,none,strong,logor,ubcma,40,1.0,0.0191,0.1711,0.975,0.8219,0.8042,1.0
0.0,0.15,10,none,strong,logor,vevea_hedges,39,0.975,0.0541,0.1738,0.872,0.5092,0.6774,0.95
0.0,0.15,10,step,strong,logor,adaptshrink_auto,40,1.0,-0.0241,0.2018,1.0,1.5821,0.6486,0.95
0.0,0.15,10,step,strong,logor,adaptshrink_ens,40,1.0,-0.13,0.2624,0.975,1.5584,1.1247,0.95
0.0,0.15,10,step,strong,logor,adaptshrink_ens_calib,40,1.0,-0.13,0.2624,0.975,2.1065,1.1247,0.95
0.0,0.15,10,step,strong,logor,adaptshrink_fast,40,1.0,0.0413,0.1841,1.0,2.4659,0.6283,0.9
0.0,0.15,10,step,strong,logor,adaptshrink_petgate,40,1.0,0.0486,0.1891,0.95,0.8613,0.6486,0.95
0.0,0.15,10,step,strong,logor,adaptshrink_solo,40,1.0,0.0658,0.3569,0.925,1.7988,1.386,1.0
0.0,0.15,10,step,strong,logor,copas,40,1.0,0.0835,0.1968,0.825,0.5007,0.8848,1.0
0.0,0.15,10,step,strong,logor,dl_hksj,40,1.0,0.0843,0.1968,0.875,0.6212,0.8929,1.0
0.0,0.15,10,step,strong,logor,henmi_copas,40,1.0,0.0827,0.1966,0.825,0.5557,0.848,1.0
0.0,0.15,10,step,strong,logor,p_curve,4,0.1,,,,,,
0.0,0.15,10,step,strong,logor,p_uniform_star,36,0.9,0.0395,0.1693,0.972,0.7551,0.6136,0.944
0.0,0.15,10,step,strong,logor,pet_peese,40,1.0,0.0073,0.449,0.875,1.6825,2.3405,1.0
0.0,0.15,10,step,strong,logor,reml_hksj,40,1.0,0.084,0.1972,0.875,0.6273,0.8954,1.0
0.0,0.15,10,step,strong,logor,trim_and_fill,40,1.0,-0.3183,0.3892,0.225,0.3137,1.2623,0.95
0.0,0.15,10,step,strong,logor,ubcma,40,1.0,-0.0086,0.2216,0.9,0.8676,1.0377,1.0
0.0,0.15,10,step,strong,logor,vevea_hedges,37,0.925,0.0452,0.1692,0.892,0.6497,0.649,1.0
0.0,0.15,40,copas,strong,logor,adaptshrink_auto,40,1.0,0.014,0.0975,0.975,1.0917,0.2536,0.8
0.0,0.15,40,copas,strong,logor,adaptshrink_ens,40,1.0,-0.0018,0.0849,1.0,0.8623,0.2536,0.9
0.0,0.15,40,copas,strong,logor,adaptshrink_ens_calib,40,1.0,-0.0018,0.0849,1.0,1.1195,0.2536,0.9
0.0,0.15,40,copas,strong,logor,adaptshrink_fast,40,1.0,0.2293,0.2524,0.975,2.6897,0.7515,0.9
0.0,0.15,40,copas,strong,logor,adaptshrink_petgate,40,1.0,0.1647,0.1778,0.65,0.4562,0.5031,0.8
0.0,0.15,40,copas,strong,logor,adaptshrink_solo,40,1.0,0.1128,0.1809,0.8,0.9558,0.4523,0.75
0.0,0.15,40,copas,strong,logor,copas,40,1.0,0.2387,0.2449,0.0,0.2529,0.6631,0.9
0.0,0.15,40,copas,strong,logor,dl_hksj,40,1.0,0.2387,0.2449,0.025,0.2664,0.6574,0.9
0.0,0.15,40,copas,strong,logor,henmi_copas,40,1.0,0.238,0.2441,0.0,0.2433,0.6574,0.9
0.0,0.15,40,copas,strong,logor,p_curve,13,0.325,0.2743,0.3833,0.923,1.8747,1.061,0.667
0.0,0.15,40,copas,strong,logor,p_uniform_star,16,0.4,0.3335,0.3484,0.188,0.5391,0.8774,0.857
0.0,0.15,40,copas,strong,logor,pet_peese,40,1.0,-0.0059,0.1658,1.0,1.0348,0.5252,0.9
0.0,0.15,40,copas,strong,logor,reml_hksj,40,1.0,0.239,0.2451,0.025,0.2687,0.6655,0.9
0.0,0.15,40,copas,strong,logor,trim_and_fill,40,1.0,-0.0511,0.0853,0.625,0.1895,0.3346,1.0
0.0,0.15,40,copas,strong,logor,ubcma,36,0.9,0.1756,0.2036,0.833,0.5862,0.6387,0.833
0.0,0.15,40,copas,strong,logor,vevea_hedges,40,1.0,0.2733,0.286,0.025,0.3683,0.8474,0.95
0.0,0.15,40,none,strong,logor,adaptshrink_auto,40,1.0,-0.0134,0.1221,1.0,1.2611,0.4955,0.95
0.0,0.15,40,none,strong,logor,adaptshrink_ens,40,1.0,-0.0601,0.1385,0.975,1.4024,0.5088,0.9
0.0,0.15,40,none,strong,logor,adaptshrink_ens_calib,40,1.0,-0.0601,0.1385,1.0,1.9231,0.5088,0.9
0.0,0.15,40,none,strong,logor,adaptshrink_fast,40,1.0,0.07,0.0903,1.0,0.5237,0.3101,0.9
0.0,0.15,40,none,strong,logor,adaptshrink_petgate,40,1.0,0.0474,0.0794,1.0,0.4838,0.2476,0.9
0.0,0.15,40,none,strong,logor,adaptshrink_solo,40,1.0,0.0896,0.1588,0.925,0.5398,0.9686,1.0
0.0,0.15,40,none,strong,logor,copas,40,1.0,0.0657,0.0822,0.775,0.2305,0.2618,1.0
0.0,0.15,40,none,strong,logor,dl_hksj,40,1.0,0.0655,0.0822,0.85,0.2439,0.2631,1.0
0.0,0.15,40,none,strong,logor,henmi_copas,40,1.0,0.0651,0.0816,0.775,0.2385,0.2363,0.75
0.0,0.15,40,none,strong,logor,p_curve,17,0.425,0.5524,0.6011,0.765,1.6901,1.655,0.8
0.0,0.15,40,none,strong,logor,p_uniform_star,40,1.0,0.0726,0.0924,0.95,0.307,0.3726,0.95
0.0,0.15,40,none,strong,logor,pet_peese,40,1.0,0.0519,0.1888,0.925,0.7673,0.6071,0.95
0.0,0.15,40,none,strong,logor,reml_hksj,40,1.0,0.0657,0.0822,0.85,0.2445,0.2631,1.0
0.0,0.15,40,none,strong,logor,trim_and_fill,40,1.0,-0.3258,0.3357,0.0,0.1543,0.9222,0.95
0.0,0.15,40,none,strong,logor,ubcma,40,1.0,0.0004,0.0903,1.0,0.6431,0.3233,0.95
0.0,0.15,40,none,strong,logor,vevea_hedges,40,1.0,0.0696,0.0912,0.9,0.2945,0.3466,0.95
0.0,0.15,40,step,strong,logor,adaptshrink_auto,40,1.0,0.2524,0.2925,0.9,1.4302,0.9417,0.95
0.0,0.15,40,step,strong,logor,adaptshrink_ens,40,1.0,0.122,0.2525,1.0,1.6501,0.8684,1.0
0.0,0.15,40,step,strong,logor,adaptshrink_ens_calib,40,1.0,0.122,0.2525,1.0,2.2383,0.8684,1.0
0.0,0.15,40,step,strong,logor,adaptshrink_fast,40,1.0,0.1961,0.303,1.0,2.8639,1.0102,0.9
0.0,0.15,40,step,strong,logor,adaptshrink_petgate,40,1.0,0.3117,0.3426,0.75,1.0575,0.9996,0.95
0.0,0.15,40,step,strong,logor,adaptshrink_solo,40,1.0,0.3586,0.5068,0.8,2.5057,1.8912,0.95
0.0,0.15,40,step,strong,logor,copas,40,1.0,0.3664,0.3939,0.35,0.5817,1.1406,0.95
0.0,0.15,40,step,strong,logor,dl_hksj,40,1.0,0.3677,0.396,0.525,0.814,1.1543,0.95
0.0,0.15,40,step,strong,logor,henmi_copas,40,1.0,0.3681,0.3926,0.475,0.7343,1.1406,0.95
0.0,0.15,40,step,strong,logor,p_curve,24,0.6,0.3648,0.4708,0.875,1.7475,1.399,0.786
0.0,0.15,40,step,strong,logor,p_uniform_star,30,0.75,0.1418,0.2796,0.867,0.8611,0.8427,0.812
0.0,0.15,40,step,strong,logor,pet_peese,40,1.0,0.2935,0.5411,0.85,1.7445,1.8156,0.95
0.0,0.15,40,step,strong,logor,reml_hksj,40,1.0,0.3679,0.3963,0.525,0.814,1.1524,0.95
0.0,0.15,40,step,strong,logor,trim_and_fill,40,1.0,-0.0835,0.2368,0.5,0.346,0.8922,1.0
0.0,0.15,40,step,strong,logor,ubcma,40,1.0,0.2864,0.3706,0.675,0.9358,1.1332,0.9
0.0,0.15,40,step,strong,logor,vevea_hedges,40,1.0,0.1902,0.2983,0.775,0.8265,0.8269,0.75
0.0,0.4,10,copas,strong,logor,adaptshrink_auto,40,1.0,0.2408,0.3337,0.975,1.4772,0.9125,0.65
0.0,0.4,10,copas,strong,logor,adaptshrink_ens,40,1.0,0.114,0.2734,1.0,1.3698,1.2188,1.0
0.0,0.4,10,copas,strong,logor,adaptshrink_ens_calib,40,1.0,0.114,0.2734,1.0,1.8118,1.2188,1.0
0.0,0.4,10,copas,strong,logor,adaptshrink_fast,40,1.0,0.3366,0.3981,1.0,3.3324,1.3923,0.95
0.0,0.4,10,copas,strong,logor,adaptshrink_petgate,40,1.0,0.3065,0.3588,0.875,0.9699,1.0409,0.95
0.0,0.4,10,copas,strong,logor,adaptshrink_solo,40,1.0,0.2911,0.6471,0.925,3.0713,1.7526,0.9
0.0,0.4,10,copas,strong,logor,copas,40,1.0,0.3533,0.3825,0.225,0.5753,1.0322,0.8
0.0,0.4,10,copas,strong,logor,dl_hksj,40,1.0,0.3568,0.3858,0.625,0.7867,1.0322,0.8
0.0,0.4,10,copas,strong,logor,henmi_copas,40,1.0,0.3493,0.3793,0.4,0.6701,1.0322,0.9
0.0,0.4,10,copas,strong,logor,p_curve,11,0.275,0.6793,0.7167,0.545,1.5465,1.521,0.167
0.0,0.4,10,copas,strong,logor,p_uniform_star,25,0.625,0.3722,0.4714,0.96,1.2944,1.844,1.0
0.0,0.4,10,copas,strong,logor,pet_peese,40,1.0,0.2801,0.6926,0.95,2.311,1.7869,0.7
0.0,0.4,10,copas,strong,logor,reml_hksj,40,1.0,0.3544,0.3838,0.625,0.7819,1.0276,0.8
0.0,0.4,10,copas,strong,logor,trim_and_fill,40,1.0,0.0023,0.1789,0.725,0.3718,0.6913,0.95
0.0,0.4,10,copas,strong,logor,ubcma,40,1.0,0.3145,0.3869,0.725,0.9452,1.3583,0.9
0.0,0.4,10,copas,strong,logor,vevea_hedges,40,1.0,0.3488,0.4064,0.725,0.9099,1.3646,0.95
0.0,0.4,10,none,strong,logor,adaptshrink_auto,40,1.0,0.0363,0.2007,1.0,1.3933,0.7225,0.9
0.0,0.4,10,none,strong,logor,adaptshrink_ens,40,1.0,-0.169,0.348,0.95,2.0325,0.926,0.7
0.0,0.4,10,none,strong,logor,adaptshrink_ens_calib,40,1.0,-0.169,0.348,0.95,2.8,0.926,0.7
0.0,0.4,10,none,strong,logor,adaptshrink_fast,40,1.0,0.1051,0.2827,1.0,3.2601,0.8858,0.8
0.0,0.4,10,none,strong,logor,adaptshrink_petgate,40,1.0,0.0568,0.1791,1.0,1.1016,0.6347,0.95
0.0,0.4,10,none,strong,logor,adaptshrink_solo,40,1.0,0.1868,0.457,1.0,2.068,1.834,1.0
0.0,0.4,10,none,strong,logor,copas,40,1.0,0.0913,0.1784,0.875,0.6127,0.6353,0.9
