mu,tau,k,mechanism,strength,outcome,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,pet_t1,tau_hat
0.0,0.1,5,step,moderate,continuous,0,dl_hksj,0.0,0.0844172100440276,-0.2475672362272056,0.4164016563152608,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,reml_hksj,0.0,0.0838085087561858,-0.2508416391164569,0.4184586566288286,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,trim_and_fill,0.0,0.1256472079784746,-0.0091861195602144,0.2604805355171637,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,pet_peese,0.0,0.3444047701445962,0.0924039839312801,0.5964055563579123,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,copas,0.0,0.0980863212300836,-0.0760081879960819,0.2721808304562492,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,henmi_copas,0.0,0.1256472079784746,-0.1387898993362702,0.3900843152932196,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,vevea_hedges,0.0,0.0474090961364162,-0.1843812823735635,0.2791994746463961,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,p_curve,0.0,0.2008868539766563,,,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,p_uniform_star,0.0,0.0288232378523221,-0.1930501643342452,0.2506966400388895,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,ubcma,0.0,-0.1220078295473343,-0.3936307243632397,0.1426449925309856,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,adaptshrink_solo,0.0,0.5691208884831942,-1.130514479021532,2.2687562559879204,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,adaptshrink_ens,0.0,0.1269166317362161,-0.3058205908527179,0.5596538543251502,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,adaptshrink_fast,0.0,0.0564730554150517,-0.4031071874054527,0.5160532982355562,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,adaptshrink_ens_calib,0.0,0.1269166317362161,-0.4646344659731212,0.7184677294455535,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,adaptshrink_petgate,0.0,0.1101835424811118,-0.3816474508448856,0.6020145358071094,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,0,adaptshrink_auto,0.0,0.1269166317362161,-0.4646344659731212,0.7184677294455535,True,-2.510952190587965,0.1468123001960287
0.0,0.1,5,step,moderate,continuous,1,dl_hksj,0.0,0.2833232445139893,-0.0459893725488106,0.6126358615767893,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,reml_hksj,0.0,0.2818550086060808,-0.0417284379639875,0.6054384551761491,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,trim_and_fill,0.0,0.2491599513002765,0.1693765976324794,0.3289433049680736,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,pet_peese,0.0,0.2405825251300147,0.1418633670706789,0.3393016831893506,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,copas,0.0,0.2693367156090442,0.1879099808879455,0.3507634503301428,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,henmi_copas,0.0,0.2693367207515895,-0.0301754444893931,0.5688488859925722,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,vevea_hedges,0.0,0.2575738781021229,-0.2523572231368653,0.3441109905940973,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,p_curve,0.0,0.2777892909772376,-0.474861878877972,0.7077743378239557,True,0.4038038966416601,0.1186230555765323
0.0,0.1,5,step,moderate,continuous,1,p_uniform_star,0.0,0.2567774656506239,-0.375748111095153,,False,0.4038038966416601,0.1186230555765323
