cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k10_rho-0.4_p0.1,moderate,adaptshrink_dta,400,-0.2083,0.0185,0.3982,0.823,0.9503,1.1538,0.905,1.6,1.5427,0.93
k10_rho-0.4_p0.1,moderate,reitsma,400,-0.1969,0.0196,0.3959,0.805,0.8832,1.1384,0.895,1.865,1.6737,0.955
k10_rho-0.4_p0.1,moderate,reitsma_indep,400,-0.2331,0.0169,0.4116,0.782,0.8988,1.1644,0.885,1.724,1.5731,0.91
k10_rho-0.4_p0.1,moderate,reitsma_reml,400,-0.1867,0.026,0.3907,0.838,0.9593,1.1422,0.905,1.676,1.6395,0.955
k10_rho-0.4_p0.1,moderate,sep_univariate,400,-0.2262,0.0201,0.4054,0.815,0.9564,1.1207,0.89,1.457,1.421,0.91
k10_rho-0.4_p0.1,none,adaptshrink_dta,400,-0.3525,-0.065,0.4782,0.705,0.8751,1.7807,0.94,2.398,2.1234,0.94
k10_rho-0.4_p0.1,none,reitsma,400,-0.3469,-0.0644,0.4741,0.65,0.8147,1.7438,0.935,2.659,2.2019,0.935
k10_rho-0.4_p0.1,none,reitsma_indep,400,-0.3722,-0.0662,0.4946,0.65,0.8344,1.9157,0.945,2.784,2.3587,0.95
k10_rho-0.4_p0.1,none,reitsma_reml,400,-0.3388,-0.0589,0.4674,0.677,0.8848,1.6666,0.925,2.659,2.3897,0.94
k10_rho-0.4_p0.1,none,sep_univariate,400,-0.3652,-0.0624,0.4869,0.698,0.8984,1.905,0.955,2.425,2.2073,0.95
k10_rho-0.4_p0.1,strong,adaptshrink_dta,400,-0.036,0.1011,0.3537,0.868,1.0178,1.121,0.935,1.572,1.6218,0.965
k10_rho-0.4_p0.1,strong,reitsma,400,-0.0168,0.1024,0.3592,0.863,0.9253,1.1283,0.94,1.646,1.5324,0.955
k10_rho-0.4_p0.1,strong,reitsma_indep,400,-0.0726,0.0987,0.3579,0.845,0.9383,1.0772,0.935,1.63,1.5475,0.95
k10_rho-0.4_p0.1,strong,reitsma_reml,400,-0.0081,0.1095,0.361,0.873,0.9998,1.1814,0.935,1.482,1.4927,0.96
k10_rho-0.4_p0.1,strong,sep_univariate,400,-0.0704,0.1025,0.3572,0.87,0.9961,1.0937,0.935,1.624,1.643,0.955
k10_rho-0.4_p0.3,moderate,adaptshrink_dta,400,-0.0318,0.0276,0.31,0.873,0.7227,0.8856,0.945,1.579,1.1792,0.945
k10_rho-0.4_p0.3,moderate,reitsma,400,-0.0263,0.0288,0.3126,0.843,0.645,0.9033,0.945,1.955,1.2913,0.95
k10_rho-0.4_p0.3,moderate,reitsma_indep,400,-0.0464,0.0235,0.3095,0.863,0.6971,0.8779,0.955,1.719,1.2438,0.95
k10_rho-0.4_p0.3,moderate,reitsma_reml,400,-0.0151,0.0365,0.313,0.858,0.7204,0.9109,0.95,1.852,1.3624,0.955
k10_rho-0.4_p0.3,moderate,sep_univariate,400,-0.029,0.0296,0.3082,0.882,0.7885,0.897,0.955,1.416,1.1551,0.945
k10_rho-0.4_p0.3,none,adaptshrink_dta,400,-0.1504,-0.0605,0.3464,0.787,0.7156,1.1549,0.955,2.15,1.5226,0.955
k10_rho-0.4_p0.3,none,reitsma,400,-0.1488,-0.0609,0.3465,0.738,0.6449,1.1413,0.955,2.599,1.6602,0.95
k10_rho-0.4_p0.3,none,reitsma_indep,400,-0.1633,-0.0633,0.3527,0.76,0.6975,1.1653,0.945,2.312,1.5999,0.955
k10_rho-0.4_p0.3,none,reitsma_reml,400,-0.1379,-0.0541,0.3406,0.775,0.7201,1.1344,0.955,2.136,1.523,0.955
k10_rho-0.4_p0.3,none,sep_univariate,400,-0.1474,-0.058,0.3439,0.833,0.7882,1.1249,0.95,1.762,1.3737,0.95
k10_rho-0.4_p0.3,strong,adaptshrink_dta,400,0.0839,0.128,0.3478,0.853,0.7825,1.1619,0.96,1.864,1.5129,0.97
k10_rho-0.4_p0.3,strong,reitsma,400,0.09,0.1292,0.3528,0.765,0.6681,1.1605,0.955,2.32,1.6003,0.975
k10_rho-0.4_p0.3,strong,reitsma_indep,400,0.0618,0.1211,0.3407,0.833,0.7274,1.1129,0.96,1.926,1.4494,0.97
k10_rho-0.4_p0.3,strong,reitsma_reml,400,0.1018,0.1376,0.3592,0.772,0.7426,1.2454,0.955,2.225,1.7024,0.985
k10_rho-0.4_p0.3,strong,sep_univariate,400,0.0803,0.1296,0.3475,0.86,0.8376,1.152,0.955,1.699,1.4785,0.97
k10_rho-0.4_p0.5,moderate,adaptshrink_dta,400,0.0068,0.0326,0.3018,0.86,0.7056,0.7458,0.915,1.579,1.1522,0.945
k10_rho-0.4_p0.5,moderate,reitsma,400,0.0093,0.0343,0.3037,0.818,0.6178,0.7658,0.92,1.833,1.169,0.945
k10_rho-0.4_p0.5,moderate,reitsma_indep,400,-0.0019,0.0255,0.3001,0.855,0.6817,0.7225,0.9,1.599,1.1279,0.94
k10_rho-0.4_p0.5,moderate,reitsma_reml,400,0.0191,0.0437,0.3057,0.845,0.6923,0.7497,0.925,1.682,1.2012,0.945
k10_rho-0.4_p0.5,moderate,sep_univariate,400,0.0102,0.0357,0.303,0.885,0.7777,0.7375,0.91,1.411,1.1336,0.945
k10_rho-0.4_p0.5,none,adaptshrink_dta,400,-0.0865,-0.0743,0.3227,0.833,0.6874,0.8736,0.91,2.123,1.4499,0.95
k10_rho-0.4_p0.5,none,reitsma,400,-0.0859,-0.0754,0.324,0.785,0.6115,0.8831,0.915,2.229,1.3537,0.905
k10_rho-0.4_p0.5,none,reitsma_indep,400,-0.0938,-0.0786,0.3249,0.82,0.6801,0.8952,0.91,2.332,1.584,0.955
k10_rho-0.4_p0.5,none,reitsma_reml,400,-0.076,-0.0673,0.3201,0.807,0.6882,0.8418,0.91,2.014,1.3768,0.905
k10_rho-0.4_p0.5,none,sep_univariate,400,-0.0843,-0.07,0.3215,0.855,0.7681,0.8484,0.9,1.783,1.361,0.935
k10_rho-0.4_p0.5,strong,adaptshrink_dta,400,0.1065,0.1374,0.3501,0.81,0.7389,1.127,0.96,1.703,1.285,0.945
