cell,strength,rep,method,true_m1,true_m2,m1,m2,converged,area_raw,v00,v01,v11,k_eff
k6_p0.1_sparse,none,0,reitsma,1.7346010553881064,1.7346010553881064,1.1010943063670058,1.9155579055995222,True,2.815901626839181,0.1705096485009853,-0.06410279604905561,0.15535566351819285,6
k6_p0.1_sparse,none,0,reitsma_reml,1.7346010553881064,1.7346010553881064,1.0673166697356329,1.933481974322538,True,3.4770791851006195,0.20967257239108059,-0.07503051004771406,0.18959967762751714,6
k6_p0.1_sparse,none,0,reitsma_indep,1.7346010553881064,1.7346010553881064,1.024282854114935,1.8679846797998882,True,3.040539181282973,0.1805945594223876,0.0,0.14448767832535828,6
k6_p0.1_sparse,none,0,sep_univariate,1.7346010553881064,1.7346010553881064,1.0101788297080319,1.8900001146479914,True,3.6554908403417166,0.22724033050106648,0.0,0.16597407415507787,6
k6_p0.1_sparse,none,0,hsroc,1.7346010553881064,1.7346010553881064,1.154029190916349,2.0712543848328386,True,2.8091141857070068,0.1593833257003888,-0.07442848300977324,0.17449948709480018,6
k6_p0.1_sparse,none,0,adaptshrink_dta,1.7346010553881064,1.7346010553881064,1.036741437476562,1.8918951026543465,True,3.141777226196,0.1792392884578032,-0.01725546072456629,0.15709727059684775,6
k6_p0.1_sparse,none,1,reitsma,1.7346010553881064,1.7346010553881064,0.7076866860648179,1.1293468197526886,True,1.4986201261536989,0.1630031558032723,-0.006921100679626915,0.0391823858426223,6
k6_p0.1_sparse,none,1,reitsma_reml,1.7346010553881064,1.7346010553881064,0.8854883225816754,1.130242022771879,True,2.2984867801440534,0.29103192637328235,-0.004470705344041805,0.051304964464671705,6
k6_p0.1_sparse,none,1,reitsma_indep,1.7346010553881064,1.7346010553881064,0.6692217852370775,1.124879312478585,True,1.5117570198109445,0.1601142073367066,0.0,0.04028732064599101,6
k6_p0.1_sparse,none,1,sep_univariate,1.7346010553881064,1.7346010553881064,0.8937921220343708,1.126980257645109,True,2.2377153049894467,0.3059211895910114,0.0,0.046199191154377935,6
k6_p0.1_sparse,none,1,hsroc,1.7346010553881064,1.7346010553881064,1.2504133599316642,1.1588343302060455,True,2.0711481585074942,0.3312036596879051,-0.01533231922901536,0.03726601094568396,6
k6_p0.1_sparse,none,1,adaptshrink_dta,1.7346010553881064,1.7346010553881064,0.6800592437723569,1.1249242205685563,True,1.5073242962916595,0.16361187200734403,-0.0006920534768484659,0.03919812433605564,6
k6_p0.1_sparse,none,2,reitsma,1.7346010553881064,1.7346010553881064,1.8377701508332107,1.2866919572899296,True,1.491527714574721,0.29841467205470934,-3.6663713309544374e-31,0.021041502589481766,6
k6_p0.1_sparse,none,2,reitsma_reml,1.7346010553881064,1.7346010553881064,1.8377701508332107,1.2866919572899296,True,1.491527714574721,0.29841467205470934,-3.6663713309544374e-31,0.021041502589481766,6
k6_p0.1_sparse,none,2,reitsma_indep,1.7346010553881064,1.7346010553881064,1.8377701508332107,1.2866919572899296,True,1.491527714574721,0.29841467205470934,0.0,0.021041502589481766,6
k6_p0.1_sparse,none,2,sep_univariate,1.7346010553881064,1.7346010553881064,1.837770150833211,1.2866919572899294,True,1.491527714574721,0.29841467205470934,0.0,0.021041502589481766,6
k6_p0.1_sparse,none,2,hsroc,1.7346010553881064,1.7346010553881064,2.1102132865864465,1.3096620311989637,True,1.4378763165830442,0.28030337847119824,-2.0663883800001223e-07,0.020818478943048786,6
k6_p0.1_sparse,none,2,adaptshrink_dta,1.7346010553881064,1.7346010553881064,1.8377701508332578,1.2866919572903166,True,1.4915277145866797,0.29841467205492794,-3.666371330955504e-32,0.021041502589803744,6
k6_p0.1_sparse,none,3,reitsma,1.7346010553881064,1.7346010553881064,0.5182451363750714,2.1005174028931526,True,1.2949864806241653,0.12451739402882513,2.0009036288421948e-23,0.038013224716753495,6
k6_p0.1_sparse,none,3,reitsma_reml,1.7346010553881064,1.7346010553881064,0.5401306938825151,2.1010475538100972,True,1.4619188121951001,0.12927484220388563,-0.005985431477100551,0.04693949222319745,6
k6_p0.1_sparse,none,3,reitsma_indep,1.7346010553881064,1.7346010553881064,0.5182451363750713,2.1005174028931526,True,1.294986480624164,0.12451739402882499,0.0,0.038013224716753495,6
k6_p0.1_sparse,none,3,sep_univariate,1.7346010553881064,1.7346010553881064,0.5182451363750712,2.097042958808394,True,1.5851268121124034,0.12451739402882496,0.0,0.05695505401524934,6
k6_p0.1_sparse,none,3,hsroc,1.7346010553881064,1.7346010553881064,0.5916065935331489,2.199068390407648,True,1.312867738611629,0.11413299833899597,-0.0036517663394110902,0.042741899868021356,6
k6_p0.1_sparse,none,3,adaptshrink_dta,1.7346010553881064,1.7346010553881064,0.5182451363751374,2.1005174028931552,True,1.2949864806289395,0.12451739402905249,2.0009036288397237e-24,0.03801322471696442,6
k6_p0.1_sparse,none,4,reitsma,1.7346010553881064,1.7346010553881064,1.1433573103537493,1.6098458483592315,True,2.18373434404162,0.1370527309689645,-0.01094756618761264,0.09908232025159222,6
k6_p0.1_sparse,none,4,reitsma_reml,1.7346010553881064,1.7346010553881064,1.1536342256150873,1.66402681286498,True,2.5141242733341413,0.13631549856102898,-0.009402632152757816,0.1315253185286585,6
