cell,strength,method,n_reps,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,robust_win_vs_HC,ours_beats_reitsma_reml,ours_beats_reitsma_indep,ours_beats_sep_univariate,ours_beats_hsroc,frac_vs_reitsma_reml,frac_vs_reitsma_indep,frac_vs_sep_univariate,frac_vs_hsroc
k10_hi,moderate,adaptshrink_dta,800,-0.1171,0.046,0.3933,0.851,1.1439,1.3676,0.927,1.77,False,False,False,False,False,0.442,0.614,0.218,0.859
k10_hi,moderate,hsroc,800,0.0384,0.1063,0.4119,0.823,1.1089,1.5738,0.955,2.027,False,,,,,,,,
k10_hi,moderate,reitsma,800,-0.1115,0.0467,0.3957,0.805,0.9921,1.4214,0.935,1.968,,,,,,,,,
k10_hi,moderate,reitsma_indep,800,-0.1396,0.0417,0.3961,0.836,1.0995,1.3975,0.932,1.92,False,,,,,,,,
k10_hi,moderate,reitsma_reml,800,-0.0969,0.0553,0.3935,0.831,1.1088,1.4033,0.938,1.858,False,,,,,,,,
k10_hi,moderate,sep_univariate,800,-0.1191,0.0432,0.391,0.865,1.2121,1.2725,0.915,1.693,False,,,,,,,,
k10_hi,none,adaptshrink_dta,800,-0.2477,-0.0795,0.4539,0.767,1.0935,1.8594,0.94,2.401,False,False,True,False,False,0.003,0.985,0.772,0.0
k10_hi,none,hsroc,800,-0.1057,-0.0285,0.4047,0.826,1.0936,1.4811,0.953,2.25,True,,,,,,,,
k10_hi,none,reitsma,800,-0.2448,-0.0798,0.4531,0.69,0.9729,1.8052,0.935,3.027,,,,,,,,,
k10_hi,none,reitsma_indep,800,-0.265,-0.0825,0.4647,0.741,1.0725,1.9244,0.938,2.704,False,,,,,,,,
k10_hi,none,reitsma_reml,800,-0.2298,-0.0727,0.4439,0.74,1.0927,1.7745,0.938,2.587,True,,,,,,,,
k10_hi,none,sep_univariate,800,-0.247,-0.0818,0.4549,0.782,1.1704,1.855,0.935,2.094,False,,,,,,,,
k10_hi,strong,adaptshrink_dta,800,0.0235,0.1647,0.4186,0.831,1.1976,1.5475,0.943,1.922,True,True,False,False,True,1.0,0.039,0.221,1.0
k10_hi,strong,hsroc,800,0.1834,0.2309,0.5032,0.651,1.0912,2.4772,0.938,2.81,False,,,,,,,,
k10_hi,strong,reitsma,800,0.036,0.1673,0.4268,0.767,0.9939,1.713,0.943,2.403,,,,,,,,,
k10_hi,strong,reitsma_indep,800,-0.012,0.1582,0.4122,0.816,1.1064,1.3907,0.922,2.243,True,,,,,,,,
k10_hi,strong,reitsma_reml,800,0.0502,0.1769,0.433,0.786,1.104,1.8165,0.95,2.218,False,,,,,,,,
k10_hi,strong,sep_univariate,800,0.0107,0.1631,0.4143,0.839,1.2464,1.4706,0.927,1.762,True,,,,,,,,
k10_sparse,moderate,adaptshrink_dta,800,-0.4188,-0.0665,0.5826,0.743,1.4306,2.7438,0.953,2.046,False,False,False,False,False,0.001,0.858,0.547,0.0
k10_sparse,moderate,hsroc,800,-0.2678,0.0431,0.4957,0.836,1.414,2.0066,0.953,1.733,True,,,,,,,,
k10_sparse,moderate,reitsma,800,-0.4005,-0.0618,0.5691,0.739,1.3669,2.6381,0.95,2.247,,,,,,,,,
k10_sparse,moderate,reitsma_indep,800,-0.44,-0.0705,0.6006,0.7,1.349,2.8372,0.958,2.426,False,,,,,,,,
k10_sparse,moderate,reitsma_reml,800,-0.396,-0.0488,0.5642,0.767,1.4723,2.4955,0.945,2.0,True,,,,,,,,
k10_sparse,moderate,sep_univariate,800,-0.4435,-0.0582,0.6019,0.731,1.4447,2.7245,0.948,2.28,False,,,,,,,,
k10_sparse,none,adaptshrink_dta,800,-0.5701,-0.1759,0.7122,0.565,1.4222,3.6076,0.915,2.817,False,False,True,False,False,0.009,0.985,0.793,0.0
k10_sparse,none,hsroc,800,-0.4236,-0.0769,0.5944,0.674,1.399,2.6184,0.932,2.795,True,,,,,,,,
k10_sparse,none,reitsma,800,-0.5535,-0.1715,0.698,0.542,1.3594,3.3678,0.905,3.033,,,,,,,,,
k10_sparse,none,reitsma_indep,800,-0.5876,-0.1792,0.7302,0.517,1.3454,3.8561,0.917,3.22,False,,,,,,,,
k10_sparse,none,reitsma_reml,800,-0.5503,-0.1607,0.6922,0.576,1.4617,3.2951,0.905,2.67,True,,,,,,,,
k10_sparse,none,sep_univariate,800,-0.5871,-0.169,0.7272,0.545,1.4438,3.6932,0.917,3.059,False,,,,,,,,
k10_sparse,strong,adaptshrink_dta,800,-0.2574,0.0385,0.4855,0.845,1.4916,1.7659,0.927,1.94,False,False,True,True,False,0.144,0.996,0.995,0.231
k10_sparse,strong,hsroc,800,-0.105,0.151,0.4622,0.859,1.4667,1.719,0.915,1.864,False,,,,,,,,
k10_sparse,strong,reitsma,800,-0.2363,0.0437,0.4729,0.844,1.4201,1.623,0.915,2.021,,,,,,,,,
k10_sparse,strong,reitsma_indep,800,-0.2839,0.0336,0.5051,0.809,1.3929,1.8576,0.922,2.154,False,,,,,,,,
k10_sparse,strong,reitsma_reml,800,-0.2307,0.0593,0.4713,0.861,1.5316,1.5893,0.91,1.777,False,,,,,,,,
k10_sparse,strong,sep_univariate,800,-0.2875,0.0483,0.5091,0.826,1.4962,1.8492,0.92,1.922,False,,,,,,,,
k10_thr,moderate,adaptshrink_dta,800,-0.0401,0.0256,0.3128,0.87,0.7806,0.8079,0.907,1.405,False,False,False,False,True,0.508,0.731,0.568,1.0
k10_thr,moderate,hsroc,800,0.069,0.0789,0.3415,0.838,0.7067,0.9958,0.925,1.751,False,,,,,,,,
k10_thr,moderate,reitsma,800,-0.0317,0.0276,0.3151,0.823,0.6503,0.7878,0.902,1.542,,,,,,,,,
k10_thr,moderate,reitsma_indep,800,-0.0617,0.0193,0.3149,0.853,0.733,0.7743,0.9,1.682,False,,,,,,,,
k10_thr,moderate,reitsma_reml,800,-0.0215,0.0347,0.316,0.849,0.7204,0.8119,0.907,1.394,False,,,,,,,,
k10_thr,moderate,sep_univariate,800,-0.0433,0.0256,0.3125,0.879,0.8366,0.794,0.905,1.358,False,,,,,,,,
k10_thr,none,adaptshrink_dta,800,-0.1368,-0.0598,0.3405,0.821,0.7464,1.1197,0.96,1.906,False,False,True,False,False,0.061,0.994,0.824,0.005
k10_thr,none,hsroc,800,-0.0384,-0.01,0.3233,0.829,0.6918,0.8984,0.945,2.058,True,,,,,,,,
k10_thr,none,reitsma,800,-0.1304,-0.0584,0.3383,0.761,0.6338,1.0866,0.958,2.282,,,,,,,,,
k10_thr,none,reitsma_indep,800,-0.1547,-0.0646,0.3495,0.777,0.7174,1.1639,0.948,2.028,False,,,,,,,,
k10_thr,none,reitsma_reml,800,-0.1212,-0.0522,0.3342,0.796,0.7041,1.0648,0.963,2.042,False,,,,,,,,
k10_thr,none,sep_univariate,800,-0.1402,-0.0598,0.3424,0.836,0.8045,1.1196,0.953,1.795,False,,,,,,,,
k10_thr,strong,adaptshrink_dta,800,0.0747,0.1021,0.352,0.851,0.8495,1.1059,0.925,1.573,False,True,False,False,True,0.995,0.003,0.146,1.0
k10_thr,strong,hsroc,800,0.1862,0.1583,0.4242,0.657,0.7356,1.8316,0.935,2.303,False,,,,,,,,
k10_thr,strong,reitsma,800,0.087,0.1046,0.3612,0.779,0.6845,1.2418,0.938,1.772,,,,,,,,,
k10_thr,strong,reitsma_indep,800,0.0433,0.0939,0.3426,0.833,0.7642,1.0522,0.927,1.836,True,,,,,,,,
k10_thr,strong,reitsma_reml,800,0.0977,0.1125,0.3671,0.791,0.754,1.2983,0.938,1.794,False,,,,,,,,
k10_thr,strong,sep_univariate,800,0.0636,0.1017,0.3483,0.864,0.8803,1.1332,0.932,1.492,True,,,,,,,,
k20_thr,moderate,adaptshrink_dta,800,-0.0422,0.0166,0.2229,0.907,0.3861,0.3951,0.93,1.339,False,False,False,False,True,0.617,0.903,0.729,1.0
k20_thr,moderate,hsroc,800,0.0597,0.0683,0.2472,0.851,0.3726,0.6107,0.958,1.658,False,,,,,,,,
k20_thr,moderate,reitsma,800,-0.0411,0.0161,0.2229,0.879,0.3402,0.4017,0.935,1.403,,,,,,,,,
k20_thr,moderate,reitsma_indep,800,-0.063,0.0092,0.2277,0.879,0.3864,0.3968,0.917,1.536,False,,,,,,,,
k20_thr,moderate,reitsma_reml,800,-0.0359,0.0195,0.2225,0.895,0.3593,0.4169,0.938,1.38,False,,,,,,,,
k20_thr,moderate,sep_univariate,800,-0.0535,0.0111,0.2261,0.895,0.4115,0.3946,0.92,1.381,False,,,,,,,,
k20_thr,none,adaptshrink_dta,800,-0.1512,-0.0643,0.2775,0.74,0.3788,0.7267,0.96,2.139,False,False,True,False,False,0.01,0.978,0.825,0.0
k20_thr,none,hsroc,800,-0.0571,-0.0176,0.2413,0.845,0.3718,0.5448,0.973,1.798,True,,,,,,,,
k20_thr,none,reitsma,800,-0.1503,-0.0641,0.2773,0.675,0.34,0.7228,0.963,2.398,,,,,,,,,
k20_thr,none,reitsma_indep,800,-0.1668,-0.0707,0.2871,0.735,0.3857,0.7318,0.953,2.414,False,,,,,,,,
k20_thr,none,reitsma_reml,800,-0.1453,-0.061,0.2741,0.713,0.36,0.7003,0.963,2.292,True,,,,,,,,
k20_thr,none,sep_univariate,800,-0.1595,-0.0689,0.2834,0.764,0.4072,0.7163,0.953,2.255,False,,,,,,,,
k20_thr,strong,adaptshrink_dta,800,0.0665,0.0913,0.2532,0.875,0.4107,0.6527,0.955,1.39,False,True,False,False,True,0.985,0.008,0.057,1.0
k20_thr,strong,hsroc,800,0.1685,0.1435,0.3278,0.534,0.3689,1.1535,0.955,3.112,False,,,,,,,,
k20_thr,strong,reitsma,800,0.0699,0.0911,0.2557,0.792,0.3436,0.6618,0.958,2.074,,,,,,,,,
k20_thr,strong,reitsma_indep,800,0.0355,0.0815,0.242,0.876,0.3974,0.5384,0.943,1.601,True,,,,,,,,
k20_thr,strong,reitsma_reml,800,0.0751,0.0947,0.2588,0.799,0.3613,0.6867,0.958,1.957,False,,,,,,,,
k20_thr,strong,sep_univariate,800,0.0452,0.0842,0.245,0.886,0.4238,0.5804,0.95,1.559,True,,,,,,,,
k6_thr,moderate,adaptshrink_dta,800,-0.0195,0.0265,0.4088,0.84,1.253,1.5696,0.965,2.367,False,False,False,False,True,0.9,0.33,0.29,1.0
k6_thr,moderate,hsroc,800,0.0935,0.0818,0.448,0.785,1.1001,2.0059,0.968,2.746,False,,,,,,,,
k6_thr,moderate,reitsma,800,-0.0034,0.032,0.4171,0.801,1.0184,1.6322,0.963,2.411,,,,,,,,,
k6_thr,moderate,reitsma_indep,800,-0.0414,0.0204,0.4081,0.81,1.1296,1.5048,0.955,3.137,False,,,,,,,,
k6_thr,moderate,reitsma_reml,800,0.0134,0.0434,0.4185,0.833,1.193,1.5973,0.955,2.388,False,,,,,,,,
k6_thr,moderate,sep_univariate,800,-0.0166,0.0317,0.4065,0.86,1.3723,1.5079,0.963,2.317,False,,,,,,,,
k6_thr,none,adaptshrink_dta,800,-0.1203,-0.0657,0.4237,0.824,1.1919,1.6467,0.943,2.236,False,False,False,False,False,0.025,0.842,0.28,0.031
k6_thr,none,hsroc,800,-0.0198,-0.0185,0.4174,0.828,1.0631,1.501,0.948,1.975,False,,,,,,,,
k6_thr,none,reitsma,800,-0.1075,-0.0633,0.4213,0.76,0.9818,1.5991,0.95,2.515,,,,,,,,,
k6_thr,none,reitsma_indep,800,-0.1383,-0.0697,0.4306,0.765,1.0998,1.6841,0.943,2.769,False,,,,,,,,
k6_thr,none,reitsma_reml,800,-0.0922,-0.0532,0.4173,0.819,1.1522,1.5397,0.943,2.087,False,,,,,,,,
k6_thr,none,sep_univariate,800,-0.1153,-0.0602,0.4212,0.848,1.3375,1.5954,0.938,1.824,False,,,,,,,,
k6_thr,strong,adaptshrink_dta,800,0.0872,0.0908,0.4432,0.821,1.3109,1.8086,0.953,2.292,True,True,False,False,True,0.999,0.005,0.2,1.0
k6_thr,strong,hsroc,800,0.2036,0.1492,0.5154,0.691,1.122,2.5464,0.948,2.838,False,,,,,,,,
k6_thr,strong,reitsma,800,0.1098,0.0968,0.4576,0.772,1.0534,1.9147,0.953,2.327,,,,,,,,,
k6_thr,strong,reitsma_indep,800,0.0575,0.0833,0.4342,0.789,1.1451,1.6675,0.953,2.435,True,,,,,,,,
k6_thr,strong,reitsma_reml,800,0.1265,0.1088,0.4659,0.791,1.2174,1.9725,0.95,2.38,False,,,,,,,,
k6_thr,strong,sep_univariate,800,0.0839,0.0955,0.4414,0.83,1.3905,1.8094,0.955,2.233,True,,,,,,,,
