cell,strength,method,n_reps,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,robust_win_vs_HC,ours_beats_reitsma_reml,ours_beats_reitsma_indep,ours_beats_sep_univariate,ours_beats_hsroc,frac_vs_reitsma_reml,frac_vs_reitsma_indep,frac_vs_sep_univariate,frac_vs_hsroc
k10_p0.3_sparse,moderate,hsroc,600,-0.0597,0.0302,0.4099,0.843,1.0935,1.4228,0.927,1.718,True,,,,,,,,
k10_p0.3_sparse,moderate,reitsma,600,-0.1952,-0.0824,0.441,0.748,1.0284,1.7087,0.94,2.317,,,,,,,,,
k10_p0.3_sparse,moderate,reitsma_indep,600,-0.2356,-0.1001,0.4617,0.72,1.0451,1.8988,0.943,2.435,False,,,,,,,,
k10_p0.3_sparse,moderate,reitsma_reml,600,-0.1849,-0.0695,0.4338,0.785,1.1322,1.6451,0.94,1.93,False,,,,,,,,
k10_p0.3_sparse,moderate,sep_univariate,600,-0.2293,-0.0865,0.452,0.787,1.163,1.6917,0.927,1.907,False,,,,,,,,
k10_p0.3_sparse,none,adaptshrink_dta,600,-0.3476,-0.1989,0.5448,0.625,1.1133,2.8101,0.93,2.928,False,False,True,False,False,0.0,1.0,0.85,0.0
k10_p0.3_sparse,none,hsroc,600,-0.2041,-0.0902,0.4458,0.72,1.0733,1.7942,0.933,2.472,True,,,,,,,,
k10_p0.3_sparse,none,reitsma,600,-0.3315,-0.191,0.5324,0.57,1.0039,2.6191,0.933,3.621,,,,,,,,,
k10_p0.3_sparse,none,reitsma_indep,600,-0.3688,-0.2081,0.5653,0.57,1.0321,3.238,0.957,3.831,False,,,,,,,,
k10_p0.3_sparse,none,reitsma_reml,600,-0.3224,-0.1808,0.5224,0.607,1.1032,2.5438,0.933,3.181,True,,,,,,,,
k10_p0.3_sparse,none,sep_univariate,600,-0.36,-0.1966,0.5526,0.642,1.1616,2.9786,0.95,3.014,False,,,,,,,,
k10_p0.3_sparse,strong,adaptshrink_dta,600,-0.0779,0.0214,0.4062,0.843,1.2146,1.3926,0.923,1.862,False,False,False,False,True,0.557,0.923,0.879,1.0
k10_p0.3_sparse,strong,hsroc,600,0.0777,0.1465,0.4547,0.838,1.1459,1.7254,0.91,1.716,False,,,,,,,,
k10_p0.3_sparse,strong,reitsma,600,-0.0569,0.0319,0.4066,0.842,1.0899,1.3597,0.923,1.724,,,,,,,,,
k10_p0.3_sparse,strong,reitsma_indep,600,-0.1088,0.0079,0.413,0.807,1.0874,1.3447,0.91,2.13,False,,,,,,,,
k10_p0.3_sparse,strong,reitsma_reml,600,-0.0418,0.0476,0.4074,0.873,1.1988,1.3623,0.93,1.583,False,,,,,,,,
k10_p0.3_sparse,strong,sep_univariate,600,-0.1047,0.0233,0.4116,0.828,1.1985,1.4085,0.913,1.74,False,,,,,,,,
k20_p0.1_sparse,moderate,adaptshrink_dta,600,-0.4164,-0.0537,0.5024,0.635,0.7354,1.724,0.957,2.178,False,False,True,True,False,0.005,0.996,0.991,0.0
k20_p0.1_sparse,moderate,hsroc,600,-0.2479,0.0532,0.3855,0.82,0.7242,1.2029,0.96,1.792,True,,,,,,,,
k20_p0.1_sparse,moderate,reitsma,600,-0.4005,-0.05,0.4891,0.628,0.7068,1.5826,0.937,2.211,,,,,,,,,
k20_p0.1_sparse,moderate,reitsma_indep,600,-0.4414,-0.058,0.5267,0.56,0.7046,1.8634,0.953,2.712,False,,,,,,,,
k20_p0.1_sparse,moderate,reitsma_reml,600,-0.3982,-0.0439,0.4864,0.64,0.732,1.5773,0.937,2.108,False,,,,,,,,
k20_p0.1_sparse,moderate,sep_univariate,600,-0.4511,-0.0512,0.5363,0.528,0.72,1.8589,0.95,2.739,False,,,,,,,,
k20_p0.1_sparse,none,adaptshrink_dta,600,-0.5847,-0.1725,0.6707,0.258,0.722,2.8485,0.96,3.635,False,False,True,True,False,0.0,0.992,0.994,0.0
k20_p0.1_sparse,none,hsroc,600,-0.4283,-0.0715,0.5281,0.507,0.7123,1.894,0.957,3.03,True,,,,,,,,
k20_p0.1_sparse,none,reitsma,600,-0.5683,-0.1683,0.6564,0.26,0.6961,2.7392,0.957,3.757,,,,,,,,,
k20_p0.1_sparse,none,reitsma_indep,600,-0.6032,-0.1759,0.6894,0.208,0.6931,2.9445,0.957,3.965,False,,,,,,,,
k20_p0.1_sparse,none,reitsma_reml,600,-0.5664,-0.1631,0.6534,0.277,0.7213,2.7114,0.957,3.613,True,,,,,,,,
k20_p0.1_sparse,none,sep_univariate,600,-0.6086,-0.1709,0.6943,0.2,0.7063,2.9876,0.957,4.012,False,,,,,,,,
k20_p0.1_sparse,strong,adaptshrink_dta,600,-0.2658,0.0426,0.3862,0.845,0.7611,0.9762,0.903,1.59,False,False,True,True,False,0.089,0.999,0.999,0.034
k20_p0.1_sparse,strong,hsroc,600,-0.1021,0.1544,0.3477,0.862,0.7418,0.959,0.943,1.432,False,,,,,,,,
k20_p0.1_sparse,strong,reitsma,600,-0.2478,0.0468,0.3755,0.842,0.7254,0.9537,0.91,1.577,,,,,,,,,
k20_p0.1_sparse,strong,reitsma_indep,600,-0.3006,0.0366,0.4149,0.765,0.7188,1.1972,0.95,1.823,False,,,,,,,,
k20_p0.1_sparse,strong,reitsma_reml,600,-0.2455,0.0539,0.3748,0.855,0.7509,0.9673,0.917,1.496,False,,,,,,,,
k20_p0.1_sparse,strong,sep_univariate,600,-0.3133,0.0449,0.4289,0.74,0.7352,1.1946,0.93,2.054,False,,,,,,,,
k20_p0.3_sparse,moderate,adaptshrink_dta,600,-0.2147,-0.0892,0.3503,0.728,0.5894,1.0954,0.943,2.124,False,False,True,False,False,0.0,0.999,0.965,0.0
k20_p0.3_sparse,moderate,hsroc,600,-0.0554,0.0298,0.2805,0.892,0.5803,0.5903,0.907,1.279,True,,,,,,,,
k20_p0.3_sparse,moderate,reitsma,600,-0.2028,-0.0825,0.3427,0.697,0.5394,1.0673,0.947,2.354,,,,,,,,,
k20_p0.3_sparse,moderate,reitsma_indep,600,-0.2418,-0.1026,0.3731,0.67,0.5661,1.2104,0.937,2.192,False,,,,,,,,
k20_p0.3_sparse,moderate,reitsma_reml,600,-0.1969,-0.0764,0.3372,0.733,0.5683,1.0213,0.947,2.103,True,,,,,,,,
k20_p0.3_sparse,moderate,sep_univariate,600,-0.2408,-0.0945,0.3694,0.692,0.5933,1.1527,0.93,2.149,False,,,,,,,,
k20_p0.3_sparse,none,adaptshrink_dta,600,-0.3532,-0.2022,0.4871,0.368,0.5617,1.836,0.917,3.534,False,False,True,True,False,0.0,0.999,0.998,0.0
k20_p0.3_sparse,none,hsroc,600,-0.2024,-0.0896,0.3609,0.663,0.5645,1.074,0.943,2.798,True,,,,,,,,
k20_p0.3_sparse,none,reitsma,600,-0.3396,-0.1941,0.4757,0.317,0.5185,1.7678,0.953,4.871,,,,,,,,,
k20_p0.3_sparse,none,reitsma_indep,600,-0.3736,-0.2131,0.5073,0.353,0.547,2.0554,0.93,4.241,False,,,,,,,,
