cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k10_p0.1_sparse,moderate,adaptshrink_dta,600,-0.4139,-0.0676,0.582,0.737,1.4192,2.8138,0.943,2.193,3.1773,0.957
k10_p0.1_sparse,moderate,hsroc,600,-0.2662,0.0438,0.4988,0.828,1.4111,1.9009,0.927,1.733,2.5063,0.937
k10_p0.1_sparse,moderate,reitsma,600,-0.3965,-0.0633,0.5689,0.733,1.3591,2.6835,0.947,2.386,3.305,0.953
k10_p0.1_sparse,moderate,reitsma_indep,600,-0.4339,-0.0715,0.5989,0.688,1.3427,2.8783,0.95,2.69,3.6751,0.96
k10_p0.1_sparse,moderate,reitsma_reml,600,-0.3917,-0.0499,0.5637,0.765,1.4665,2.4771,0.933,2.039,3.0516,0.947
k10_p0.1_sparse,moderate,sep_univariate,600,-0.4366,-0.0584,0.5989,0.73,1.4419,2.7577,0.943,2.349,3.4629,0.96
k10_p0.1_sparse,none,adaptshrink_dta,600,-0.5801,-0.1715,0.7181,0.557,1.4188,3.6586,0.91,3.207,4.4845,0.97
k10_p0.1_sparse,none,hsroc,600,-0.4364,-0.0722,0.6014,0.663,1.393,2.6219,0.927,2.969,4.0842,0.977
k10_p0.1_sparse,none,reitsma,600,-0.5639,-0.167,0.704,0.54,1.3534,3.3621,0.897,3.357,4.4985,0.97
k10_p0.1_sparse,none,reitsma_indep,600,-0.5975,-0.1751,0.7361,0.513,1.3412,3.966,0.93,3.346,4.451,0.967
k10_p0.1_sparse,none,reitsma_reml,600,-0.5607,-0.156,0.6982,0.573,1.4558,3.2846,0.897,3.05,4.4032,0.967
k10_p0.1_sparse,none,sep_univariate,600,-0.597,-0.1649,0.7327,0.533,1.4387,3.9717,0.94,3.131,4.4622,0.97
k10_p0.1_sparse,strong,adaptshrink_dta,600,-0.2581,0.0369,0.4876,0.84,1.4677,1.7717,0.917,1.94,2.8778,0.94
k10_p0.1_sparse,strong,hsroc,600,-0.1085,0.1516,0.4662,0.858,1.453,1.7506,0.907,1.864,2.7402,0.943
k10_p0.1_sparse,strong,reitsma,600,-0.2382,0.0415,0.4757,0.842,1.4002,1.5936,0.907,2.063,2.9181,0.95
k10_p0.1_sparse,strong,reitsma_indep,600,-0.2838,0.0323,0.5072,0.808,1.3738,1.8011,0.9,2.34,3.2429,0.947
k10_p0.1_sparse,strong,reitsma_reml,600,-0.2328,0.0577,0.4739,0.862,1.512,1.5589,0.907,1.777,2.7087,0.943
k10_p0.1_sparse,strong,sep_univariate,600,-0.2865,0.048,0.5109,0.83,1.4803,1.7983,0.907,1.936,2.9001,0.927
k10_p0.3_sparse,moderate,adaptshrink_dta,600,-0.2125,-0.0903,0.4479,0.765,1.1381,1.7273,0.933,2.028,2.3593,0.933
k10_p0.3_sparse,moderate,hsroc,600,-0.0597,0.0302,0.4099,0.843,1.0935,1.4228,0.927,1.718,1.9253,0.95
k10_p0.3_sparse,moderate,reitsma,600,-0.1952,-0.0824,0.441,0.748,1.0284,1.7087,0.94,2.317,2.4298,0.947
k10_p0.3_sparse,moderate,reitsma_indep,600,-0.2356,-0.1001,0.4617,0.72,1.0451,1.8988,0.943,2.435,2.6054,0.947
k10_p0.3_sparse,moderate,reitsma_reml,600,-0.1849,-0.0695,0.4338,0.785,1.1322,1.6451,0.94,1.93,2.2231,0.927
k10_p0.3_sparse,moderate,sep_univariate,600,-0.2293,-0.0865,0.452,0.787,1.163,1.6917,0.927,1.907,2.2689,0.94
k10_p0.3_sparse,none,adaptshrink_dta,600,-0.3476,-0.1989,0.5448,0.625,1.1133,2.8101,0.93,2.928,3.1897,0.95
k10_p0.3_sparse,none,hsroc,600,-0.2041,-0.0902,0.4458,0.72,1.0733,1.7942,0.933,2.472,2.5966,0.953
k10_p0.3_sparse,none,reitsma,600,-0.3315,-0.191,0.5324,0.57,1.0039,2.6191,0.933,3.621,3.5744,0.953
k10_p0.3_sparse,none,reitsma_indep,600,-0.3688,-0.2081,0.5653,0.57,1.0321,3.238,0.957,3.831,3.9059,0.957
k10_p0.3_sparse,none,reitsma_reml,600,-0.3224,-0.1808,0.5224,0.607,1.1032,2.5438,0.933,3.181,3.4474,0.96
k10_p0.3_sparse,none,sep_univariate,600,-0.36,-0.1966,0.5526,0.642,1.1616,2.9786,0.95,3.014,3.426,0.947
k10_p0.3_sparse,strong,adaptshrink_dta,600,-0.0779,0.0214,0.4062,0.843,1.2146,1.3926,0.923,1.862,2.3191,0.943
k10_p0.3_sparse,strong,hsroc,600,0.0777,0.1465,0.4547,0.838,1.1459,1.7254,0.91,1.716,2.0109,0.94
k10_p0.3_sparse,strong,reitsma,600,-0.0569,0.0319,0.4066,0.842,1.0899,1.3597,0.923,1.724,1.9182,0.92
k10_p0.3_sparse,strong,reitsma_indep,600,-0.1088,0.0079,0.413,0.807,1.0874,1.3447,0.91,2.13,2.3757,0.94
k10_p0.3_sparse,strong,reitsma_reml,600,-0.0418,0.0476,0.4074,0.873,1.1988,1.3623,0.93,1.583,1.9357,0.92
k10_p0.3_sparse,strong,sep_univariate,600,-0.1047,0.0233,0.4116,0.828,1.1985,1.4085,0.913,1.74,2.1384,0.933
k20_p0.1_sparse,moderate,adaptshrink_dta,600,-0.4164,-0.0537,0.5024,0.635,0.7354,1.724,0.957,2.178,1.6244,0.937
k20_p0.1_sparse,moderate,hsroc,600,-0.2479,0.0532,0.3855,0.82,0.7242,1.2029,0.96,1.792,1.3146,0.953
k20_p0.1_sparse,moderate,reitsma,600,-0.4005,-0.05,0.4891,0.628,0.7068,1.5826,0.937,2.211,1.5868,0.917
k20_p0.1_sparse,moderate,reitsma_indep,600,-0.4414,-0.058,0.5267,0.56,0.7046,1.8634,0.953,2.712,1.9348,0.953
k20_p0.1_sparse,moderate,reitsma_reml,600,-0.3982,-0.0439,0.4864,0.64,0.732,1.5773,0.937,2.108,1.5678,0.917
k20_p0.1_sparse,moderate,sep_univariate,600,-0.4511,-0.0512,0.5363,0.528,0.72,1.8589,0.95,2.739,1.9935,0.933
