cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k10_thr,moderate,adaptshrink_dta,800,-0.0401,0.0256,0.3128,0.87,0.7806,0.8079,0.907,1.405,1.1161,0.915
k10_thr,moderate,reitsma,800,-0.0317,0.0276,0.3151,0.823,0.6503,0.7878,0.902,1.542,1.0212,0.915
k10_thr,moderate,reitsma_indep,800,-0.0617,0.0193,0.3149,0.853,0.733,0.7743,0.9,1.682,1.2616,0.932
k10_thr,moderate,sep_univariate,800,-0.0433,0.0256,0.3125,0.879,0.8366,0.794,0.905,1.358,1.1576,0.93
k10_thr,none,adaptshrink_dta,800,-0.1368,-0.0598,0.3405,0.821,0.7464,1.1197,0.96,1.906,1.4221,0.94
k10_thr,none,reitsma,800,-0.1304,-0.0584,0.3383,0.761,0.6338,1.0866,0.958,2.282,1.4464,0.932
k10_thr,none,reitsma_indep,800,-0.1547,-0.0646,0.3495,0.777,0.7174,1.1639,0.948,2.028,1.4533,0.932
k10_thr,none,sep_univariate,800,-0.1402,-0.0598,0.3424,0.836,0.8045,1.1196,0.953,1.795,1.4388,0.938
k10_thr,strong,adaptshrink_dta,800,0.0747,0.1021,0.352,0.851,0.8495,1.1059,0.925,1.573,1.3867,0.94
k10_thr,strong,reitsma,800,0.087,0.1046,0.3612,0.779,0.6845,1.2418,0.938,1.772,1.2532,0.925
k10_thr,strong,reitsma_indep,800,0.0433,0.0939,0.3426,0.833,0.7642,1.0522,0.927,1.836,1.4616,0.95
k10_thr,strong,sep_univariate,800,0.0636,0.1017,0.3483,0.864,0.8803,1.1332,0.932,1.492,1.3733,0.945
k6_hi,moderate,adaptshrink_dta,800,-0.0742,0.0572,0.5061,0.823,1.8098,2.3479,0.945,2.299,4.2185,0.948
k6_hi,moderate,reitsma,800,-0.0538,0.0602,0.5123,0.784,1.5106,2.3529,0.943,2.934,4.4893,0.953
k6_hi,moderate,reitsma_indep,800,-0.1041,0.0534,0.5085,0.804,1.6613,2.4442,0.95,2.626,4.4203,0.94
k6_hi,moderate,sep_univariate,800,-0.0708,0.0599,0.5032,0.84,1.9582,2.4478,0.955,2.019,3.9556,0.948
k6_hi,none,adaptshrink_dta,800,-0.2191,-0.0815,0.5442,0.804,1.7773,2.5938,0.945,2.315,4.2137,0.943
k6_hi,none,reitsma,800,-0.2064,-0.0811,0.5434,0.718,1.4914,2.5598,0.94,3.494,5.2974,0.95
k6_hi,none,reitsma_indep,800,-0.2413,-0.0831,0.5525,0.755,1.6772,2.6819,0.95,3.415,5.8727,0.975
k6_hi,none,sep_univariate,800,-0.2113,-0.0779,0.5398,0.825,1.979,2.6022,0.953,2.108,4.2318,0.94
k6_hi,strong,adaptshrink_dta,800,0.0573,0.1608,0.5366,0.8,1.8194,2.4984,0.94,2.484,4.6545,0.958
k6_hi,strong,reitsma,800,0.0831,0.1653,0.5506,0.744,1.476,2.8802,0.963,2.729,4.1139,0.958
k6_hi,strong,reitsma_indep,800,0.0212,0.1548,0.5277,0.781,1.6281,2.524,0.958,2.694,4.5184,0.958
k6_hi,strong,sep_univariate,800,0.0519,0.1637,0.5329,0.816,1.9281,2.6069,0.958,2.253,4.4377,0.963
k6_thr,moderate,adaptshrink_dta,800,-0.0195,0.0265,0.4088,0.84,1.253,1.5696,0.965,2.367,3.0596,0.965
k6_thr,moderate,reitsma,800,-0.0034,0.032,0.4171,0.801,1.0184,1.6322,0.963,2.411,2.5277,0.95
k6_thr,moderate,reitsma_indep,800,-0.0414,0.0204,0.4081,0.81,1.1296,1.5048,0.955,3.137,3.6471,0.968
k6_thr,moderate,sep_univariate,800,-0.0166,0.0317,0.4065,0.86,1.3723,1.5079,0.963,2.317,3.2549,0.968
k6_thr,none,adaptshrink_dta,800,-0.1203,-0.0657,0.4237,0.824,1.1919,1.6467,0.943,2.236,2.7143,0.95
k6_thr,none,reitsma,800,-0.1075,-0.0633,0.4213,0.76,0.9818,1.5991,0.95,2.515,2.5019,0.945
k6_thr,none,reitsma_indep,800,-0.1383,-0.0697,0.4306,0.765,1.0998,1.6841,0.943,2.769,3.1105,0.96
k6_thr,none,sep_univariate,800,-0.1153,-0.0602,0.4212,0.848,1.3375,1.5954,0.938,1.824,2.4734,0.932
k6_thr,strong,adaptshrink_dta,800,0.0872,0.0908,0.4432,0.821,1.3109,1.8086,0.953,2.292,3.0372,0.958
k6_thr,strong,reitsma,800,0.1098,0.0968,0.4576,0.772,1.0534,1.9147,0.953,2.327,2.4864,0.943
k6_thr,strong,reitsma_indep,800,0.0575,0.0833,0.4342,0.789,1.1451,1.6675,0.953,2.435,2.8077,0.953
k6_thr,strong,sep_univariate,800,0.0839,0.0955,0.4414,0.83,1.3905,1.8094,0.955,2.233,3.1391,0.968
