cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
sparse_k10_t0.6_p0.1,none,adaptshrink_dta,200,-0.3467,0.0657,0.9129,0.455,1.2637,8.1954,0.98,11.02,13.8691,0.98
sparse_k10_t0.6_p0.1,none,reitsma,200,-0.556,-0.1489,0.6869,0.515,1.2234,3.4119,0.98,3.448,4.1877,0.99
sparse_k10_t0.6_p0.1,none,reitsma_indep,200,-0.5709,-0.1542,0.7016,0.52,1.2074,3.5649,0.98,3.673,4.4189,0.98
sparse_k10_t0.6_p0.1,none,sep_univariate,200,-0.5727,-0.1477,0.7015,0.535,1.2818,3.5288,0.98,3.628,4.6598,0.99
sparse_k10_t0.6_p0.1,strong,adaptshrink_dta,200,-0.1209,0.1101,0.7903,0.71,1.3526,4.4934,0.91,9.168,12.6516,0.97
sparse_k10_t0.6_p0.1,strong,reitsma,200,-0.1893,0.0249,0.4336,0.89,1.3044,1.0781,0.86,1.278,1.6914,0.88
sparse_k10_t0.6_p0.1,strong,reitsma_indep,200,-0.2359,0.0149,0.4684,0.85,1.2725,1.4708,0.88,1.545,1.9947,0.88
sparse_k10_t0.6_p0.1,strong,sep_univariate,200,-0.2401,0.0253,0.4735,0.86,1.3457,1.5071,0.88,1.704,2.3398,0.9
sparse_k10_t0.6_p0.3,none,adaptshrink_dta,200,-0.2552,-0.093,0.6532,0.54,0.9546,3.7949,0.97,5.418,5.3314,0.96
sparse_k10_t0.6_p0.3,none,reitsma,200,-0.3248,-0.1687,0.5006,0.565,0.8897,2.1033,0.96,3.61,3.2645,0.99
sparse_k10_t0.6_p0.3,none,reitsma_indep,200,-0.3483,-0.1798,0.523,0.56,0.8952,2.3854,0.95,3.947,3.6265,0.98
sparse_k10_t0.6_p0.3,none,sep_univariate,200,-0.3448,-0.1704,0.5156,0.635,0.9848,2.35,0.95,3.356,3.3929,0.99
sparse_k10_t0.6_p0.3,strong,adaptshrink_dta,200,-0.1401,-0.0316,0.5506,0.82,1.0855,3.2874,0.94,5.116,5.641,0.95
sparse_k10_t0.6_p0.3,strong,reitsma,200,-0.0625,0.0356,0.3578,0.895,0.9905,0.8926,0.9,1.28,1.2808,0.91
sparse_k10_t0.6_p0.3,strong,reitsma_indep,200,-0.1107,0.0118,0.3698,0.87,0.9659,0.861,0.88,1.539,1.5134,0.94
sparse_k10_t0.6_p0.3,strong,sep_univariate,200,-0.1085,0.0259,0.3677,0.895,1.0585,0.933,0.91,1.42,1.5402,0.96
sparse_k10_t0.8_p0.1,none,adaptshrink_dta,200,-0.3244,0.0958,1.0315,0.425,1.5308,8.8206,0.96,7.569,11.6874,0.93
sparse_k10_t0.8_p0.1,none,reitsma,200,-0.5818,-0.1744,0.7288,0.48,1.4528,3.9595,0.98,4.114,5.9976,0.99
sparse_k10_t0.8_p0.1,none,reitsma_indep,200,-0.615,-0.1832,0.7602,0.46,1.4446,4.5666,0.97,4.059,5.9409,1.0
sparse_k10_t0.8_p0.1,none,sep_univariate,200,-0.616,-0.1744,0.7591,0.49,1.5413,4.2182,0.97,3.475,5.4512,0.99
sparse_k10_t0.8_p0.1,strong,adaptshrink_dta,200,-0.1521,0.2163,0.9429,0.725,1.6786,8.374,0.95,11.255,18.5477,0.99
sparse_k10_t0.8_p0.1,strong,reitsma,200,-0.2683,0.08,0.5039,0.87,1.5796,1.5848,0.86,1.357,2.0995,0.89
sparse_k10_t0.8_p0.1,strong,reitsma_indep,200,-0.3308,0.0653,0.5484,0.805,1.5444,1.6572,0.83,1.294,1.9439,0.85
sparse_k10_t0.8_p0.1,strong,sep_univariate,200,-0.3343,0.0807,0.5544,0.825,1.6612,1.6431,0.84,1.787,2.916,0.9
sparse_k10_t0.8_p0.3,none,adaptshrink_dta,200,-0.2822,-0.0802,0.7577,0.475,1.2125,5.4345,0.95,5.914,7.3553,0.96
sparse_k10_t0.8_p0.3,none,reitsma,200,-0.3854,-0.1914,0.5799,0.46,1.0889,3.0365,0.96,3.729,4.1043,0.98
sparse_k10_t0.8_p0.3,none,reitsma_indep,200,-0.4226,-0.2092,0.6133,0.515,1.1365,3.2572,0.96,3.756,4.3769,0.97
sparse_k10_t0.8_p0.3,none,sep_univariate,200,-0.4143,-0.1988,0.6031,0.575,1.2683,3.2309,0.97,3.731,4.8614,0.96
sparse_k10_t0.8_p0.3,strong,adaptshrink_dta,200,-0.1478,-0.0032,0.5974,0.785,1.3403,3.8178,0.93,3.124,4.3758,0.9
sparse_k10_t0.8_p0.3,strong,reitsma,200,-0.0797,0.0507,0.4355,0.855,1.1797,1.4103,0.91,1.179,1.4284,0.84
sparse_k10_t0.8_p0.3,strong,reitsma_indep,200,-0.1472,0.0184,0.4492,0.815,1.1698,1.3707,0.87,1.828,2.2114,0.88
sparse_k10_t0.8_p0.3,strong,sep_univariate,200,-0.1385,0.0355,0.4441,0.85,1.3155,1.2761,0.85,1.545,2.1307,0.9
sparse_k6_t0.6_p0.1,none,adaptshrink_dta,200,-0.3057,0.0532,1.0984,0.54,2.0615,8.967,0.93,11.391,22.9084,0.98
sparse_k6_t0.6_p0.1,none,reitsma,200,-0.5027,-0.1532,0.7106,0.62,1.9651,3.9856,0.94,2.304,4.44,0.94
