target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
GLP1,sparse,0,nma,-1.1715684059062057,-0.7471244560880392,-1.039822564540621,-0.4544263476354576,True,,
GLP1,sparse,0,borrow,-1.1715684059062057,-0.5495003876446095,-0.9037810096641368,-0.1952197656250822,True,1.0,0.2994042364874507
GLP1,sparse,0,shrink_mean,-1.1715684059062057,-0.5462368508404682,-0.8867184742599068,-0.20575522742102975,True,1.0,0.30589983538949306
GLP1,sparse,1,nma,-1.1715684059062057,-0.6731304476508226,-0.9791342296028874,-0.36712666569875785,True,,
GLP1,sparse,1,borrow,-1.1715684059062057,-0.5491404154039986,-0.9074666960266873,-0.19081413478130987,True,1.0,0.29908006953680344
GLP1,sparse,1,shrink_mean,-1.1715684059062057,-0.5459516547808051,-0.890341064287657,-0.2015622452739531,True,1.0,0.3051335325190868
GLP1,sparse,2,nma,-1.1715684059062057,-0.9427138991360051,-1.2698353038991064,-0.6155924943729039,True,,
GLP1,sparse,2,borrow,-1.1715684059062057,-0.5918008310367306,-1.1136973269734427,-0.06990433510001848,True,1.0,0.5876818789792787
GLP1,sparse,2,shrink_mean,-1.1715684059062057,-0.5890464738762883,-1.100273035437051,-0.07781991231552565,True,1.0,0.5932584164793951
GLP1,sparse,3,nma,-1.1715684059062057,-1.2249983936270143,-1.5320012065161803,-0.9179955807378484,True,,
GLP1,sparse,3,borrow,-1.1715684059062057,-0.8145573078439128,-1.7157171228364705,0.08660250714864492,True,0.4082724472881336,2.791641128942692
GLP1,sparse,3,shrink_mean,-1.1715684059062057,-0.8091942807831506,-1.7035490305952024,0.08516046902890118,True,0.399921911660546,2.8329719435617204
GLP1,sparse,4,nma,-1.1715684059062057,-1.1536402415738292,-1.5442194830992881,-0.7630610000483702,True,,
GLP1,sparse,4,borrow,-1.1715684059062057,-1.1277276190149461,-1.6037666937887847,-0.6516885442411076,True,0.016134168998511313,9.253631915681428
GLP1,sparse,4,shrink_mean,-1.1715684059062057,-1.1349062489360746,-1.591532849940399,-0.6782796479317504,True,0.011956447686547626,9.852969181505278
GLP1,sparse,5,nma,-1.1715684059062057,-1.3352389502569815,-1.6686424212088407,-1.0018354793051223,True,,
GLP1,sparse,5,borrow,-1.1715684059062057,-0.7435325576804608,-1.6085258653579162,0.12146074999699463,True,0.6849851223040943,1.756716320439749
GLP1,sparse,5,shrink_mean,-1.1715684059062057,-0.7399315857182709,-1.5979692048745533,0.11810603343801152,True,0.6791814375298093,1.7737339485231516
GLP1,sparse,6,nma,-1.1715684059062057,-1.3945117091617019,-1.713493621441014,-1.0755297968823898,True,,
GLP1,sparse,6,borrow,-1.1715684059062057,-1.0321627857808635,-1.9414612219497354,-0.12286434961199166,True,0.0844831682658408,5.942405913161243
GLP1,sparse,6,shrink_mean,-1.1715684059062057,-1.0283876677144728,-1.9392143667646673,-0.11756096866427834,True,0.07734474495675871,6.1189652855488585
GLP1,sparse,7,nma,-1.1715684059062057,-2.021119492774967,-2.305972453310826,-1.7362665322391084,True,,
GLP1,sparse,7,borrow,-1.1715684059062057,-2.0163797224669198,-2.1330742717907705,-1.899685173143069,True,1.714880671795585e-17,78.2092061636591
