target,regime,method,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov
DPP4,rich,borrow,300,-0.0022032878274984313,0.05134991532431742,0.997,0.3234,0.1995,0.953
DPP4,rich,nma,300,-0.0018356608448298496,0.051723546022140514,1.0,0.4688,0.2025,0.953
DPP4,rich,shrink_mean,300,-0.0017357338546574242,0.05129121103515655,0.993,0.3226,0.1997,0.96
DPP4,sparse,borrow,300,0.015430475214211625,0.1428491328132449,0.847,0.5434,0.4787,0.96
DPP4,sparse,nma,300,0.01379350629225156,0.15634578840194274,1.0,0.965,0.5224,0.953
DPP4,sparse,shrink_mean,300,0.017184700371895397,0.14227745205142528,0.837,0.5408,0.4815,0.96
GLP1,rich,borrow,300,0.1404485977904719,0.25197713148968626,0.967,1.2342,0.8347,0.94
GLP1,rich,nma,300,-0.011192188716949929,0.15958734198911498,0.753,0.3904,0.5756,0.92
GLP1,rich,shrink_mean,300,0.13920091004457416,0.25335025511224063,0.967,1.2254,0.8405,0.94
GLP1,sparse,borrow,300,0.21531826085146463,0.4732136323388615,0.517,1.1368,1.3596,0.92
GLP1,sparse,nma,300,-0.03824337380071217,0.41285559458227605,0.51,0.6287,1.3928,0.92
GLP1,sparse,shrink_mean,300,0.21725308580070846,0.4748553901241547,0.49,1.125,1.3592,0.92
SGLT2,rich,borrow,300,-0.014793158802051367,0.0331804973770276,1.0,0.3389,0.1327,0.947
SGLT2,rich,nma,300,-0.0028597316375288248,0.03773646721652515,1.0,0.5141,0.1267,0.887
SGLT2,rich,shrink_mean,300,-0.020964410839312796,0.035476526514705044,1.0,0.3941,0.1413,0.947
SGLT2,sparse,borrow,300,-0.02250813553482019,0.1018569076690668,0.91,0.5287,0.5059,0.993
SGLT2,sparse,nma,300,0.008115831629234032,0.12433026193455475,1.0,1.2097,0.4827,0.973
SGLT2,sparse,shrink_mean,300,-0.02933143753453954,0.10091237567485895,0.91,0.575,0.507,0.993
