mu,tau,selection,quality_bias,k,design_mix,method,replicate,true_mu,k_published,mu_hat,ci_low,ci_high,converged
0.2,0.0,none,none,30,all_rct,dl,0,0.2,13,0.17808379999123353,0.09757663972758036,0.2585909602548867,True
0.2,0.0,none,none,30,all_rct,dl_hksj,0,0.2,13,0.17808379999123353,0.08611110935961835,0.2700564906228487,True
0.2,0.0,none,none,30,all_rct,reml,0,0.2,13,0.18209796599419945,0.11029775713454443,0.25389817485385446,True
0.2,0.0,none,none,30,all_rct,reml_hksj,0,0.2,13,0.18209796599419945,0.09713975534470327,0.26705617664369563,True
0.2,0.0,none,none,30,all_rct,trim_and_fill,0,0.2,13,0.15359517198978537,0.08566645489014371,0.22152388908942702,True
0.2,0.0,none,none,30,all_rct,pet_peese,0,0.2,13,0.2039818458433937,0.09732706974345078,0.31063662194333663,True
0.2,0.0,none,none,30,all_rct,copas,0,0.2,13,0.18084645244997777,0.10904625188482887,0.2526466530151267,True
0.2,0.0,none,none,30,all_rct,quality_effects,0,0.2,13,0.17878349113999886,0.09186080484580435,0.2657061774341934,True
0.2,0.0,none,none,30,all_rct,ubcma,0,0.2,13,0.18912974005662173,0.046701187939609375,0.33316815963869295,True
0.2,0.0,none,none,30,all_rct,dl,1,0.2,15,0.19588192541071084,0.138389911391041,0.25337393943038067,True
0.2,0.0,none,none,30,all_rct,dl_hksj,1,0.2,15,0.19588192541071084,0.1329066642244115,0.2588571865970102,True
0.2,0.0,none,none,30,all_rct,reml,1,0.2,15,0.19564488024357363,0.1384169625046902,0.25287279798245704,True
0.2,0.0,none,none,30,all_rct,reml_hksj,1,0.2,15,0.19564488024357363,0.13281963619804588,0.2584701242891014,True
0.2,0.0,none,none,30,all_rct,trim_and_fill,1,0.2,15,0.12306773534631499,0.0789283270973897,0.16720714359524028,True
0.2,0.0,none,none,30,all_rct,pet_peese,1,0.2,15,0.17661613436070298,0.10823930075639662,0.24499296796500933,True
0.2,0.0,none,none,30,all_rct,copas,1,0.2,15,0.1910401917109227,0.13857030423108746,0.24351007919075796,True
0.2,0.0,none,none,30,all_rct,quality_effects,1,0.2,15,0.181733765061601,0.12518328185536454,0.23828424826783745,True
0.2,0.0,none,none,30,all_rct,ubcma,1,0.2,15,0.16615779021839053,0.0920739274921081,0.235339765247742,True
0.2,0.0,none,none,30,all_rct,dl,2,0.2,15,0.28262299541949165,0.20713289400332305,0.3581130968356603,True
0.2,0.0,none,none,30,all_rct,dl_hksj,2,0.2,15,0.28262299541949165,0.20001576858940828,0.365230222249575,True
0.2,0.0,none,none,30,all_rct,reml,2,0.2,15,0.2807237862751709,0.19970949841313984,0.361738074137202,True
0.2,0.0,none,none,30,all_rct,reml_hksj,2,0.2,15,0.2807237862751709,0.19206992961851346,0.3693776429318284,True
