method,bias,rmse,coverage,interval_width,convergence_rate
copas,0.05692171174773732,0.0802086458663466,0.58,0.13655997625348118,1.0
dl,0.057560313159691436,0.08082599117329119,0.5966666666666667,0.1435968615921717,1.0
dl_hksj,0.057560313159691436,0.08082599117329119,0.6333333333333333,0.16222343464454145,1.0
pet_peese,0.023401383229812514,0.0936039458031394,0.645,0.18656721604773865,1.0
quality_effects,0.044873907615116636,0.06691625301595305,0.6216666666666667,0.1288927461101387,1.0
reml,0.057527660725172056,0.08080732121512017,0.5933333333333334,0.1423730369984118,1.0
reml_hksj,0.057527660725172056,0.08080732121512017,0.6383333333333333,0.16170575785476313,1.0
trim_and_fill,-0.055806565501185415,0.09391689024081686,0.39,0.08567975647444409,1.0
ubcma,0.02301201754326597,0.06962794020620505,0.8883333333333333,0.22590429895027483,0.9766666666666667
