studlab,treat1,treat2,TE,seTE
S0,A@4,plac@0,0.5774078677746521,0.2736452691894919
S1,A@8,plac@0,0.949479941302898,0.22433915412818756
S1,A@1,plac@0,0.2823539303452218,0.19535532748764414
S1,A@1,A@8,-0.6671260109576762,0.2369647085380925
S2,B@1,plac@0,0.3149617518365231,0.2575786025160577
S3,B@2,plac@0,0.5050293443474153,0.2780789410190755
S4,A@8,plac@0,0.694501617605722,0.2693240877107892
S5,B@2,plac@0,0.33709862451255934,0.2382662768769624
S5,A@1,plac@0,0.2473098812006717,0.29231636291648094
S5,A@1,B@2,-0.08978874331188763,0.26753915131827133
S6,A@2,plac@0,0.717237613614429,0.26152386501042046
S6,A@4,plac@0,0.7130685628016611,0.28473593513606543
S6,A@4,A@2,-0.004169050812767916,0.2835883712587745
S7,A@4,plac@0,0.6176841433632927,0.21939902874245262
S7,B@0.5,plac@0,0.09251858309056225,0.2633181091341542
S7,B@0.5,A@4,-0.5251655602727305,0.2731106184989014
S8,A@2,plac@0,0.4532821361957351,0.2824577377218892
S9,A@8,plac@0,0.6194448616448494,0.22085608442662458
S10,A@2,plac@0,0.2563791251668228,0.20018737375895107
S10,A@8,plac@0,0.7001287624521034,0.2014404799203906
S10,A@8,A@2,0.44374963728528066,0.1934940527545802
S11,A@2,plac@0,0.41711278238099525,0.2693356448336334
S11,A@1,plac@0,-0.06051407063779729,0.2290414625428949
S11,A@1,A@2,-0.47762685301879254,0.2733184724126668
S12,A@1,plac@0,0.4965853790968804,0.25863497848035755
S12,A@8,plac@0,0.94318684585548,0.28523962196370267
S12,A@8,A@1,0.44660146675859963,0.29675525732029795
S13,A@4,plac@0,0.082644235510557,0.3024748786567814
S14,B@0.5,plac@0,0.20481460295822534,0.2786608946789433
S14,B@1,plac@0,0.4265350199365905,0.31973748536993607
S14,B@1,B@0.5,0.22172041697836514,0.28034992228824673
S15,A@2,plac@0,0.615406122963574,0.2798888572135257
S16,A@4,plac@0,0.6140907794275203,0.21353715668373596
S16,B@0.5,plac@0,0.06094591267748922,0.19795905021190646
S16,B@0.5,A@4,-0.553144866750031,0.2159435163107202
S17,A@1,plac@0,0.17930663679998354,0.20634015329055952
S18,B@0.5,plac@0,0.07470532807371297,0.26572662321363333
S18,A@1,plac@0,0.3509431473055774,0.29972191914686
S18,A@1,B@0.5,0.2762378192318644,0.24134491114618772
S19,B@2,plac@0,0.377863861785272,0.26660947003815877
S19,A@8,plac@0,0.8786797448923487,0.2278117666767836
S19,A@8,B@2,0.5008158831070767,0.24655188525334779
S20,A@1,plac@0,0.5769034520520498,0.3065635163507172
S20,B@0.5,plac@0,0.6930470914658712,0.26464867326372166
S20,B@0.5,A@1,0.11614363941382133,0.24122478829221336
S21,B@1,plac@0,0.26018735025699224,0.24018488998386703
S22,A@4,plac@0,0.39873719153979,0.25685852930444586
S22,B@1,plac@0,0.2856381220183393,0.3061410247564872
S22,B@1,A@4,-0.11309906952145066,0.2702021972356064
S23,A@2,plac@0,0.3330789455236076,0.21991173048095655
S23,A@1,plac@0,0.28395823632851647,0.24570715955293526
S23,A@1,A@2,-0.04912070919509115,0.25085854167093324
S24,A@2,plac@0,0.7206531909274853,0.3201123579977541
S25,B@2,plac@0,0.14295752687695817,0.3103192572261216
S26,B@1,plac@0,0.3362333861156735,0.24794411345168665
S27,A@8,plac@0,0.7807100000039342,0.21064344297388615
S28,A@4,plac@0,0.18435815700887492,0.2876676371953957
S29,A@1,plac@0,0.23476879976841958,0.2862501242552265
S29,B@0.5,plac@0,0.30995699268893023,0.2676564507289262
S29,B@0.5,A@1,0.07518819292051065,0.2279730757873628
S30,B@1,plac@0,0.6782481612496698,0.29433333280465607
S31,A@1,plac@0,-0.044331994802362856,0.2581625831527353
S31,B@0.5,plac@0,0.07453347245368677,0.18330244452125422
S31,B@0.5,A@1,0.11886546725604963,0.2613007409185759
S32,B@1,plac@0,0.057022376975367786,0.28675452418528496
S33,B@1,plac@0,0.0594129194510373,0.3106090551966364
S34,A@2,plac@0,0.25828371719651383,0.28900890834657866
S34,B@0.5,plac@0,-0.20851953563386638,0.24408212836027843
S34,B@0.5,A@2,-0.4668032528303802,0.2539708502921401
S35,A@4,plac@0,0.8254859579413993,0.2218346739892255
S35,B@2,plac@0,0.2764817612902649,0.23470577625475073
S35,B@2,A@4,-0.5490041966511343,0.23064909218531687
S36,B@0.5,plac@0,-0.4925253250894348,0.25901363013933865
S36,A@2,plac@0,-0.2773017053943922,0.25433476521581744
S36,A@2,B@0.5,0.21522361969504264,0.2726933992580919
S37,B@2,plac@0,0.6786864253684348,0.285435489244615
S38,B@2,plac@0,0.7462168008828771,0.2035039598972637
S38,B@1,plac@0,0.5641613159382524,0.20783158341490543
S38,B@1,B@2,-0.18205548494462476,0.21778471937746913
S39,A@4,plac@0,0.3601716521809384,0.2440286003446831
S40,B@0.5,plac@0,-0.025902876768709393,0.23370368381033693
S41,A@8,plac@0,0.5533631217800129,0.2715310503162643
S41,B@2,plac@0,0.4479358357514497,0.22851950221001194
S41,B@2,A@8,-0.10542728602856316,0.27281027062376806
S42,A@4,plac@0,0.8719277239239792,0.2752843219737828
S42,B@2,plac@0,0.5430935782859283,0.23503257482946946
S42,B@2,A@4,-0.32883414563805097,0.2625052404056895
