nct_id,drug_class,published,abs_md_pct
NCT05260021,GLP1,1,1.8
NCT05260021,GLP1,1,1.93
NCT00824616,insulin,0,0.11
NCT00397631,DPP4,1,0.89
NCT00397631,TZD,1,0.89
NCT03954834,GLP1,1,2.11
NCT04657003,GLP1,1,2.06
NCT05564039,GLP1,1,0.9
NCT00877890,GLP1,1,0.67
NCT04450394,insulin,1,0.06
NCT02551874,metformin,1,0.13
NCT02551874,SGLT2,1,0.13
NCT02551874,DPP4,1,0.13
NCT02551874,insulin,1,0.13
NCT01128153,DPP4,0,0.66
NCT01499095,insulin,1,0.01
NCT01499095,insulin,1,0.13
NCT00289848,DPP4,1,1.03
NCT02220920,SGLT2,1,1.1
NCT02220920,insulin,1,1.1
NCT03214380,metformin,1,0.06
NCT03214380,insulin,1,0.06
NCT01006590,metformin,1,0.1
NCT01006590,DPP4,1,0.1
NCT01006590,metformin,1,2.3
NCT01006590,DPP4,1,2.3
NCT00350779,metformin,1,0.72
NCT00350779,DPP4,1,0.72
NCT00350779,SU,1,0.72
NCT00350779,TZD,1,0.72
NCT00350779,metformin,1,0.77
NCT00350779,DPP4,1,0.77
NCT00350779,SU,1,0.77
NCT00350779,TZD,1,0.77
NCT00528372,metformin,1,0.35
NCT00528372,SGLT2,1,0.35
NCT00528372,metformin,1,2.23
NCT00528372,SGLT2,1,2.23
NCT00528372,metformin,1,0.67
NCT00528372,SGLT2,1,0.67
NCT01768559,metformin,1,0.21
NCT01768559,GLP1,1,0.21
NCT01768559,insulin,1,0.21
NCT04867785,GLP1,1,1.96
NCT04867785,GLP1,1,0.61
NCT04867785,GLP1,1,0.8
NCT00917267,GLP1,1,0.31
NCT05048719,GLP1,1,1.6
NCT05048719,GLP1,1,0.93
NCT01621178,GLP1,1,0.05
NCT01621178,insulin,1,0.05
NCT00736879,SGLT2,1,0.74
NCT01648582,metformin,1,0.57
NCT01648582,GLP1,1,0.57
NCT01648582,SU,1,0.57
NCT01648582,insulin,1,0.57
NCT01648582,metformin,1,0.57
NCT01648582,GLP1,1,0.57
