ma,family,specialty,yi,se,year,nct,condition,intervention,prespecified,corpus_specialty
aact_diabetesme_insulin,LOR,clinical_medicine,0.6729444732424258,0.24117074309323286,2007,NCT00418522,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.040821994520255166,0.1562573218159353,2014,NCT02229227,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.8255363686056909,0.47659496766523296,2009,NCT00911625,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,0.9516578757114463,0.1893410652959811,2022,NCT05413369,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,0.5877866649021191,0.2126718842462608,2015,NCT02551874,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,0.058268908123975824,0.2245854336080277,2007,NCT00548808,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.3285040669720361,0.1149042787324815,2003,NCT00069784,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,2.0268315914075385,0.2932689802750135,2020,NCT04591626,diabetes mellitus,"insulin, long-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,0.9321640810304452,0.24550129919192396,2010,NCT01075282,diabetes mellitus,"insulin, long-acting",0,1
aact_carcinoma_guanine,LOR,oncology,1.5690324977990613,0.2652347273219752,2009,NCT00949650,"carcinoma, bronchogenic",guanine,0,1
aact_carcinoma_guanine,LOR,oncology,1.8562979903656263,0.691356674570329,2015,NCT02337530,"carcinoma, bronchogenic",guanine,1,1
aact_carcinoma_guanine,LOR,oncology,0.5364933705145685,0.31122335800437395,2007,NCT00520676,"carcinoma, bronchogenic",guanine,0,1
aact_carcinoma_guanine,LOR,oncology,0.25464221837358075,0.1558470173793361,2008,NCT00806819,"carcinoma, bronchogenic",guanine,0,1
aact_carcinoma_guanine,LOR,oncology,0.9162907318741551,0.6083402717749319,2006,NCT00391274,"carcinoma, bronchogenic",guanine,0,1
aact_carcinoma_guanine,LOR,oncology,0.4762341789963717,0.2126899110793575,2019,NCT04035486,"carcinoma, bronchogenic",guanine,0,1
aact_carcinoma_guanine,LOR,oncology,-0.040821994520255166,0.17304708150899753,2009,NCT00982111,"carcinoma, bronchogenic",guanine,0,1
aact_carcinoma_guanine,LOR,oncology,0.29266961396282004,0.3175555287405722,2005,NCT00095199,"carcinoma, bronchogenic",guanine,0,1
