ma,specialty,yi,se,year,is_aact,split_role
bcg,infectious_disease,-0.9386941408703922,0.5975993241743407,1948.0,0,none
bcg,infectious_disease,-1.6661907290265499,0.45621529309875836,1949.0,0,none
bcg,infectious_disease,-1.3862943611198906,0.6583411563543026,1960.0,0,none
bcg,infectious_disease,-1.4564435493129846,0.14252863913332423,1977.0,0,none
bcg,infectious_disease,-0.219141085675433,0.227929325267988,1973.0,0,none
bcg,infectious_disease,-0.9581220407762676,0.09952520040340658,1953.0,0,none
bcg,infectious_disease,-1.6337758382288956,0.47645532342864383,1973.0,0,none
bcg,infectious_disease,0.012020601452732425,0.06330056881378579,1980.0,0,none
bcg,infectious_disease,-0.4717460358386963,0.2386988143828173,1968.0,0,none
bcg,infectious_disease,-1.4012101392834806,0.274630162791563,1961.0,0,none
bcg,infectious_disease,-0.3408496463662109,0.11191574429103136,1974.0,0,none
bcg,infectious_disease,0.44663468227444647,0.7308639904077345,1969.0,0,none
bcg,infectious_disease,-0.017341873929093476,0.2676473749089625,1976.0,0,none
li2007,clinical_medicine,-0.8303483020734304,1.2470175581550196,1984.0,0,none
li2007,clinical_medicine,-1.1096621248546947,0.597767519463886,1986.0,0,none
li2007,clinical_medicine,-1.2982253425721255,0.8158407693569856,1986.0,0,none
li2007,clinical_medicine,-0.04348511193973878,1.4295099922585022,1987.0,0,none
li2007,clinical_medicine,-1.2809338454620642,1.1937336386313322,1989.0,0,none
li2007,clinical_medicine,-2.304855241528585,1.0743586678124257,1990.0,0,none
li2007,clinical_medicine,-0.6751286750572671,0.5340363332160136,1990.0,0,none
li2007,clinical_medicine,0.22314355131420976,0.48916839052182665,1991.0,0,none
li2007,clinical_medicine,-0.5930637220029626,0.9220903570509866,1991.0,0,none
li2007,clinical_medicine,-0.2976451952000045,0.14662222156540483,1992.0,0,none
li2007,clinical_medicine,-1.1631508098056809,0.5502524673073059,1992.0,0,none
li2007,clinical_medicine,-0.7932306391169278,0.6258661500361474,1995.0,0,none
li2007,clinical_medicine,-1.574258405312927,0.5762280569718049,1995.0,0,none
li2007,clinical_medicine,0.05758725107643446,0.031642062909045116,1995.0,0,none
li2007,clinical_medicine,-0.055569851154810765,0.8498618253958241,1995.0,0,none
li2007,clinical_medicine,1.0986122886681098,1.6529490122682158,1996.0,0,none
li2007,clinical_medicine,-1.0986122886681098,0.4842439063865739,1999.0,0,none
li2007,clinical_medicine,0.002537864776327011,0.070593907572522,2000.0,0,none
li2007,clinical_medicine,-1.791759469228055,0.8036375634160796,2000.0,0,none
li2007,clinical_medicine,-1.1119458195375749,1.6411381777812604,2000.0,0,none
li2007,clinical_medicine,-0.44339012485170887,0.13686182784475437,2002.0,0,none
li2007,clinical_medicine,-1.0986122886681098,1.164500152881315,2004.0,0,none
linde2015,psychiatry,0.09472725935645765,0.3397312478628712,1997.0,0,none
linde2015,psychiatry,0.9162907318741551,0.5552777082985894,1971.0,0,none
linde2015,psychiatry,0.45953232937844013,0.5108472494598574,2002.0,0,none
linde2015,psychiatry,0.19885085874516517,0.2808797654209908,1994.0,0,none
linde2015,psychiatry,1.0805937831654315,0.2922698703054144,1996.0,0,none
linde2015,psychiatry,0.9118363815247748,0.5365601787281883,1995.0,0,none
linde2015,psychiatry,0.41225037110998125,0.19776648395036506,2003.0,0,none
linde2015,psychiatry,0.67951905305859,0.32366313940501396,1988.0,0,none
linde2015,psychiatry,0.30318625898774626,0.5570066518960166,1984.0,0,none
linde2015,psychiatry,0.48842468707682407,0.2069335911995063,2002.0,0,none
linde2015,psychiatry,0.5640500031782373,0.25143343444674077,2000.0,0,none
linde2015,psychiatry,0.6749504060488619,0.2533924246790984,2006.0,0,none
linde2015,psychiatry,0.3352608494349159,0.25346306404828534,1999.0,0,none
linde2015,psychiatry,0.08269171584511341,0.35961650193221045,1999.0,0,none
linde2015,psychiatry,-0.048790164169432056,0.391375271542037,2005.0,0,none
linde2015,psychiatry,1.9459101490553132,0.43424811867344754,1991.0,0,none
linde2015,psychiatry,1.0479685558493548,0.6634119686254086,1993.0,0,none
linde2015,psychiatry,1.3862943611198906,0.7158910531638176,1989.0,0,none
linde2015,psychiatry,0.8464812004806477,0.42720838334602057,1995.0,0,none
linde2015,psychiatry,0.2951503670593068,0.3806905635874635,1993.0,0,none
linde2015,psychiatry,0.4777857696877905,0.366388676733243,1998.0,0,none
yusuf1985,cardiology,-0.0454623740767575,0.430302888507909,,0,none
yusuf1985,cardiology,-0.118605742407847,0.388899331522284,,0,none
yusuf1985,cardiology,0.199332902620491,0.416908741397248,,0,none
yusuf1985,cardiology,-0.364643113587909,0.485504156227612,,0,none
yusuf1985,cardiology,-0.138421377918714,0.3147470791771,,0,none
yusuf1985,cardiology,-1.02961941718116,0.754036755451237,,0,none
yusuf1985,cardiology,-0.462623521948113,0.973505222533836,,0,none
yusuf1985,cardiology,0.144581228811107,0.395060595977284,,0,none
yusuf1985,cardiology,0.653926467406664,0.445298325048049,,0,none
yusuf1985,cardiology,0.150384197031781,0.697432279276938,,0,none
yusuf1985,cardiology,-0.111225635110224,2.05497207200445,,0,none
yusuf1985,cardiology,-0.393177277314471,0.482213418067419,,0,none
yusuf1985,cardiology,0.0219789067187754,0.842987555853389,,0,none
yusuf1985,cardiology,-0.200670695462151,2.03339128912271,,0,none
yusuf1985,cardiology,0.0930904230660121,1.4305986390755,,0,none
yusuf1985,cardiology,-2.07107329200932,1.53927723832753,,0,none
yusuf1985,cardiology,-0.040419499042895,0.384214772816436,,0,none
yusuf1985,cardiology,0.0,2.043015673821,,0,none
yusuf1985,cardiology,-0.587900501774005,0.529186099509084,,0,none
yusuf1985,cardiology,0.425137873706869,0.655578133952365,,0,none
