ma,specialty,y,within,within_sd,mu_cold,sd_cold,aact
aact_diabetesme_purines,clinical_medicine,1.4648744612427478,0.441745218824896,0.7061134467731763,0.855467738652902,0.7308736274260917,True
aact_diabetesme_purines,clinical_medicine,1.0780693874367804,0.45392527651701453,0.7173211476301598,0.8627433912835791,0.7312606934473043,True
aact_diabetesme_purines,clinical_medicine,0.9270328284060572,0.44878134054348534,0.7231068601274238,0.8374119078044695,0.7301148162696199,True
aact_diabetesme_purines,clinical_medicine,1.0539635369992275,0.44785001082794496,0.7195349717219607,0.8279866474902315,0.7306594187567605,True
aact_diabetesme_purines,clinical_medicine,-0.4246479275249383,0.6144971688091334,0.666426922619746,0.6684330475349911,0.7329134971411422,True
aact_diabetesme_purines,clinical_medicine,1.4019216170055897,0.45286326472533983,0.7103230297265706,0.8875885961464631,0.73219901543179,True
aact_diabetesme_purines,clinical_medicine,1.339726725303556,0.4431060459492983,0.7109006558790067,0.8381293832052109,0.7309571086183466,True
aact_diabetesme_purines,clinical_medicine,1.4804675311371402,0.4342589034965613,0.703659546725893,0.8282312445526725,0.7306649014521173,True
aact_diabetesme_purines,clinical_medicine,-0.2033409240180301,0.46759099492643263,0.7160801019147307,0.7252493947183404,0.7604631727810993,True
aact_diabetesme_purines,clinical_medicine,1.603419840108537,0.4600766774235573,0.7107315568445458,0.8846008782471756,0.737288891770603,True
aact_diabetesme_purines,clinical_medicine,1.03992329231943,0.444846578565769,0.7182995096655496,0.8637858686099444,0.7301286515875087,True
aact_diabetesme_purines,clinical_medicine,1.0299764962779716,0.4540203513394597,0.7189853431037533,0.8469574166637518,0.7313886429033181,True
aact_diabetesme_purines,clinical_medicine,1.2587450401729154,0.4482420011950831,0.713912967560142,0.8454624362647577,0.7312989554176947,True
aact_diabetesme_purines,clinical_medicine,1.2513333756857736,0.44358221234793777,0.7111438665843954,0.8712394252846686,0.7303363796362637,True
aact_diabetesme_purines,clinical_medicine,1.634130525024472,0.43211510490907845,0.6973373953479789,0.8329634692160656,0.7307860244465214,True
aact_diabetesme_purines,clinical_medicine,2.118542055301751,0.4459562220895462,0.6932210485736915,0.8909957660225217,0.7330737142507581,True
aact_diabetesme_purines,clinical_medicine,2.921816590603823,0.45885211874014514,0.7069276304182281,0.7691789998161113,0.7487983068333781,True
aact_diabetesme_purines,clinical_medicine,1.3166762942390209,0.42669597665159315,0.7027246275304329,0.8757212120786826,0.7304490118499887,True
