ma,family,specialty,yi,se,year
assink2016,SMD,psych_criminology,0.9066,0.2720294101747089,4.5
assink2016,SMD,psych_criminology,0.4295,0.19949937343260005,4.5
assink2016,SMD,psych_criminology,0.2679,0.2193171219946131,4.5
assink2016,SMD,psych_criminology,0.2078,0.15459624833740307,4.5
assink2016,SMD,psych_criminology,0.0526,0.1819340539866025,4.5
assink2016,SMD,psych_criminology,-0.0507,0.2976575213227443,4.5
assink2016,SMD,psych_criminology,0.5117,0.10723805294763608,1.5
assink2016,SMD,psych_criminology,0.4738,0.08717797887081347,1.5
assink2016,SMD,psych_criminology,0.3544,0.0806225774829855,1.5
assink2016,SMD,psych_criminology,2.2844,0.5766281297335398,-8.5
assink2016,SMD,psych_criminology,2.1771,0.5543464620614079,-8.5
assink2016,SMD,psych_criminology,1.7777,0.5193264869039514,-8.5
assink2016,SMD,psych_criminology,1.548,0.6732755750805163,-8.5
assink2016,SMD,psych_criminology,1.4855,0.3416138170507744,-6.5
assink2016,SMD,psych_criminology,1.4836,0.4130375285612677,-6.5
assink2016,SMD,psych_criminology,1.2777,0.39217343102255153,-8.5
assink2016,SMD,psych_criminology,1.0311,0.5596427431853289,-8.5
assink2016,SMD,psych_criminology,0.9409,0.3856163896931768,-6.5
assink2016,SMD,psych_criminology,0.6263,0.4624932431938871,-6.5
assink2016,SMD,psych_criminology,-0.0447,0.1819340539866025,-7.5
assink2016,SMD,psych_criminology,1.549,0.3720215047547655,-11.5
assink2016,SMD,psych_criminology,0.7516,0.21840329667841554,5.5
assink2016,SMD,psych_criminology,0.3979,0.21189620100417092,5.5
assink2016,SMD,psych_criminology,0.2062,0.5943904440685432,5.5
assink2016,SMD,psych_criminology,-0.2927,0.2753179979587241,5.5
assink2016,SMD,psych_criminology,-0.5067,0.1772004514666935,5.5
assink2016,SMD,psych_criminology,1.7083,0.27,3.5
assink2016,SMD,psych_criminology,0.8003,0.28548204847240394,3.5
assink2016,SMD,psych_criminology,0.7268,0.3733630940518894,3.5
assink2016,SMD,psych_criminology,0.6569,0.30708305065568176,3.5
assink2016,SMD,psych_criminology,0.5569,0.36810324638611924,3.5
assink2016,SMD,psych_criminology,0.3504,0.27622454633866267,3.5
assink2016,SMD,psych_criminology,0.3695,0.14106735979665885,1.5
assink2016,SMD,psych_criminology,0.1048,0.1819340539866025,5.5
assink2016,SMD,psych_criminology,0.1748,0.18601075237738274,5.5
