method,bias,rmse,raw_cov,cov_unif,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov
adaptshrink,0.08348887799875694,0.15234742040974075,0.8201013513513514,0.12989864864864858,0.41998117568235127,0.5433970912901949,0.9295302013422819,0.6140071487134596,0.9513422818791946
adaptshrink_auto,0.057954209627818484,0.15270319497177337,0.8826013513513513,0.06739864864864861,0.4786978658213256,0.5216265024356908,0.9010067114093958,0.616645812635152,0.9345637583892618
common_DL,0.0834468976649779,0.15160021122992806,0.8184121621621622,0.13158783783783778,0.41336318005212647,0.5328886638473946,0.9177852348993288,0.5898392245767239,0.9479865771812082
comp_specific,0.08145018601201817,0.1533150555726254,0.8141891891891893,0.13581081081081078,0.4203536641651848,0.5448365743116951,0.9278523489932885,0.6276708497782705,0.9395973154362416
