method,bias,rmse,raw_cov,cov_unif,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov
adaptshrink,0.004299962591600564,0.17780433150934274,0.9413333333333334,0.056666666666666685,0.7341047628761534,0.7092997422757467,0.932,0.7429000450818531,0.9226666666666666
common_DL,0.004577640965333303,0.178685504738961,0.9246666666666666,0.07466666666666666,0.7277572571497907,0.7004047725786486,0.9293333333333333,0.7331897420170481,0.9199999999999999
comp_specific,0.004171713953905631,0.1776092079677039,0.9253333333333332,0.03800000000000001,0.6991336598607327,0.7146193377071403,0.9333333333333333,0.8001510362046753,0.9333333333333333
