method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,300,0.008652294155286601,0.16735134688146072,0.9433333333333334,0.6605735516944246,0.6178013587776281,0.9133333333333333,0.6127877523915268,0.9066666666666666,0.942965406450522
adaptshrink,2,300,0.0018746096179976853,0.1669751046976191,0.94,0.6724551193826289,0.7103015417768621,0.9866666666666667,0.7880191863041951,0.9733333333333334,1.1615495023038456
adaptshrink,3,300,0.001963932592012942,0.1666993136605472,0.9166666666666666,0.6599255832938169,0.6217699800489956,0.96,0.7628395706128209,0.9733333333333334,1.140643983488486
adaptshrink,4,300,0.0068705052821573485,0.1674281323578199,0.9266666666666666,0.6552946715873298,0.687473448227176,0.9133333333333333,0.6055193746487244,0.88,0.934291140117776
adaptshrink,5,300,-0.0011019726362465317,0.17279282698675275,0.9266666666666666,0.6603245292469891,0.6597856644521739,0.94,0.7590097570865496,0.96,1.1318873896452035
common_DL,1,300,0.008358343565812342,0.1684193358687357,0.94,0.6550560676559913,0.624468869075279,0.9266666666666666,0.6009314861568045,0.8933333333333333,0.922236727327255
common_DL,2,300,0.0021434928163148663,0.16603459563807663,0.9266666666666666,0.6566107878632338,0.708118846137464,0.9866666666666667,0.7670982145109716,0.98,1.164113652395146
common_DL,3,300,0.0030867923973267753,0.16642798553006738,0.9166666666666666,0.6454764353723365,0.6080316763460518,0.9466666666666667,0.7033777008850229,0.9533333333333334,1.0757388777870476
common_DL,4,300,0.007975265873365148,0.1667183368626101,0.93,0.6447526360600773,0.6254326747155019,0.9,0.6233087460185933,0.9,0.9735805844771857
common_DL,5,300,-0.0006208333861270857,0.17239684187100043,0.9266666666666666,0.6520780479836291,0.6530371229428467,0.94,0.7425955910313564,0.9466666666666667,1.1370359148337603
comp_specific,1,300,0.010170628684507776,0.16712894721755647,0.9066666666666666,0.6461798575296158,0.6059916082929121,0.8933333333333333,0.6576816907175431,0.8933333333333333,1.0487256518780292
comp_specific,2,300,0.002015052261781282,0.16760425437231405,0.9133333333333333,0.6716607790578227,0.7031389271193184,0.98,0.7994929632648864,0.9666666666666667,1.1641136523951456
comp_specific,3,300,0.0016393448064003333,0.16854544839803542,0.91,0.6565168023106979,0.6765528017720941,0.9666666666666667,0.9176719636041858,0.9733333333333334,1.3797694631428352
comp_specific,4,300,0.005651921206002207,0.16984705964973215,0.9033333333333333,0.6491324193361507,0.706012887343084,0.9266666666666666,0.663286740487579,0.8733333333333333,1.043830157785119
comp_specific,5,300,-0.000787012342436116,0.17476479976450818,0.89,0.6458430005275311,0.6597746658986037,0.9333333333333333,0.8062790421987854,0.94,1.2118978824791193
