method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,300,0.0014882073091982983,0.12595840163078556,0.9933333333333333,0.6741984088158497,0.4623840155737053,0.8933333333333333,0.44341829466912525,0.8933333333333333,0.6668917190538968
adaptshrink,2,300,-8.637430437041498e-05,0.24694548445149958,0.8733333333333333,0.8338341916034843,1.013820420433651,0.9733333333333334,1.304314766412153,0.9866666666666667,1.5444181139153652
adaptshrink,3,300,0.003059155905825553,0.12852627464054617,0.9966666666666667,0.6696531636563062,0.554824498544075,0.96,0.5427449461038306,0.9666666666666667,0.7957695930649652
adaptshrink,4,300,0.011654096562499015,0.24968863281614692,0.8633333333333333,0.8160480645243883,0.9183571570460293,0.8933333333333333,0.8901949157065082,0.8466666666666667,1.1186035363830726
adaptshrink,5,300,-0.005211978876109537,0.1379028640077354,0.98,0.676789985780739,0.5971126197812728,0.94,0.533827302517649,0.92,0.7793301734992546
common_DL,1,300,0.0017135411280616087,0.12701660496374256,0.9933333333333333,0.7306504708282332,0.47281890566485335,0.9133333333333333,0.44020423549127496,0.88,0.6065191363012042
common_DL,2,300,-6.572394533011617e-05,0.24865842625083479,0.8266666666666667,0.7349135361004925,0.9949558967542406,0.9733333333333334,1.278880813070735,0.9733333333333334,1.7311084326856463
common_DL,3,300,0.0036025812713357222,0.12960596293922164,0.9966666666666667,0.7221062309726833,0.5661593168641795,0.9666666666666667,0.5302263299024244,0.9533333333333334,0.7245586868444439
common_DL,4,300,0.012256422179726964,0.2500060558354677,0.8233333333333334,0.7224779901094305,0.8620299259942489,0.8533333333333334,0.8498184438667875,0.86,1.186087743110678
common_DL,5,300,-0.005249936302212106,0.1381404737055382,0.9833333333333333,0.7286380577381139,0.6060598176157208,0.94,0.5668188877540181,0.9333333333333333,0.7770745813226067
comp_specific,1,300,0.0020543798451400997,0.1241859139693261,0.96,0.5515826224154396,0.4544754479383364,0.8933333333333333,0.4814449048613454,0.9066666666666666,0.8912382733395279
comp_specific,2,300,4.832111894109999e-05,0.2470498388273325,0.8733333333333333,0.9282477290969416,1.0466481542820598,0.9733333333333334,1.4464094431107881,0.9866666666666667,1.518795431983149
comp_specific,3,300,0.0022676865724190276,0.12784000263722176,0.9733333333333334,0.5517189384879987,0.5370196440305973,0.9533333333333334,0.5466306015880205,0.9866666666666667,0.9653027094362632
comp_specific,4,300,0.011960150076199287,0.2514798988941313,0.8733333333333333,0.9030712624870565,0.9426652250393177,0.8933333333333333,0.9588493298031259,0.8533333333333334,1.1122346422821465
comp_specific,5,300,-0.00452803215682864,0.137490385510508,0.9466666666666667,0.5610477468162274,0.5922882172453902,0.9533333333333334,0.5674209016600966,0.9333333333333333,0.9806313732319214
