rep,method,spearman,top1_correct
0,common_DL,0.9999999999999999,1
0,comp_specific,0.9999999999999999,1
0,adaptshrink,0.9999999999999999,1
1,common_DL,0.9999999999999999,1
1,comp_specific,0.9999999999999999,1
1,adaptshrink,0.9999999999999999,1
2,common_DL,0.8999999999999998,0
2,comp_specific,0.8999999999999998,0
2,adaptshrink,0.8999999999999998,0
3,common_DL,0.8999999999999998,1
3,comp_specific,0.8999999999999998,1
3,adaptshrink,0.8999999999999998,1
4,common_DL,0.8999999999999998,1
4,comp_specific,0.8999999999999998,1
4,adaptshrink,0.8999999999999998,1
5,common_DL,0.8999999999999998,1
5,comp_specific,0.8999999999999998,1
5,adaptshrink,0.8999999999999998,1
6,common_DL,0.9999999999999999,1
6,comp_specific,0.8999999999999998,1
6,adaptshrink,0.8999999999999998,1
7,common_DL,0.8999999999999998,1
7,comp_specific,0.8999999999999998,1
7,adaptshrink,0.8999999999999998,1
8,common_DL,0.8999999999999998,1
8,comp_specific,0.9999999999999999,1
8,adaptshrink,0.9999999999999999,1
9,common_DL,0.7,0
9,comp_specific,0.6,0
9,adaptshrink,0.7,0
10,common_DL,0.8999999999999998,1
10,comp_specific,0.8999999999999998,1
10,adaptshrink,0.8999999999999998,1
11,common_DL,0.8999999999999998,0
11,comp_specific,0.8999999999999998,0
11,adaptshrink,0.8999999999999998,0
12,common_DL,0.7,1
12,comp_specific,0.9999999999999999,1
12,adaptshrink,0.8999999999999998,1
13,common_DL,0.8999999999999998,1
13,comp_specific,0.8999999999999998,1
13,adaptshrink,0.8999999999999998,1
14,common_DL,0.8999999999999998,1
14,comp_specific,0.9999999999999999,1
14,adaptshrink,0.8999999999999998,1
15,common_DL,0.8999999999999998,1
15,comp_specific,0.8999999999999998,1
15,adaptshrink,0.8999999999999998,1
16,common_DL,0.8999999999999998,1
16,comp_specific,0.9999999999999999,1
16,adaptshrink,0.8999999999999998,1
17,common_DL,0.7999999999999999,0
17,comp_specific,0.8999999999999998,1
17,adaptshrink,0.7999999999999999,0
18,common_DL,0.9999999999999999,1
18,comp_specific,0.7999999999999999,0
18,adaptshrink,0.8999999999999998,1
19,common_DL,0.8999999999999998,1
19,comp_specific,0.7,1
19,adaptshrink,0.8999999999999998,1
20,common_DL,0.9999999999999999,1
20,comp_specific,0.9999999999999999,1
20,adaptshrink,0.9999999999999999,1
21,common_DL,0.9999999999999999,1
21,comp_specific,0.9999999999999999,1
21,adaptshrink,0.9999999999999999,1
22,common_DL,0.8999999999999998,1
22,comp_specific,0.9999999999999999,1
22,adaptshrink,0.9999999999999999,1
23,common_DL,0.9999999999999999,1
23,comp_specific,0.9999999999999999,1
23,adaptshrink,0.9999999999999999,1
24,common_DL,0.8999999999999998,1
24,comp_specific,0.8999999999999998,1
24,adaptshrink,0.8999999999999998,1
25,common_DL,0.9999999999999999,1
25,comp_specific,0.9999999999999999,1
25,adaptshrink,0.9999999999999999,1
26,common_DL,0.7999999999999999,0
26,comp_specific,0.8999999999999998,1
26,adaptshrink,0.7999999999999999,0
27,common_DL,0.7999999999999999,0
27,comp_specific,0.8999999999999998,0
27,adaptshrink,0.8999999999999998,0
28,common_DL,0.9999999999999999,1
28,comp_specific,0.9999999999999999,1
28,adaptshrink,0.9999999999999999,1
29,common_DL,0.7,1
29,comp_specific,0.7,1
29,adaptshrink,0.7,1
30,common_DL,0.8999999999999998,1
30,comp_specific,0.8999999999999998,1
30,adaptshrink,0.8999999999999998,1
31,common_DL,0.9999999999999999,1
31,comp_specific,0.9999999999999999,1
31,adaptshrink,0.9999999999999999,1
32,common_DL,0.9999999999999999,1
32,comp_specific,0.9999999999999999,1
32,adaptshrink,0.9999999999999999,1
33,common_DL,0.9999999999999999,1
33,comp_specific,0.9999999999999999,1
33,adaptshrink,0.9999999999999999,1
34,common_DL,0.9999999999999999,1
34,comp_specific,0.9999999999999999,1
34,adaptshrink,0.9999999999999999,1
35,common_DL,0.8999999999999998,1
35,comp_specific,0.9999999999999999,1
35,adaptshrink,0.8999999999999998,1
36,common_DL,0.9999999999999999,1
36,comp_specific,0.9999999999999999,1
36,adaptshrink,0.9999999999999999,1
37,common_DL,0.8999999999999998,1
37,comp_specific,0.8999999999999998,1
37,adaptshrink,0.8999999999999998,1
38,common_DL,0.9999999999999999,1
38,comp_specific,0.9999999999999999,1
38,adaptshrink,0.9999999999999999,1
39,common_DL,0.9999999999999999,1
39,comp_specific,0.9999999999999999,1
39,adaptshrink,0.9999999999999999,1
40,common_DL,0.9999999999999999,1
40,comp_specific,0.9999999999999999,1
40,adaptshrink,0.9999999999999999,1
41,common_DL,0.9999999999999999,1
41,comp_specific,0.7,0
41,adaptshrink,0.8999999999999998,0
42,common_DL,0.8999999999999998,1
42,comp_specific,0.8999999999999998,1
42,adaptshrink,0.8999999999999998,1
43,common_DL,0.8999999999999998,1
43,comp_specific,0.8999999999999998,1
43,adaptshrink,0.8999999999999998,1
44,common_DL,0.7,0
44,comp_specific,0.19999999999999998,0
44,adaptshrink,0.7,0
45,common_DL,0.8999999999999998,1
45,comp_specific,0.8999999999999998,1
45,adaptshrink,0.8999999999999998,1
46,common_DL,0.9999999999999999,1
46,comp_specific,0.9999999999999999,1
46,adaptshrink,0.9999999999999999,1
47,common_DL,0.8999999999999998,1
47,comp_specific,0.8999999999999998,1
47,adaptshrink,0.8999999999999998,1
48,common_DL,0.8999999999999998,0
48,comp_specific,0.8999999999999998,0
48,adaptshrink,0.8999999999999998,0
49,common_DL,0.9999999999999999,1
49,comp_specific,0.9999999999999999,1
49,adaptshrink,0.9999999999999999,1
50,common_DL,0.9999999999999999,1
50,comp_specific,0.9999999999999999,1
50,adaptshrink,0.9999999999999999,1
51,common_DL,0.8999999999999998,1
51,comp_specific,0.8999999999999998,1
51,adaptshrink,0.8999999999999998,1
52,common_DL,0.9999999999999999,1
52,comp_specific,0.9999999999999999,1
52,adaptshrink,0.9999999999999999,1
53,common_DL,0.8999999999999998,1
53,comp_specific,0.8999999999999998,1
53,adaptshrink,0.8999999999999998,1
54,common_DL,0.9999999999999999,1
54,comp_specific,0.9999999999999999,1
54,adaptshrink,0.9999999999999999,1
55,common_DL,0.8999999999999998,1
55,comp_specific,0.8999999999999998,1
55,adaptshrink,0.8999999999999998,1
56,common_DL,0.8999999999999998,1
56,comp_specific,0.8999999999999998,1
56,adaptshrink,0.8999999999999998,1
57,common_DL,0.9999999999999999,1
57,comp_specific,0.9999999999999999,1
57,adaptshrink,0.9999999999999999,1
58,common_DL,0.9999999999999999,1
58,comp_specific,0.9999999999999999,1
58,adaptshrink,0.9999999999999999,1
59,common_DL,0.9999999999999999,1
59,comp_specific,0.9999999999999999,1
59,adaptshrink,0.9999999999999999,1
60,common_DL,0.9999999999999999,1
60,comp_specific,0.9999999999999999,1
60,adaptshrink,0.9999999999999999,1
61,common_DL,0.9999999999999999,1
61,comp_specific,0.9999999999999999,1
61,adaptshrink,0.9999999999999999,1
62,common_DL,0.49999999999999994,0
62,comp_specific,0.49999999999999994,0
62,adaptshrink,0.49999999999999994,0
63,common_DL,0.8999999999999998,1
63,comp_specific,0.8999999999999998,1
63,adaptshrink,0.8999999999999998,1
64,common_DL,0.9999999999999999,1
64,comp_specific,0.9999999999999999,1
64,adaptshrink,0.9999999999999999,1
65,common_DL,0.8999999999999998,1
65,comp_specific,0.8999999999999998,1
65,adaptshrink,0.8999999999999998,1
66,common_DL,0.9999999999999999,1
66,comp_specific,0.9999999999999999,1
66,adaptshrink,0.9999999999999999,1
67,common_DL,0.8999999999999998,1
67,comp_specific,0.8999999999999998,1
67,adaptshrink,0.8999999999999998,1
68,common_DL,0.9999999999999999,1
68,comp_specific,0.9999999999999999,1
68,adaptshrink,0.9999999999999999,1
69,common_DL,0.6,0
69,comp_specific,0.8999999999999998,0
69,adaptshrink,0.7999999999999999,0
70,common_DL,0.9999999999999999,1
70,comp_specific,0.9999999999999999,1
70,adaptshrink,0.9999999999999999,1
71,common_DL,0.9999999999999999,1
71,comp_specific,0.9999999999999999,1
71,adaptshrink,0.9999999999999999,1
72,common_DL,0.9999999999999999,1
72,comp_specific,0.9999999999999999,1
72,adaptshrink,0.9999999999999999,1
73,common_DL,0.9999999999999999,1
73,comp_specific,0.8999999999999998,1
73,adaptshrink,0.9999999999999999,1
