cell,geom,n,studies,hetero,selection,inconsistency,multiarm,reps,nscored,method,abs_bias,raw_cov,cov_unif,mciw,mciw0,spearman,top1,dMCIW0,MCIW0_robust_win,dMCIW,MCIW_robust_win
sparse_hetero,loop,6,"(1, 2)",heterogeneous,none,0.0,0.0,500,500,adaptshrink,0.015574865624667953,0.9172,0.04079999999999995,1.4684791309442116,1.316068809788696,0.811657142857143,0.728,0.006328684305999088,False,-0.0024465979555143846,False
sparse_hetero,loop,6,"(1, 2)",heterogeneous,none,0.0,0.0,500,500,adaptshrink_auto,0.016443726497540907,0.9212000000000001,0.037599999999999946,1.5309066263657356,1.316068809788696,0.8107428571428572,0.726,0.03425780413806456,False,0.05424262322505613,False
sparse_hetero,loop,6,"(1, 2)",heterogeneous,none,0.0,0.0,500,500,common_DL,0.015886597490858842,0.9168,0.041199999999999945,1.4704158057928385,1.3091102553985992,0.8124571428571429,0.722,,False,,False
sparse_hetero,loop,6,"(1, 2)",heterogeneous,none,0.0,0.0,500,500,comp_specific,0.014560703728469373,0.9128000000000001,0.04359999999999995,1.494253589850448,1.3410754008524015,0.8102857142857144,0.712,0.05051927393905631,False,0.028442083597520984,False
sparse_hetero_ma,loop,6,"(1, 2)",heterogeneous,none,0.0,0.3,500,500,adaptshrink,0.011032172811691329,0.9324,0.023999999999999976,1.3136271549846161,1.1877402918697437,0.8133714285714286,0.688,-0.006645682588193091,False,-0.024692227581307513,False
sparse_hetero_ma,loop,6,"(1, 2)",heterogeneous,none,0.0,0.3,500,500,adaptshrink_auto,0.014534924227822252,0.932,0.023599999999999975,1.343360305096557,1.2404966883224842,0.8133714285714286,0.69,0.010621183257873312,False,0.009994368130618048,False
sparse_hetero_ma,loop,6,"(1, 2)",heterogeneous,none,0.0,0.3,500,500,common_DL,0.01089365274633659,0.9232000000000001,0.03159999999999994,1.3491394520948483,1.1785039714793881,0.8157714285714286,0.692,,False,,False
sparse_hetero_ma,loop,6,"(1, 2)",heterogeneous,none,0.0,0.3,500,500,comp_specific,0.011621535408587434,0.9351999999999998,0.021999999999999974,1.3413269544959288,1.2673585500214783,0.8126857142857143,0.68,0.046498374455971936,False,0.013792330664921026,False
moderate_hetero,full,5,"(3, 5)",heterogeneous,none,0.0,0.0,500,500,adaptshrink,0.006367684243593346,0.9355000000000001,0.01649999999999993,0.4349158565881502,0.4223704721753342,0.9417999999999999,0.894,-0.012817511471721332,False,-0.004291310526053638,False
moderate_hetero,full,5,"(3, 5)",heterogeneous,none,0.0,0.0,500,500,adaptshrink_auto,0.007057268374313289,0.9365,0.01649999999999993,0.44035091199570087,0.44778361484833473,0.9391999999999999,0.892,0.013856828613501737,False,0.015193777215560589,False
moderate_hetero,full,5,"(3, 5)",heterogeneous,none,0.0,0.0,500,500,common_DL,0.005338789039932278,0.9325,0.023499999999999938,0.4395728108455587,0.4260062589990463,0.9399999999999998,0.89,,False,,False
moderate_hetero,full,5,"(3, 5)",heterogeneous,none,0.0,0.0,500,500,comp_specific,0.007082206704053343,0.9,0.04999999999999993,0.450963191695792,0.4499230768071909,0.9399999999999998,0.888,0.0027376779423441966,False,0.008272273391217833,False
