method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,80,-0.007075359877656011,0.09466053208392766,0.9875,0.3994331147503839,0.3110727740934216,0.85,0.34169599323346606,0.825,0.8599831163286762
adaptshrink,2,80,-0.031367942526311164,0.11792022569183411,0.9125,0.4078045133192239,0.4160709912586443,0.95,0.5046300490226476,0.95,1.2456903137030957
adaptshrink,3,80,-0.004443008039416293,0.09999386196550619,0.9375,0.40429477318259066,0.4155349399878073,0.95,0.40305503311463875,0.95,1.0144659646861602
adaptshrink,4,80,-0.015829720962332157,0.12333257704048671,0.9125,0.41068760942242133,0.47781717583319594,0.975,0.51337236235045,0.95,1.2654241336400895
common_DL,1,80,-0.005115018706312791,0.09403507574215136,1.0,0.409438399768659,0.28311330844347704,0.85,0.31982144202965,0.85,0.7811779260809707
common_DL,2,80,-0.029860134798431043,0.11818776733586943,0.9375,0.40486579526816363,0.3922303087021014,0.9,0.4136316454757535,0.925,1.0189640498298438
common_DL,3,80,-0.004844062817653358,0.10483502728269524,0.9375,0.40643798747392845,0.39572087505558295,0.95,0.38495072711984263,0.925,0.9574146243959984
common_DL,4,80,-0.013819883312501984,0.12264844473141816,0.9125,0.4065051274003214,0.5419619040511484,1.0,0.4917001344334747,0.95,1.2126690484124947
comp_specific,1,80,-0.009458019327422651,0.10051859196723166,0.9,0.35156080833696857,0.33222284975534644,0.875,0.3731122909352429,0.9,1.0784755541958004
comp_specific,2,80,-0.03256413414287605,0.121962251827894,0.8625,0.3713721117387965,0.45829464428134353,0.95,0.5674960590168265,0.95,1.5486675885876537
comp_specific,3,80,-0.004551942598338925,0.10121608195702202,0.9125,0.36135788830027604,0.4917434037874543,1.0,0.44181950118517155,0.95,1.2747078268914398
comp_specific,4,80,-0.016535439068863938,0.13039562894971526,0.8625,0.3719881278160372,0.4950550200109609,0.975,0.43587261117671405,0.9,1.1997332822868023
