"treat","Pscore.common","Pscore.random"
"acar",0.479183553591904,0.520264415346934
"benf",0.572664185085247,0.435817023500372
"metf",0.851277164945292,0.781776531582271
"migl",0.620004412248249,0.613655528194324
"piog",0.768632565564681,0.774569730700626
"plac",6.4907432449204e-07,0.0138950538084336
"rosi",0.978903244463782,0.89336818125521
"sita",0.238614641905226,0.333099206416942
"sulf",0.139491658740947,0.210307659651169
"vild",0.351227924380347,0.423246669543718
