"studlab","treat1","treat2","TE","seTE"
"S1","A","C",-1.05129302699633,0.413243231419396
"S1","A","D",-0.128527574939361,0.475980250532909
"S1","C","D",0.922765452056965,0.399797160340808
"S2","B","C",-0.00124455523220472,0.450406957665775
"S2","B","D",-0.225333286200901,0.383939345790021
"S2","C","D",-0.224088730968697,0.372299503991839
"S3","A","C",-2.20228928620676,0.143043865170366
"S4","A","C",-0.87035363668713,0.791093254011701
"S5","A","C",-0.415648521886279,0.155732897872958
"S6","A","C",-2.77968374609038,1.46984024977533
"S7","A","C",-2.70539327492945,0.625160818777302
"S8","A","C",-2.42518741508638,1.04225122951142
"S9","A","C",-0.443616874072541,0.521976908539188
"S10","A","B",0.0159649357312724,0.169915045874876
"S11","A","B",-0.393504543648524,0.326575446159963
"S12","A","C",-0.390412268317413,0.168017707955201
"S13","A","C",-0.106335649816033,0.595599682337342
"S14","A","C",-0.583398287042234,0.298346728281924
"S15","A","D",-3.5225168299416,1.49699704990983
"S16","A","B",-0.679594214155242,0.44111579647405
"S17","A","C",-0.539679845514607,0.140119917217707
"S18","A","C",0.125505081750294,0.31999242189397
"S19","A","C",0.239970161562556,0.173656434118018
"S20","A","C",-0.0389560069154973,0.187384204203303
"S21","B","C",0.151684587332065,0.428975285602477
"S22","B","D",-1.04348630604959,0.448979522015191
"S23","C","D",-0.680724660561388,0.409239357652526
"S24","C","D",0.405465108108164,0.713906041260888
