"network","Q_total","df_total","Q_het","df_het","Q_inc","df_inc","tau2"
"senn2013",96.9855530052601,18,74.4552817355127,11,22.5302712697474,7,0.108716923142419
"smoking",202.618871212978,23,187.398534192084,16,15.2203370208934,7,0.598875258924699
