method,bias,rmse,raw_cov,cov_unif,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov
adaptshrink,0.19778696555690273,0.24248395954143454,0.5166666666666666,0.43333333333333324,0.4201270400426827,0.8353846074642769,0.9430952380952381,0.8337136544464733,0.9352380952380953
adaptshrink_auto,0.13523694532512737,0.19748723876582414,0.809404761904762,0.14059523809523802,0.5516101780297923,0.7405834910096382,0.9466666666666667,0.8334569732226171,0.9483333333333333
common_DL,0.1994449482493244,0.24243489538138502,0.5382142857142856,0.4117857142857142,0.4383494651147219,0.8215409122237473,0.9383333333333334,0.8250844161086421,0.9335714285714286
comp_specific,0.19949783378120886,0.25672798218690884,0.4282142857142857,0.5217857142857142,0.3569608672904094,0.9095992910511514,0.946904761904762,0.9547643370285073,0.9414285714285714
