rep,method,spearman,top1_correct
0,common_DL,0.9999999999999999,1
0,comp_specific,0.9878787878787878,0
0,adaptshrink,0.9999999999999999,1
0,adaptshrink_auto,0.9999999999999999,1
1,common_DL,0.9757575757575757,1
1,comp_specific,0.9999999999999999,1
1,adaptshrink,0.9757575757575757,1
1,adaptshrink_auto,0.9878787878787878,1
2,common_DL,0.9878787878787878,1
2,comp_specific,0.9636363636363635,1
2,adaptshrink,0.9878787878787878,1
2,adaptshrink_auto,0.9878787878787878,1
3,common_DL,0.8424242424242423,0
3,comp_specific,0.8303030303030302,0
3,adaptshrink,0.8666666666666665,1
3,adaptshrink_auto,0.9151515151515152,1
4,common_DL,0.9636363636363635,1
4,comp_specific,0.9878787878787878,1
4,adaptshrink,0.9757575757575757,1
4,adaptshrink_auto,0.9636363636363635,1
5,common_DL,0.9151515151515152,1
5,comp_specific,0.9151515151515152,1
5,adaptshrink,0.9151515151515152,1
5,adaptshrink_auto,0.9515151515151514,1
6,common_DL,0.9515151515151514,0
6,comp_specific,0.9757575757575757,0
6,adaptshrink,0.9757575757575757,0
6,adaptshrink_auto,0.9636363636363635,0
7,common_DL,0.9999999999999999,1
7,comp_specific,0.9999999999999999,1
7,adaptshrink,0.9999999999999999,1
7,adaptshrink_auto,0.9999999999999999,1
8,common_DL,0.9878787878787878,1
8,comp_specific,0.9878787878787878,1
8,adaptshrink,0.9878787878787878,1
8,adaptshrink_auto,0.9878787878787878,1
9,common_DL,0.8787878787878788,0
9,comp_specific,0.8424242424242423,0
9,adaptshrink,0.8666666666666665,0
9,adaptshrink_auto,0.9757575757575757,0
10,common_DL,0.9757575757575757,0
10,comp_specific,0.9757575757575757,0
10,adaptshrink,0.9757575757575757,0
10,adaptshrink_auto,0.9878787878787878,1
11,common_DL,0.9999999999999999,1
11,comp_specific,0.9999999999999999,1
11,adaptshrink,0.9999999999999999,1
11,adaptshrink_auto,0.9878787878787878,1
12,common_DL,0.9636363636363635,1
12,comp_specific,0.9636363636363635,1
12,adaptshrink,0.9515151515151514,1
12,adaptshrink_auto,0.9636363636363635,1
13,common_DL,0.9878787878787878,1
13,comp_specific,0.9878787878787878,1
13,adaptshrink,0.9878787878787878,1
13,adaptshrink_auto,0.9878787878787878,1
14,common_DL,0.9757575757575757,1
14,comp_specific,0.9757575757575757,1
14,adaptshrink,0.9757575757575757,1
14,adaptshrink_auto,0.9636363636363635,1
15,common_DL,0.9999999999999999,1
15,comp_specific,0.9878787878787878,1
15,adaptshrink,0.9999999999999999,1
15,adaptshrink_auto,0.9878787878787878,1
16,common_DL,0.9757575757575757,1
16,comp_specific,0.9757575757575757,1
16,adaptshrink,0.9757575757575757,1
16,adaptshrink_auto,0.9757575757575757,1
17,common_DL,0.9757575757575757,1
17,comp_specific,0.9757575757575757,1
17,adaptshrink,0.9878787878787878,1
17,adaptshrink_auto,0.9393939393939393,1
18,common_DL,0.9757575757575757,1
18,comp_specific,0.9757575757575757,1
18,adaptshrink,0.9757575757575757,1
18,adaptshrink_auto,0.9757575757575757,1
19,common_DL,0.9757575757575757,1
19,comp_specific,0.9515151515151514,1
19,adaptshrink,0.9515151515151514,1
19,adaptshrink_auto,0.9636363636363635,0
20,common_DL,0.8666666666666665,0
20,comp_specific,0.8303030303030302,0
20,adaptshrink,0.8424242424242423,0
20,adaptshrink_auto,0.8424242424242423,0
21,common_DL,0.9999999999999999,1
21,comp_specific,0.9878787878787878,1
21,adaptshrink,0.9999999999999999,1
21,adaptshrink_auto,0.9999999999999999,1
22,common_DL,0.9151515151515152,1
22,comp_specific,0.9151515151515152,1
22,adaptshrink,0.9151515151515152,1
22,adaptshrink_auto,0.9151515151515152,1
23,common_DL,0.9757575757575757,1
23,comp_specific,0.9757575757575757,1
23,adaptshrink,0.9757575757575757,1
23,adaptshrink_auto,0.9757575757575757,1
24,common_DL,0.8666666666666665,0
24,comp_specific,0.8666666666666665,0
24,adaptshrink,0.8666666666666665,0
24,adaptshrink_auto,0.9393939393939393,0
25,common_DL,0.9757575757575757,1
25,comp_specific,0.9878787878787878,1
25,adaptshrink,0.9878787878787878,1
25,adaptshrink_auto,0.9757575757575757,1
26,common_DL,0.9636363636363635,1
26,comp_specific,0.9757575757575757,0
26,adaptshrink,0.9636363636363635,1
26,adaptshrink_auto,0.9757575757575757,0
27,common_DL,0.9999999999999999,1
27,comp_specific,0.9878787878787878,1
27,adaptshrink,0.9999999999999999,1
27,adaptshrink_auto,0.9999999999999999,1
28,common_DL,0.9999999999999999,1
28,comp_specific,0.9999999999999999,1
28,adaptshrink,0.9999999999999999,1
28,adaptshrink_auto,0.9999999999999999,1
29,common_DL,0.6363636363636362,1
29,comp_specific,0.6363636363636362,1
29,adaptshrink,0.6363636363636362,1
29,adaptshrink_auto,0.7333333333333332,1
30,common_DL,0.9515151515151514,1
30,comp_specific,0.9515151515151514,1
30,adaptshrink,0.9515151515151514,1
30,adaptshrink_auto,0.9515151515151514,1
31,common_DL,0.9999999999999999,1
31,comp_specific,0.9999999999999999,1
31,adaptshrink,0.9999999999999999,1
31,adaptshrink_auto,0.9999999999999999,1
32,common_DL,0.9393939393939393,1
32,comp_specific,0.9515151515151514,1
32,adaptshrink,0.9515151515151514,1
32,adaptshrink_auto,0.9515151515151514,1
33,common_DL,0.9999999999999999,1
33,comp_specific,0.9999999999999999,1
33,adaptshrink,0.9999999999999999,1
33,adaptshrink_auto,0.9999999999999999,1
34,common_DL,0.9878787878787878,1
34,comp_specific,0.9878787878787878,1
34,adaptshrink,0.9878787878787878,1
34,adaptshrink_auto,0.9878787878787878,1
35,common_DL,0.8909090909090909,1
35,comp_specific,0.8909090909090909,1
35,adaptshrink,0.8909090909090909,1
35,adaptshrink_auto,0.9636363636363635,1
36,common_DL,0.9999999999999999,1
36,comp_specific,0.9999999999999999,1
36,adaptshrink,0.9999999999999999,1
36,adaptshrink_auto,0.9999999999999999,1
37,common_DL,0.9272727272727272,1
37,comp_specific,0.9515151515151514,1
37,adaptshrink,0.9272727272727272,1
37,adaptshrink_auto,0.9636363636363635,1
38,common_DL,0.9999999999999999,1
38,comp_specific,0.9999999999999999,1
38,adaptshrink,0.9999999999999999,1
38,adaptshrink_auto,0.9999999999999999,1
39,common_DL,0.9757575757575757,1
39,comp_specific,0.9757575757575757,1
39,adaptshrink,0.9757575757575757,1
39,adaptshrink_auto,0.9757575757575757,1
40,common_DL,0.9878787878787878,1
40,comp_specific,0.9878787878787878,1
40,adaptshrink,0.9878787878787878,1
40,adaptshrink_auto,0.9878787878787878,1
41,common_DL,0.9636363636363635,1
41,comp_specific,0.9636363636363635,1
41,adaptshrink,0.9636363636363635,1
41,adaptshrink_auto,0.9636363636363635,1
42,common_DL,0.9878787878787878,1
42,comp_specific,0.9999999999999999,1
42,adaptshrink,0.9878787878787878,1
42,adaptshrink_auto,0.9999999999999999,1
43,common_DL,0.9999999999999999,1
43,comp_specific,0.9999999999999999,1
43,adaptshrink,0.9999999999999999,1
43,adaptshrink_auto,0.9999999999999999,1
