method,bias,rmse,raw_cov,cov_unif,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov
adaptshrink,0.08175820617471476,0.1197806448525498,0.7628571428571428,0.18714285714285708,0.294600213776426,0.4342505996202845,0.9388095238095236,0.431578395680498,0.9366666666666666
adaptshrink_auto,0.04305472500068374,0.10078045588051517,0.8989285714285715,0.051071428571428545,0.34303514534671187,0.39684856173609356,0.9407142857142857,0.4061062891339269,0.9359523809523809
common_DL,0.08162821499568719,0.11905651194005755,0.7630952380952382,0.18690476190476188,0.2936082448075577,0.4268483694541424,0.9352380952380951,0.4310469192325665,0.9361904761904762
comp_specific,0.08007951115549308,0.12120826367241382,0.7507142857142857,0.19928571428571423,0.2890725520440639,0.4574487686259979,0.9464285714285713,0.4448308613374752,0.9430952380952381
