method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,1200,-0.013485705838501604,0.0533246711301673,0.9375,0.20234264780546582,0.22127570485135464,0.96,0.2141107362034918,0.9533333333333334,1.0600045066961703
adaptshrink,2,1200,-0.019633575406116037,0.05506210311634668,0.9366666666666666,0.20177884024524068,0.2150328017450046,0.9566666666666667,0.21699653808976652,0.95,1.0753862761255317
adaptshrink,3,1200,-0.026589265915945834,0.05974306824830922,0.9091666666666667,0.2019091698371488,0.23845318686306582,0.965,0.23526644279591666,0.9516666666666667,1.1705151678373376
adaptshrink,4,1200,-0.031249509688751776,0.06167311842172411,0.9008333333333334,0.20332051681520227,0.2532055246569041,0.9583333333333334,0.2542970246923071,0.9566666666666667,1.2523881487817368
adaptshrink,5,1200,-0.03688870950963157,0.06447442412132942,0.8891666666666667,0.20340481213220116,0.24251497482342646,0.945,0.2447064373251198,0.9383333333333334,1.2013126822482227
adaptshrink,6,1200,-0.04345543861220487,0.06914035097074349,0.8616666666666667,0.20471694641868501,0.26673442654247936,0.96,0.25871260159319864,0.94,1.2708562372199104
adaptshrink,7,1200,-0.04671002576553741,0.07170883696343684,0.8483333333333334,0.20731364572688504,0.26198792308025043,0.94,0.27176384505652984,0.94,1.314124521510378
adaptshrink_auto,1,1200,-0.011387026356928358,0.052708931797571926,0.9508333333333333,0.20977356422868718,0.21852280778680575,0.9633333333333334,0.21143990788969713,0.9533333333333334,1.0027343090578411
adaptshrink_auto,2,1200,-0.015480763962645121,0.053755036921448736,0.95,0.2097103849910206,0.21018005060203476,0.9483333333333334,0.21665427053982986,0.9616666666666667,1.0265222691980231
adaptshrink_auto,3,1200,-0.02027670305986482,0.05839926264846852,0.9241666666666667,0.21052315507878383,0.22753101205385712,0.96,0.23591724999807331,0.9533333333333334,1.1185262049774614
adaptshrink_auto,4,1200,-0.022971363434429518,0.06007313532001966,0.9241666666666667,0.21295842963019937,0.25080289543952644,0.9616666666666667,0.25447547939272286,0.9616666666666667,1.1896223934248766
adaptshrink_auto,5,1200,-0.026519918614058807,0.061610189452632094,0.9166666666666666,0.21423286308343847,0.2351686265449753,0.9483333333333334,0.24288879024131774,0.9433333333333334,1.1260430552644904
adaptshrink_auto,6,1200,-0.030996174305653722,0.06522452081905462,0.9,0.21703158412483844,0.25838751829328443,0.965,0.25986722006281604,0.9483333333333334,1.197743573257439
adaptshrink_auto,7,1200,-0.03192169444839735,0.06859967161199132,0.885,0.2215426385296345,0.26196083944572934,0.9483333333333334,0.2716141387816105,0.94,1.2231992244592271
common_DL,1,1200,-0.01336522951305561,0.052384039194292055,0.9391666666666667,0.20032008128182363,0.20900190416541348,0.9566666666666667,0.20998794698461332,0.95,1.048973872101479
common_DL,2,1200,-0.01923800982894626,0.05440712830234841,0.9375,0.20006596212596595,0.21211078010700288,0.9516666666666667,0.21338054571015694,0.9416666666666667,1.0671651242578186
common_DL,3,1200,-0.026121937968126136,0.0589093509270307,0.9091666666666667,0.20013086241728226,0.23288709734495255,0.9633333333333334,0.23043782058568685,0.9516666666666667,1.154983102054468
common_DL,4,1200,-0.03107762357263559,0.06109277882467862,0.9,0.20141213749974593,0.24536308605981105,0.9583333333333334,0.24619901794189314,0.9583333333333334,1.225001614450678
common_DL,5,1200,-0.03657402168904627,0.06374322659829738,0.8933333333333333,0.20109569476518893,0.23992635473558166,0.9433333333333334,0.24353078807892453,0.9483333333333334,1.2087130776352808
common_DL,6,1200,-0.04323466578337782,0.06851223437226164,0.855,0.2025082372303052,0.2656437590068809,0.9583333333333334,0.2556298662912249,0.9483333333333334,1.2693738453413035
common_DL,7,1200,-0.04619169637354172,0.07082453872711754,0.85,0.20466464177668942,0.2661867698738398,0.9583333333333334,0.26322766254810676,0.9366666666666666,1.2897593003758185
comp_specific,1,1200,-0.012978683545267466,0.056042404880103855,0.9166666666666666,0.19816749237986003,0.23020744903830775,0.96,0.21883973759890132,0.9416666666666667,1.1060998038858147
comp_specific,2,1200,-0.0194414524648257,0.05726236539248735,0.9141666666666667,0.19724504181504335,0.22631752742567088,0.9583333333333334,0.22364639645109358,0.9466666666666667,1.1330907403225758
comp_specific,3,1200,-0.02601928527109522,0.06172834427808991,0.8916666666666667,0.197399270575654,0.25216321810817777,0.9666666666666667,0.24040891286667967,0.9466666666666667,1.2255217870733632
comp_specific,4,1200,-0.030419754406974194,0.06339344606419257,0.8916666666666667,0.19909062108669243,0.264264824492065,0.965,0.2618307480618801,0.96,1.3158592201439774
comp_specific,5,1200,-0.036255027580334345,0.06646710599588966,0.8608333333333333,0.19949522536067515,0.24547557810992002,0.9383333333333334,0.2561320867658329,0.9466666666666667,1.2836968757384053
comp_specific,6,1200,-0.04268518619806338,0.07054776991149685,0.845,0.20060458161084094,0.2788439495854315,0.96,0.26788342873574283,0.9416666666666667,1.343085602987894
comp_specific,7,1200,-0.04558670010844481,0.07341213162665322,0.8366666666666667,0.20337035487579946,0.27488343726436965,0.95,0.2831665031323453,0.9533333333333334,1.3962920482565344
