method,bias,rmse,raw_cov,cov_unif,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov
adaptshrink,0.07872193503484842,0.11146197305650385,0.7114444444444445,0.2385555555555555,0.25342122926629496,0.40711110491267616,0.9440000000000001,0.40381791735836753,0.9482222222222221
adaptshrink_auto,0.03701736503147051,0.08716275987921539,0.906,0.04399999999999994,0.2971944576766213,0.3482824240007439,0.9557777777777778,0.36108736562618615,0.9540000000000001
common_DL,0.07900656421924149,0.11101157508838813,0.7107777777777778,0.23922222222222217,0.2533328183120577,0.4062807048772598,0.9451111111111111,0.40230327066948846,0.9508888888888889
comp_specific,0.07674452600004274,0.11224709181040299,0.6964444444444443,0.25355555555555553,0.2469216047775627,0.4164520781496294,0.9446666666666668,0.4098276041423766,0.9433333333333334
