rep,method,contrast,d_hat,ci_low,ci_high,d_true
0,common_DL,1,-0.4596078931782497,-0.666652957784355,-0.2525628285721444,-0.47984419726469013
0,common_DL,2,-0.8941734781278036,-1.1035167231471896,-0.6848302331084174,-0.7385648344140212
0,common_DL,3,0.30908079495402996,0.10702985914469332,0.5111317307633666,0.5430229466666565
0,common_DL,4,-0.5185662257416351,-0.7280965187704694,-0.30903593271280083,-0.26100773826068624
0,common_DL,5,-0.8486291793758163,-1.0554780147345921,-0.6417803440170405,-0.5842538586727175
0,common_DL,6,-0.6265162628460031,-0.8270542680498387,-0.4259782576421676,-0.28481143547142435
0,common_DL,7,-0.34363329739996407,-0.5874835237852467,-0.09978307101468142,-0.06067411119243519
0,comp_specific,1,-0.5505957783112139,-0.7103624665603507,-0.39082909006207706,-0.47984419726469013
0,comp_specific,2,-0.8025988565978056,-0.9774535451588878,-0.6277441680367234,-0.7385648344140212
0,comp_specific,3,0.3423745021548541,0.1710043661336294,0.5137446381760788,0.5430229466666565
0,comp_specific,4,-0.47275079715811896,-0.6689038306782842,-0.2765977636379537,-0.26100773826068624
0,comp_specific,5,-0.8520035307878313,-1.0332147811260342,-0.6707922804496284,-0.5842538586727175
0,comp_specific,6,-0.6198391207614121,-0.7936259824291373,-0.44605225909368695,-0.28481143547142435
0,comp_specific,7,-0.2855957020939621,-0.488144885124719,-0.08304651906320523,-0.06067411119243519
0,adaptshrink,1,-0.5017177191255948,-0.6948394118416368,-0.3085960264095528,-0.47984419726469013
0,adaptshrink,2,-0.8423508727197071,-1.0392554847921163,-0.6454462606472979,-0.7385648344140212
0,adaptshrink,3,0.32419150468721064,0.13435930637631255,0.5140237029981087,0.5430229466666565
0,adaptshrink,4,-0.5021835031380772,-0.7105275790498193,-0.29383942722633516,-0.26100773826068624
0,adaptshrink,5,-0.8371922510506151,-1.0345100873267516,-0.6398744147744787,-0.5842538586727175
0,adaptshrink,6,-0.6355337711671774,-0.826576768921031,-0.44449077341332366,-0.28481143547142435
0,adaptshrink,7,-0.3230182866968099,-0.5560123187296953,-0.09002425466392444,-0.06067411119243519
0,adaptshrink_auto,1,-0.5017177191255948,-0.7463230127004743,-0.25711242555071534,-0.47984419726469013
0,adaptshrink_auto,2,-0.8423508727197071,-1.091747560190946,-0.592954185248468,-0.7385648344140212
0,adaptshrink_auto,3,0.32419150468721064,0.08375263971683936,0.564630369657582,0.5430229466666565
0,adaptshrink_auto,4,-0.5021835031380772,-0.7660692589858737,-0.23829774729028075,-0.26100773826068624
0,adaptshrink_auto,5,-0.8371922510506151,-1.0871123226442871,-0.5872721794569431,-0.5842538586727175
0,adaptshrink_auto,6,-0.6355337711671774,-0.8775062181450342,-0.39356132418932055,-0.28481143547142435
0,adaptshrink_auto,7,-0.3230182866968099,-0.6181253396905759,-0.027911233703043825,-0.06067411119243519
1,common_DL,1,0.4869572258722472,0.34582695443079603,0.6280874973136984,0.5801944832908739
1,common_DL,2,-0.7455521096966715,-0.8958149940653828,-0.5952892253279602,-0.6820236309017158
1,common_DL,3,-0.8947250457549781,-1.0452292144341773,-0.744220877075779,-0.8730054407555423
1,common_DL,4,-0.021045987140759226,-0.17485333240415432,0.13276135812263587,0.06937069830772365
1,common_DL,5,-0.9321549173969654,-1.0839684140346926,-0.7803414207592383,-0.7411351604299211
1,common_DL,6,-0.25790846172766607,-0.44331210358093276,-0.07250481987439941,-0.1894453646397774
1,common_DL,7,-0.7003630951407862,-0.8482573199304714,-0.552468870351101,-0.4461278504169265
1,comp_specific,1,0.4914644791941247,0.38475367014289164,0.5981752882453578,0.5801944832908739
1,comp_specific,2,-0.8051361063343285,-0.9020466643504633,-0.7082255483181937,-0.6820236309017158
1,comp_specific,3,-0.9065430413769097,-1.0558101858595705,-0.7572758968942488,-0.8730054407555423
1,comp_specific,4,0.011133373794733892,-0.10319347585687551,0.12546022344634328,0.06937069830772365
1,comp_specific,5,-0.9902317667373314,-1.1396906315652273,-0.8407729019094354,-0.7411351604299211
1,comp_specific,6,-0.25312720590821536,-0.3708197175372902,-0.1354346942791405,-0.1894453646397774
1,comp_specific,7,-0.6761421203621765,-0.7949897674867688,-0.5572944732375842,-0.4461278504169265
1,adaptshrink,1,0.49046515897598497,0.3589426739753334,0.6219876439766365,0.5801944832908739
1,adaptshrink,2,-0.7843482097822534,-0.9126399250164593,-0.6560564945480475,-0.6820236309017158
1,adaptshrink,3,-0.904252320895622,-1.0637640253257914,-0.7447406164654528,-0.8730054407555423
1,adaptshrink,4,-0.0074922156694592346,-0.14759052504495224,0.13260609370603377,0.06937069830772365
1,adaptshrink,5,-0.9621905387718305,-1.1213378476826987,-0.8030432298609621,-0.7411351604299211
1,adaptshrink,6,-0.2492488046491268,-0.42081865143025154,-0.07767895786800205,-0.1894453646397774
1,adaptshrink,7,-0.6864347500501177,-0.8238784342761172,-0.5489910658241182,-0.4461278504169265
1,adaptshrink_auto,1,0.47805934190377236,0.2959244811157331,0.6601942026918116,0.5801944832908739
1,adaptshrink_auto,2,-0.6992494155690009,-0.8968086115023957,-0.5016902196356061,-0.6820236309017158
1,adaptshrink_auto,3,-0.8063838100542657,-1.013898720785105,-0.5988688993234266,-0.8730054407555423
1,adaptshrink_auto,4,0.046939203123150995,-0.1593054301437998,0.2531838363901018,0.06937069830772365
1,adaptshrink_auto,5,-0.8373186389029368,-1.048366336044668,-0.6262709417612056,-0.7411351604299211
1,adaptshrink_auto,6,-0.14288897343865858,-0.40038586440214163,0.11460791752482447,-0.1894453646397774
1,adaptshrink_auto,7,-0.5638110361395007,-0.7856550241728832,-0.3419670481061181,-0.4461278504169265
2,common_DL,1,-0.5040619681552917,-0.7418711157132996,-0.26625282059728383,-0.4201300159973277
2,common_DL,2,-0.02318522163590714,-0.2854853857064598,0.23911494243464554,0.1463502418983874
2,common_DL,3,-1.182714702813134,-1.3662595627100125,-0.9991698429162554,-1.0942927927080424
2,common_DL,4,0.1593319768416362,-0.14679307762505195,0.46545703130832433,0.11190861734140273
2,common_DL,5,0.007149288722361202,-0.2752386149703605,0.2895371924150829,0.08932205811847337
2,common_DL,6,0.04446215991239383,-0.3201202617867703,0.40904458161155793,0.33393325023786896
2,common_DL,7,-0.5606339216649308,-0.828718294829564,-0.29254954850029746,-0.22823894020568272
2,comp_specific,1,-0.5108069856211375,-0.6647421183764958,-0.35687185286577916,-0.4201300159973277
2,comp_specific,2,0.13017472485931164,-0.0695940212883879,0.32994347100701116,0.1463502418983874
2,comp_specific,3,-1.131812533231369,-1.2673073403294124,-0.9963177261333258,-1.0942927927080424
2,comp_specific,4,0.11164506578006306,-0.056462025502266894,0.279752157062393,0.11190861734140273
2,comp_specific,5,0.2274006639960961,-0.056049125458752014,0.5108504534509442,0.08932205811847337
2,comp_specific,6,0.11268985285649186,-0.17080417365317302,0.39618387936615673,0.33393325023786896
2,comp_specific,7,-0.3836719861678429,-0.5268517883652759,-0.2404921839704099,-0.22823894020568272
2,adaptshrink,1,-0.5042139869529063,-0.7058530716708356,-0.302574902234977,-0.4201300159973277
2,adaptshrink,2,0.025670804553791005,-0.23721560333134595,0.28855721243892796,0.1463502418983874
2,adaptshrink,3,-1.1664680354962758,-1.3310205935293768,-1.0019154774631747,-1.0942927927080424
2,adaptshrink,4,0.15043076588716792,-0.14223492804035537,0.4430964598146912,0.11190861734140273
2,adaptshrink,5,0.09067837803887813,-0.21154200988269534,0.3928987659604516,0.08932205811847337
2,adaptshrink,6,0.07600150601093303,-0.27752302521915295,0.429526037241019,0.33393325023786896
2,adaptshrink,7,-0.48633068889954545,-0.7436837198783344,-0.22897765792075647,-0.22823894020568272
2,adaptshrink_auto,1,-0.5042139869529063,-0.7558948659393797,-0.2525331079664329,-0.4201300159973277
2,adaptshrink_auto,2,0.025670804553791005,-0.3024574564065442,0.3537990655141262,0.1463502418983874
2,adaptshrink_auto,3,-1.1664680354962758,-1.3718584363859554,-0.9610776346065961,-1.0942927927080424
2,adaptshrink_auto,4,0.15043076588716792,-0.21486725755856,0.5157287893328959,0.11190861734140273
2,adaptshrink_auto,5,0.09067837803887813,-0.286545576266104,0.46790233234386025,0.08932205811847337
2,adaptshrink_auto,6,0.07600150601093303,-0.36525900103677383,0.5172620130586398,0.33393325023786896
