method,contrast,n,bias,rmse,raw_cov,raw_width,mciw0,mciw0_test_cov,mciw,mciw_test_cov,kappa
adaptshrink,1,1200,-0.08101454739340105,0.1479390701092098,0.83,0.40348973065123406,0.5835747487897575,0.9366666666666666,0.5495065458647924,0.93,1.3610136058466848
adaptshrink,2,1200,-0.11824491196219254,0.17079285932550198,0.7375,0.40444956316493413,0.6273429401706948,0.9366666666666666,0.6360165641961609,0.9383333333333334,1.571514303521091
adaptshrink,3,1200,-0.1611783863431737,0.2078016047525396,0.6041666666666666,0.4049054039289857,0.7660439782793723,0.9633333333333334,0.739908012458424,0.94,1.8370125004690556
adaptshrink,4,1200,-0.19856265688700625,0.23816237468667523,0.4975,0.41287838636199087,0.8024654357024813,0.9283333333333333,0.815684481617246,0.925,1.9834287992918271
adaptshrink,5,1200,-0.23215108402174664,0.26688082753995934,0.39666666666666667,0.4193019659442674,0.8960800128971701,0.9466666666666667,0.8809978610663997,0.925,2.104975637448454
adaptshrink,6,1200,-0.2746140121325239,0.30891231614556136,0.3016666666666667,0.43378778128951867,0.9961843498711808,0.9433333333333334,1.0062826626578494,0.9283333333333333,2.343421788159284
adaptshrink,7,1200,-0.3187431601582751,0.3568986642305945,0.24916666666666668,0.4620764489578479,1.1760007865392823,0.9466666666666667,1.2075994532644405,0.96,2.6358100419362844
adaptshrink_auto,1,1200,-0.06646405592140305,0.13849699933907578,0.9275,0.5118233010083647,0.5377447675903357,0.9383333333333334,0.5599014029768606,0.9516666666666667,1.0966997901214157
adaptshrink_auto,2,1200,-0.08740482478853313,0.14983796338793073,0.8866666666666667,0.5180181860552255,0.5608075813416373,0.9366666666666666,0.6491457711527074,0.96,1.2566432975146076
adaptshrink_auto,3,1200,-0.11489004783143221,0.17558353742964827,0.8458333333333333,0.5232831614854295,0.6931887685709347,0.96,0.7281896020746753,0.9483333333333334,1.4020675543205592
adaptshrink_auto,4,1200,-0.13836040344091746,0.19491516333487105,0.8075,0.5404634793833094,0.7437934830514502,0.945,0.8143799555538133,0.935,1.5191731950633607
adaptshrink_auto,5,1200,-0.15623525937837524,0.20984393484322086,0.785,0.5556627711498919,0.7584075426563298,0.94,0.880872277273355,0.9433333333333334,1.5946513708273244
adaptshrink_auto,6,1200,-0.18031645506889013,0.23778608299991325,0.7283333333333334,0.5829951102662557,0.8644679942576535,0.95,0.9985568981396529,0.94,1.7374906380756165
adaptshrink_auto,7,1200,-0.20298757084634036,0.2759469900261088,0.685,0.62902523686007,1.0256742995991255,0.9566666666666667,1.203152905387255,0.96,1.9368161320510477
common_DL,1,1200,-0.08206742164052559,0.14649106276673368,0.8441666666666666,0.4234170295241113,0.571879727664455,0.9416666666666667,0.5475870643585119,0.935,1.294324963791244
common_DL,2,1200,-0.11894410923149425,0.16969468995024795,0.7658333333333334,0.42537126126376884,0.6172178018985716,0.9366666666666666,0.616577778764324,0.93,1.4512534674953428
common_DL,3,1200,-0.16145236242482686,0.20621497532909083,0.6441666666666667,0.4246381015653533,0.7505269235205352,0.9566666666666667,0.7234742139188104,0.9316666666666666,1.7140572412495112
common_DL,4,1200,-0.20087067372328954,0.2389602665212602,0.5241666666666667,0.43239972176100605,0.7831992081432171,0.915,0.8055406779681578,0.9266666666666666,1.8707919776723623
common_DL,5,1200,-0.234973942721952,0.26828130255181387,0.41083333333333333,0.4373330436912727,0.8821161673590452,0.94,0.8731045764765748,0.925,2.000381645335192
common_DL,6,1200,-0.27650385011747847,0.30903768147913907,0.3175,0.4498454195968558,0.9800219169468197,0.935,1.0172787198526767,0.9316666666666666,2.283649540539815
common_DL,7,1200,-0.32130227788570415,0.3583642890714094,0.2608333333333333,0.47544167840068535,1.1658246400335868,0.9433333333333334,1.1920278814214393,0.955,2.5309221656448675
comp_specific,1,1200,-0.0817827056259543,0.16546666415265715,0.6791666666666667,0.34245182879687625,0.6228485284869955,0.93,0.649895328724603,0.9316666666666666,1.8932423053768686
comp_specific,2,1200,-0.11880929193370258,0.18690875735916918,0.6133333333333333,0.3428852926644657,0.7024906022601407,0.9483333333333334,0.7734664089726511,0.9516666666666667,2.25080488527808
comp_specific,3,1200,-0.16415633071893337,0.22304396664782766,0.4841666666666667,0.34407788774505776,0.8346275567972126,0.9533333333333334,0.8469580835023879,0.9483333333333334,2.468532082225523
comp_specific,4,1200,-0.199876109306743,0.2520674058238396,0.4191666666666667,0.3502479922817521,0.9257432997188122,0.9583333333333334,0.9234810408480975,0.9283333333333333,2.644936011633937
comp_specific,5,1200,-0.23482751638892477,0.28047376201782687,0.3225,0.3563594599090436,0.9782681476317497,0.9533333333333334,1.0154562387847714,0.9433333333333334,2.8491143677513593
comp_specific,6,1200,-0.279380036927397,0.32298705536532973,0.2525,0.3681093416051168,1.0884135180045338,0.9416666666666667,1.128925941863502,0.9366666666666666,3.1019423708354457
comp_specific,7,1200,-0.31765284556680706,0.36614826394171174,0.22666666666666666,0.39459426803055353,1.2148033844586164,0.9433333333333334,1.3451673165035383,0.95,3.4399626504753296
