strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
none,0,two_stage_reml,0.045,0.037564695240246776,0.023380968570803684,0.05174842190968987,True
none,0,two_stage_fixed,0.045,0.038116010791125456,0.02739081838297116,0.04884120319927975,True
none,0,one_stage,0.045,0.03811601079112546,0.027390818382971166,0.04884120319927976,True
none,0,trend_pet,0.045,0.12054163421044928,-0.04104799568905035,0.28213126410994893,True
none,0,trend_peese,0.045,0.07660048938279894,-0.003211366136571206,0.1564123449021691,True
none,0,adaptshrink,0.045,0.03799398689369957,0.02327925578700693,0.052708718000392216,True
none,1,two_stage_reml,0.045,0.04344054346012074,0.028285152742207376,0.058595934178034104,True
none,1,two_stage_fixed,0.045,0.04490965213973534,0.03423225291731792,0.055587051362152765,True
none,1,one_stage,0.045,0.04490965213973534,0.03423225291731792,0.055587051362152765,True
none,1,trend_pet,0.045,0.201554774975538,0.07352219387661954,0.32958735607445644,True
none,1,trend_peese,0.045,0.1184481696070256,0.058238890543011686,0.17865744867103953,True
none,1,adaptshrink,0.045,0.044625750359063215,0.02958040967439456,0.059671091043731875,True
none,2,two_stage_reml,0.045,0.05226635973103915,0.03768580650180914,0.06684691296026916,True
none,2,two_stage_fixed,0.045,0.0538034227116229,0.04348698624768678,0.06411985917555903,True
none,2,one_stage,0.045,0.05380342271162292,0.04348698624768679,0.06411985917555904,True
none,2,trend_pet,0.045,0.16852296853554294,0.05842367308939092,0.278622263981695,True
none,2,trend_peese,0.045,0.11012596790594772,0.05552731427729885,0.1647246215345966,True
none,2,adaptshrink,0.045,0.053505858754670656,0.0389458343581729,0.0680658831511684,True
none,3,two_stage_reml,0.045,0.04421698660101203,0.030708100204107754,0.05772587299791631,True
none,3,two_stage_fixed,0.045,0.04462452444807966,0.03437726204986968,0.05487178684628965,True
none,3,one_stage,0.045,0.04462452444807966,0.03437726204986968,0.05487178684628965,True
none,3,trend_pet,0.045,0.10883518348566378,-0.05082368322005994,0.2684940501913875,True
none,3,trend_peese,0.045,0.07495940864250566,-0.004029353653282303,0.15394817093829363,True
none,3,adaptshrink,0.045,0.0445337160325875,0.03049714432477885,0.05857028774039616,True
none,4,two_stage_reml,0.045,0.04561588086712329,0.03405729044243895,0.057174471291807624,True
