study_id,yi,sei,rob_selection,rob_measurement,rob_reporting,quality_score,moderator,design,true_effect,internal_bias,selection_probability,selected
study_1,0.5384643006097541,0.18157252825451375,1.0,0.0,1.0,0.6666666666666666,0.43963660601699356,OBS,0.2629188926646686,0.19,0.7848621688448678,1
study_3,0.28389396129283134,0.19596164638493502,1.0,0.0,0.0,0.3333333333333333,0.27627417932855375,RCT,0.2445592846294521,0.12,0.2798561793244383,1
study_4,0.3266110521633712,0.16855256494009185,0.0,0.0,0.0,0.0,-1.4127658838923665,RCT,0.09693414012778037,0.0,0.4343677862505617,1
study_5,0.18855562765265824,0.06601014914090042,0.0,0.0,0.0,0.0,-2.310103436632644,OBS,0.2572448681729448,0.0,0.8613115419942322,1
study_7,0.7356417814863927,0.17939374933836,0.0,1.0,1.0,0.6666666666666666,-0.47177603363833576,OBS,0.28664975400333803,0.16,0.7874051887583132,1
study_8,0.9364397162201038,0.18363093189708213,1.0,0.0,1.0,0.6666666666666666,0.45938577171661177,RCT,0.2783042485715994,0.19,0.7851103996875587,1
study_9,0.3556820975514254,0.07177931755484279,1.0,0.0,0.0,0.3333333333333333,0.7019536262212701,RCT,0.2647720488513309,0.12,0.8777168142390745,1
study_10,0.4967262825605752,0.1265656094422464,0.0,0.0,1.0,0.3333333333333333,0.13824143205868192,RCT,0.6718633695625953,0.07,0.7859594652192907,1
study_11,0.2507406964292913,0.1130356641195388,0.0,0.0,0.0,0.0,0.7601330853758538,OBS,0.2858364588770749,0.0,0.6856651745423286,1
study_13,0.26533503544832493,0.15945707041371296,1.0,0.0,0.0,0.3333333333333333,0.5300647056014667,RCT,0.17561973473945378,0.12,0.3522564855120593,1
study_18,0.4942780685594461,0.06084893353770981,1.0,0.0,0.0,0.3333333333333333,-0.3937411722245721,OBS,0.33173269310276,0.12,0.9045688074625794,1
study_19,0.7011678646011374,0.19069729923873896,0.0,0.0,1.0,0.3333333333333333,0.5211672557321126,RCT,0.23972638235613633,0.07,0.7321019929111962,1
study_20,0.3178456380805012,0.15738294785075102,0.0,1.0,0.0,0.3333333333333333,-0.265838791915379,OBS,0.2007820140481616,0.09,0.5730294951466354,1
study_21,0.4241753290974269,0.17887491581451354,0.0,0.0,1.0,0.3333333333333333,-0.11754216732813036,RCT,0.41451433906454804,0.07,0.7070200449725105,1
